SMILES0,SMILES,gamma1,gamma2
OCC(O)C(O)C(O)C(O)CO,OC(C)C(O)=O,-0.88790134,-0.2032699
OCC(O)C(O)C(O)C(O)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,9.1644184,1.44218782
OCC(O)C(O)C(O)C(O)CO,OCC(O)C,-0.5761495,-0.13686812
OCC(O)C(O)C(O)C(O)CO,O=C1CCO1,2.33060534,0.38761387
OCC(O)C(O)C(O)C(O)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.44171235,0.5322444
OCC(O)C(O)C(O)C(O)CO,CCOCC,-0.81384444,-0.03158061
OCC(O)C(O)C(O)C(O)CO,OCC,-1.03900939,-0.20448569
OCC(O)C(O)C(O)C(O)CO,CCCCCC=O,1.61153656,0.32345205
OCC(O)C(O)C(O)C(O)CO,CO,-1.42999989,-0.27622861
OCC(O)C(O)C(O)C(O)CO,OC(C)C,-0.83015728,-0.15264541
OCC(O)C(O)C(O)C(O)CO,CC(C)=O,-1.93615559,-0.44964967
OCC(O)C(O)C(O)C(O)CO,OCCC,-0.33384965,-0.05451988
OCC(O)C(O)C(O)C(O)CO,OCCCC,-0.04287086,0.02212801
OCC(O)C(O)C(O)C(O)CO,OCCCCC,0.32120153,0.11174664
OCC(O)C(O)C(O)C(O)CO,CC1OC1,-0.70450015,-0.15642764
OCC(O)C(O)C(O)C(O)CO,CCC(C)(C)C,12.57956949,1.53224398
OCC(O)C(O)C(O)C(O)CO,CC(C)(C)C(C)=O,0.00996715,0.01185196
OCC(O)C(O)C(O)C(O)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.6917955,0.49504193
OCC(O)C(O)C(O)C(O)CO,COC(C)(C)OC,-0.75326747,-0.12967887
OCC(O)C(O)C(O)C(O)CO,CCC1(CC)CCCCC1,12.55516304,1.70041267
OCC(O)C(O)C(O)C(O)CO,CCOC(C)(OCC)OCC,-0.99813604,-0.22189304
OCC(O)C(O)C(O)C(O)CO,CC(C)CCCC(O)(C)CC,1.08192922,0.33345707
OCC(O)C(O)C(O)C(O)CO,CCC(C)C,12.68112428,1.48059039
OCC(O)C(O)C(O)C(O)CO,CC(=C)C=C,9.68735597,1.08283042
OCC(O)C(O)C(O)C(O)CO,CC(=C)C#C,6.69414051,0.76118601
OCC(O)C(O)C(O)C(O)CO,OCC(C)C,0.29293986,0.08527721
OCC(O)C(O)C(O)C(O)CO,CC(C)C=O,0.9029834,0.12857048
OCC(O)C(O)C(O)C(O)CO,CC(=C)C=O,0.75186317,0.11295736
OCC(O)C(O)C(O)C(O)CO,CCC(O)C,-0.10991879,0.00949301
