SMILES0,SMILES,gamma1,gamma2
OCC(O)C(O)C(O)C=O,OC(C)C(O)=O,-0.77871505,-0.1930899
OCC(O)C(O)C(O)C=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.6601011,1.12829506
OCC(O)C(O)C(O)C=O,OCC(O)C,0.36831477,0.08314062
OCC(O)C(O)C(O)C=O,O=C1CCO1,0.73089275,0.13433425
OCC(O)C(O)C(O)C=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.74927823,0.40022669
OCC(O)C(O)C(O)C=O,CCOCC,0.57917398,0.22995511
OCC(O)C(O)C(O)C=O,OCC,0.36661886,0.08477345
OCC(O)C(O)C(O)C=O,CCCCCC=O,1.52823311,0.36650837
OCC(O)C(O)C(O)C=O,CO,-0.10836715,-0.02217997
OCC(O)C(O)C(O)C=O,OC(C)C,0.61703167,0.15218747
OCC(O)C(O)C(O)C=O,CC(C)=O,-1.42330381,-0.32576488
OCC(O)C(O)C(O)C=O,OCCC,0.96153437,0.22485263
OCC(O)C(O)C(O)C=O,OCCCC,1.26191043,0.30839032
OCC(O)C(O)C(O)C=O,OCCCCC,1.59600417,0.39432168
OCC(O)C(O)C(O)C=O,CC1OC1,-0.32508062,-0.05482621
OCC(O)C(O)C(O)C=O,CCC(C)(C)C,9.38521619,1.59723112
OCC(O)C(O)C(O)C=O,CC(C)(C)C(C)=O,0.49545971,0.14514632
OCC(O)C(O)C(O)C=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.32510683,0.59677475
OCC(O)C(O)C(O)C=O,COC(C)(C)OC,0.29762195,0.10604332
OCC(O)C(O)C(O)C=O,CCC1(CC)CCCCC1,9.33903359,1.71074674
OCC(O)C(O)C(O)C=O,CCOC(C)(OCC)OCC,0.36241616,0.10335174
OCC(O)C(O)C(O)C=O,CC(C)CCCC(O)(C)CC,2.41068799,0.60266801
OCC(O)C(O)C(O)C=O,CCC(C)C,9.49161165,1.56428355
OCC(O)C(O)C(O)C=O,CC(=C)C=C,6.40237326,1.02048926
OCC(O)C(O)C(O)C=O,CC(=C)C#C,3.60144559,0.59752573
OCC(O)C(O)C(O)C=O,OCC(C)C,1.43535946,0.34002401
OCC(O)C(O)C(O)C=O,CC(C)C=O,0.76405587,0.1700717
OCC(O)C(O)C(O)C=O,CC(=C)C=O,0.52723303,0.11847564
OCC(O)C(O)C(O)C=O,CCC(O)C,1.20155676,0.29294577
OCC(O)C(O)C(O)C=O,CCC(C)=O,-0.69547865,-0.14675262
OCC(O)C(O)C(O)C=O,COC(C)=O,0.10409822,0.01649919
OCC(O)C(O)C(O)C=O,CC(C)C(C)C,9.44122393,1.61250547
OCC(O)C(O)C(O)C=O,CC(C)C(O)=O,-0.23375314,-0.05701527
OCC(O)C(O)C(O)C=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.32343428,0.55402393
OCC(O)C(O)C(O)C=O,OOC(C)(C)C(CC1)CCC1C,1.58449328,0.41024645
OCC(O)C(O)C(O)C=O,CCOC(C(O)(C)C)=O,0.44627152,0.13215166
OCC(O)C(O)C(O)C=O,COC(=O)C(C)=C,1.76614775,0.39633788
OCC(O)C(O)C(O)C=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.83834923,0.83893858
OCC(O)C(O)C(O)C=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.23653279,0.30337762
OCC(O)C(O)C(O)C=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.55504379,0.77678757
OCC(O)C(O)C(O)C=O,CCOC(=O)c1ccccc1C(OCC)=O,1.97474559,0.46391992
OCC(O)C(O)C(O)C=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.72915142,0.62826986
OCC(O)C(O)C(O)C=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.3161505,0.73850681
OCC(O)C(O)C(O)C=O,CC(C)CCOC(=O)c1ccccc1O,4.68748079,1.02269634
OCC(O)C(O)C(O)C=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.21065817,0.92252775
OCC(O)C(O)C(O)C=O,O=C2c1ccccc1CO2,1.02223325,0.23870167
OCC(O)C(O)C(O)C=O,OCC(O)C(O)C(O)CO,-0.01001061,-0.00577323
OCC(O)C(O)C(O)C=O,CCC(CC)C(O)=O,0.35598297,0.09652453
OCC(O)C(O)C(O)C=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.94748351,0.47309692
OCC(O)C(O)C(O)C=O,COc1cc(C)ccc1C(C)(C)C,6.54515038,1.25306186
OCC(O)C(O)C(O)C=O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.06105484,1.58343967
OCC(O)C(O)C(O)C=O,COC(=O)c1ccccc1C,2.99601788,0.67867033
OCC(O)C(O)C(O)C=O,CC(=O)c1ccc(C)cc1C,1.4158285,0.37462191
OCC(O)C(O)C(O)C=O,Cc2c1ccccc1ccc2,5.72804952,1.05079933
OCC(O)C(O)C(O)C=O,O=C2CCCCC2C1CCCCC1,1.93946911,0.48781073
OCC(O)C(O)C(O)C=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.35477386,0.33087338
OCC(O)C(O)C(O)C=O,CC(C=O)c1ccccc1,2.2969482,0.51522052
OCC(O)C(O)C(O)C=O,CCC(O)c1ccccc1,1.4243285,0.35939454
OCC(O)C(O)C(O)C=O,CCOC(=O)c1ccccc1,2.77479825,0.63421453
OCC(O)C(O)C(O)C=O,CC(OC(C)c2ccccc2)c1ccccc1,3.40058505,0.84114555
OCC(O)C(O)C(O)C=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.23173438,0.72555498
OCC(O)C(O)C(O)C=O,CCOC(=O)c(cc1)ccc1C,2.80287541,0.6515437
OCC(O)C(O)C(O)C=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-10.96539645,-0.53212019
OCC(O)C(O)C(O)C=O,O=C(OCCc1ccccc1)c2ccccc2,3.47730124,0.79167216
OCC(O)C(O)C(O)C=O,CCCc2cc1OCOc1cc2,4.70893544,0.93673427
OCC(O)C(O)C(O)C=O,COC(C1CCC(CC1)C(OC)=O)=O,0.971752,0.23008266
OCC(O)C(O)C(O)C=O,CCCC1CCCCC1=O,1.15969114,0.30663498
OCC(O)C(O)C(O)C=O,CCOc1ccc(C=CC)cc1O,1.86480555,0.49334118
OCC(O)C(O)C(O)C=O,CCCC(O)C(CO)CC,1.13822117,0.28787662
OCC(O)C(O)C(O)C=O,Cc(ccc1C)cc1C,6.49466574,1.1731484
OCC(O)C(O)C(O)C=O,CCOC(=O)C(OCC)=O,1.37427124,0.31070146
OCC(O)C(O)C(O)C=O,CC1OC(C(C)OC1=O)=O,1.02855637,0.23278787
OCC(O)C(O)C(O)C=O,CCCCC(=O)C(C)=O,2.63719076,0.57261758
OCC(O)C(O)C(O)C=O,C=CCOC(=O)C(C)=C,2.67549323,0.60544347
OCC(O)C(O)C(O)C=O,C1OC1c2ccccc2,2.73693742,0.58283673
OCC(O)C(O)C(O)C=O,CCC(C)CC,9.50768011,1.63335018
OCC(O)C(O)C(O)C=O,CCC(CC)=O,0.14198801,0.05564205
OCC(O)C(O)C(O)C=O,OCC(CO)=O,0.04574646,0.00846162
OCC(O)C(O)C(O)C=O,COC(=O)C=C,1.41487699,0.30254201
OCC(O)C(O)C(O)C=O,COC(CO)=O,-0.19935309,-0.04663461
OCC(O)C(O)C(O)C=O,CC1CCCC1,9.40370044,1.5738018
OCC(O)C(O)C(O)C=O,CC1CCCO1,-1.13149901,-0.16701971
