SMILES0,SMILES,gamma1,gamma2
OCC(O)C(O)C(O)CO,OC(C)C(O)=O,-1.82344114,-0.45850957
OCC(O)C(O)C(O)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.29061322,0.97506123
OCC(O)C(O)C(O)CO,OCC(O)C,0.04955128,0.01098483
OCC(O)C(O)C(O)CO,O=C1CCO1,1.84795163,0.36208927
OCC(O)C(O)C(O)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.9458265,0.44565531
OCC(O)C(O)C(O)CO,CCOCC,0.86507778,0.2416575
OCC(O)C(O)C(O)CO,OCC,0.05426125,0.01130401
OCC(O)C(O)C(O)CO,CCCCCC=O,1.70359162,0.3752352
OCC(O)C(O)C(O)CO,CO,-0.23196311,-0.04691841
OCC(O)C(O)C(O)CO,OC(C)C,0.28811488,0.06780862
OCC(O)C(O)C(O)CO,CC(C)=O,-0.45811702,-0.11698561
OCC(O)C(O)C(O)CO,OCCC,0.40092748,0.09386021
OCC(O)C(O)C(O)CO,OCCCC,0.65860941,0.1617889
OCC(O)C(O)C(O)CO,OCCCCC,0.90354442,0.22567646
OCC(O)C(O)C(O)CO,CC1OC1,0.35847211,0.06592023
OCC(O)C(O)C(O)CO,CCC(C)(C)C,8.06992998,1.27220357
OCC(O)C(O)C(O)CO,CC(C)(C)C(C)=O,0.91558124,0.21420528
OCC(O)C(O)C(O)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.22604439,0.55165436
OCC(O)C(O)C(O)CO,COC(C)(C)OC,0.68289549,0.17175157
OCC(O)C(O)C(O)CO,CCC1(CC)CCCCC1,8.02698342,1.3662362
OCC(O)C(O)C(O)CO,CCOC(C)(OCC)OCC,0.68007995,0.18289216
OCC(O)C(O)C(O)CO,CC(C)CCCC(O)(C)CC,1.72939523,0.43277164
OCC(O)C(O)C(O)CO,CCC(C)C,8.15925657,1.24533759
OCC(O)C(O)C(O)CO,CC(=C)C=C,5.82192574,0.8428832
OCC(O)C(O)C(O)CO,CC(=C)C#C,3.15823524,0.44237556
OCC(O)C(O)C(O)CO,OCC(C)C,0.66440631,0.1626581
OCC(O)C(O)C(O)CO,CC(C)C=O,1.20626831,0.23564684
OCC(O)C(O)C(O)CO,CC(=C)C=O,1.14161304,0.23131555
OCC(O)C(O)C(O)CO,CCC(O)C,0.6681297,0.16252616
OCC(O)C(O)C(O)CO,CCC(C)=O,0.02246061,-0.00028526
OCC(O)C(O)C(O)CO,COC(C)=O,0.85306803,0.16440171
OCC(O)C(O)C(O)CO,CC(C)C(C)C,8.11860591,1.28553961
OCC(O)C(O)C(O)CO,CC(C)C(O)=O,-1.67495025,-0.40579416
OCC(O)C(O)C(O)CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.28842602,0.53653096
OCC(O)C(O)C(O)CO,OOC(C)(C)C(CC1)CCC1C,0.09003489,0.05363076
OCC(O)C(O)C(O)CO,CCOC(C(O)(C)C)=O,0.70785895,0.18368669
OCC(O)C(O)C(O)CO,COC(=O)C(C)=C,2.08555325,0.43743174
OCC(O)C(O)C(O)CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.57485603,0.74132689
OCC(O)C(O)C(O)CO,COc2cccc3c2C(=O)c1ccccc1C3=O,1.75805953,0.4207635
OCC(O)C(O)C(O)CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.43652919,0.5363947
OCC(O)C(O)C(O)CO,CCOC(=O)c1ccccc1C(OCC)=O,2.27620837,0.51573136
OCC(O)C(O)C(O)CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.71829689,0.61202181
OCC(O)C(O)C(O)CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.1142148,0.68582776
OCC(O)C(O)C(O)CO,CC(C)CCOC(=O)c1ccccc1O,4.29283679,0.88977836
OCC(O)C(O)C(O)CO,Oc2ccccc2C(OCCc1ccccc1)=O,4.04927489,0.84064988
OCC(O)C(O)C(O)CO,O=C2c1ccccc1CO2,1.73715539,0.39310639
OCC(O)C(O)C(O)CO,OCC(O)C(O)C(O)CO,0,0
OCC(O)C(O)C(O)CO,CCC(CC)C(O)=O,-1.26761995,-0.29858818
OCC(O)C(O)C(O)CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.87391528,0.21955341
