SMILES0,SMILES,gamma1,gamma2
OCC(O)C(O)C,OC(C)C(O)=O,-1.53203278,-0.40034468
OCC(O)C(O)C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.18599975,0.99776279
OCC(O)C(O)C,OCC(O)C,0.00280369,0.0007423
OCC(O)C(O)C,O=C1CCO1,2.6419512,0.51731138
OCC(O)C(O)C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.31185509,0.50184316
OCC(O)C(O)C,CCOCC,0.99225264,0.2480346
OCC(O)C(O)C,OCC,-0.00863852,-0.00148329
OCC(O)C(O)C,CCCCCC=O,2.12709459,0.43590939
OCC(O)C(O)C,CO,-0.15112819,-0.03315118
OCC(O)C(O)C,OC(C)C,0.16746828,0.04232194
OCC(O)C(O)C,CC(C)=O,0.20121419,0.02347622
OCC(O)C(O)C,OCCC,0.250231,0.06167648
OCC(O)C(O)C,OCCCC,0.45474925,0.11464958
OCC(O)C(O)C,OCCCCC,0.65049161,0.16433481
OCC(O)C(O)C,CC1OC1,0.91417645,0.16852567
OCC(O)C(O)C,CCC(C)(C)C,8.80870597,1.17113022
OCC(O)C(O)C,CC(C)(C)C(C)=O,1.28468937,0.27509036
OCC(O)C(O)C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.22835244,0.53017299
OCC(O)C(O)C,COC(C)(C)OC,0.88817501,0.20347299
OCC(O)C(O)C,CCC1(CC)CCCCC1,8.73243002,1.25266934
OCC(O)C(O)C,CCOC(C)(OCC)OCC,0.75572459,0.19622464
OCC(O)C(O)C,CC(C)CCCC(O)(C)CC,1.36746941,0.33696728
OCC(O)C(O)C,CCC(C)C,8.90629377,1.14743364
OCC(O)C(O)C,CC(=C)C=C,6.79239832,0.85966456
OCC(O)C(O)C,CC(=C)C#C,4.14486528,0.5243706
OCC(O)C(O)C,OCC(C)C,0.47822391,0.11985197
OCC(O)C(O)C,CC(C)C=O,1.7709752,0.32847653
OCC(O)C(O)C,CC(=C)C=O,1.66201047,0.32353258
OCC(O)C(O)C,CCC(O)C,0.48588999,0.12149668
OCC(O)C(O)C,CCC(C)=O,0.55331805,0.10734376
OCC(O)C(O)C,COC(C)=O,1.41891953,0.26992362
OCC(O)C(O)C,CC(C)C(C)C,8.85277612,1.18171199
OCC(O)C(O)C,CC(C)C(O)=O,-1.54155022,-0.38926359
OCC(O)C(O)C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.49108955,0.55158666
OCC(O)C(O)C,OOC(C)(C)C(CC1)CCC1C,0.04644871,0.0260202
OCC(O)C(O)C,CCOC(C(O)(C)C)=O,0.81380256,0.20064633
OCC(O)C(O)C,COC(=O)C(C)=C,2.50339927,0.48770834
OCC(O)C(O)C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.78833808,0.71128031
OCC(O)C(O)C,COc2cccc3c2C(=O)c1ccccc1C3=O,2.0336878,0.46388007
OCC(O)C(O)C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.08513255,0.44988323
OCC(O)C(O)C,CCOC(=O)c1ccccc1C(OCC)=O,2.73104269,0.5767303
OCC(O)C(O)C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.08972733,0.65025134
OCC(O)C(O)C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.45469574,0.71509351
OCC(O)C(O)C,CC(C)CCOC(=O)c1ccccc1O,4.65171069,0.87387681
OCC(O)C(O)C,Oc2ccccc2C(OCCc1ccccc1)=O,4.53140364,0.8552694
OCC(O)C(O)C,O=C2c1ccccc1CO2,2.21371708,0.48033294
OCC(O)C(O)C,OCC(O)C(O)C(O)CO,0.01240617,0.00373582
OCC(O)C(O)C,CCC(CC)C(O)=O,-1.25321255,-0.3120677
OCC(O)C(O)C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.74183025,0.17914315
OCC(O)C(O)C,COc1cc(C)ccc1C(C)(C)C,6.73818753,1.02173395
OCC(O)C(O)C,CC2CCC(CC1=C2CCC1C)=C(C)C,7.65935237,1.20285004
OCC(O)C(O)C,COC(=O)c1ccccc1C,3.4062681,0.67571839
OCC(O)C(O)C,CC(=O)c1ccc(C)cc1C,1.89569088,0.43784731
OCC(O)C(O)C,Cc2c1ccccc1ccc2,6.29820526,0.92828976
OCC(O)C(O)C,O=C2CCCCC2C1CCCCC1,2.14369078,0.48024725
OCC(O)C(O)C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.04843932,0.46344367
OCC(O)C(O)C,CC(C=O)c1ccccc1,3.0422289,0.60287808
OCC(O)C(O)C,CCC(O)c1ccccc1,0.58483833,0.15071475
OCC(O)C(O)C,CCOC(=O)c1ccccc1,3.2394937,0.65082284
OCC(O)C(O)C,CC(OC(C)c2ccccc2)c1ccccc1,3.32804675,0.75103904
OCC(O)C(O)C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.7383052,0.75353203
OCC(O)C(O)C,CCOC(=O)c(cc1)ccc1C,3.18358399,0.65202675
OCC(O)C(O)C,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-7.66686358,-0.33412013
OCC(O)C(O)C,O=C(OCCc1ccccc1)c2ccccc2,3.88967896,0.77783327
OCC(O)C(O)C,CCCc2cc1OCOc1cc2,5.04223701,0.8237541
OCC(O)C(O)C,COC(C1CCC(CC1)C(OC)=O)=O,1.85901227,0.40513378
OCC(O)C(O)C,CCCC1CCCCC1=O,1.622181,0.36409894
OCC(O)C(O)C,CCOc1ccc(C=CC)cc1O,1.17487978,0.29283268
OCC(O)C(O)C,CCCC(O)C(CO)CC,0.54094081,0.13316386
OCC(O)C(O)C,Cc(ccc1C)cc1C,6.80015993,0.97465972
OCC(O)C(O)C,CCOC(=O)C(OCC)=O,2.46919128,0.50311217
OCC(O)C(O)C,CC1OC(C(C)OC1=O)=O,2.09822452,0.44365301
OCC(O)C(O)C,CCCCC(=O)C(C)=O,3.29212514,0.61931274
OCC(O)C(O)C,C=CCOC(=O)C(C)=C,3.16827599,0.6275835
OCC(O)C(O)C,C1OC1c2ccccc2,3.49012643,0.65775433
OCC(O)C(O)C,CCC(C)CC,8.90402784,1.19651846
