SMILES0,SMILES,gamma1,gamma2
OCC(O)C(O)C=O,OC(C)C(O)=O,-0.49101332,-0.11307836
OCC(O)C(O)C=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.05751223,1.10134922
OCC(O)C(O)C=O,OCC(O)C,0.14467697,0.03258266
OCC(O)C(O)C=O,O=C1CCO1,0.83764227,0.15467984
OCC(O)C(O)C=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.71798918,0.37420781
OCC(O)C(O)C=O,CCOCC,0.1242622,0.15523572
OCC(O)C(O)C=O,OCC,0.05855796,0.03697775
OCC(O)C(O)C=O,CCCCCC=O,1.5038444,0.35828682
OCC(O)C(O)C=O,CO,-0.42025641,-0.0787752
OCC(O)C(O)C=O,OC(C)C,0.27653974,0.09795564
OCC(O)C(O)C=O,CC(C)=O,-1.50348307,-0.35558665
OCC(O)C(O)C=O,OCCC,0.72963217,0.19294152
OCC(O)C(O)C=O,OCCCC,1.00261541,0.26820498
OCC(O)C(O)C=O,OCCCCC,1.33585384,0.34952337
OCC(O)C(O)C=O,CC1OC1,-0.37548897,-0.06482347
OCC(O)C(O)C=O,CCC(C)(C)C,8.40003604,1.58700748
OCC(O)C(O)C=O,CC(C)(C)C(C)=O,0.35069465,0.1056713
OCC(O)C(O)C=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.96986405,0.51080658
OCC(O)C(O)C=O,COC(C)(C)OC,-0.05503761,0.02489341
OCC(O)C(O)C=O,CCC1(CC)CCCCC1,8.33499886,1.66697762
OCC(O)C(O)C=O,CCOC(C)(OCC)OCC,-0.1469164,-0.03946901
OCC(O)C(O)C=O,CC(C)CCCC(O)(C)CC,1.9982963,0.50721443
OCC(O)C(O)C=O,CCC(C)C,8.50346233,1.5639539
OCC(O)C(O)C=O,CC(=C)C=C,5.81014872,1.06779607
OCC(O)C(O)C=O,CC(=C)C#C,3.30061151,0.67821875
OCC(O)C(O)C=O,OCC(C)C,1.28535903,0.32253925
OCC(O)C(O)C=O,CC(C)C=O,0.81383863,0.17993676
