SMILES0,SMILES,gamma1,gamma2
OCC(O)C(O)CC=O,OC(C)C(O)=O,-1.59242604,-0.3924786
OCC(O)C(O)CC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.32013049,0.91880736
OCC(O)C(O)CC=O,OCC(O)C,0.49934889,0.11948801
OCC(O)C(O)CC=O,O=C1CCO1,1.09368566,0.21191914
OCC(O)C(O)CC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.7632483,0.4004447
OCC(O)C(O)CC=O,CCOCC,1.01964616,0.31111274
OCC(O)C(O)CC=O,OCC,0.63467458,0.14563702
OCC(O)C(O)CC=O,CCCCCC=O,1.6925176,0.3937309
OCC(O)C(O)CC=O,CO,0.28191951,0.06147172
OCC(O)C(O)CC=O,OC(C)C,0.8533956,0.20604981
OCC(O)C(O)CC=O,CC(C)=O,-0.68099315,-0.15576191
OCC(O)C(O)CC=O,OCCC,1.03405967,0.24520663
OCC(O)C(O)CC=O,OCCCC,1.29497062,0.31868903
OCC(O)C(O)CC=O,OCCCCC,1.55804816,0.38820318
OCC(O)C(O)CC=O,CC1OC1,0.21223794,0.0549926
OCC(O)C(O)CC=O,CCC(C)(C)C,7.7063903,1.41649888
OCC(O)C(O)CC=O,CC(C)(C)C(C)=O,0.90031004,0.2297044
OCC(O)C(O)CC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.38931088,0.59571176
OCC(O)C(O)CC=O,COC(C)(C)OC,0.75022216,0.20769349
OCC(O)C(O)CC=O,CCC1(CC)CCCCC1,7.66500424,1.50205151
OCC(O)C(O)CC=O,CCOC(C)(OCC)OCC,0.81683032,0.21818603
OCC(O)C(O)CC=O,CC(C)CCCC(O)(C)CC,2.34559341,0.58282036
OCC(O)C(O)CC=O,CCC(C)C,7.8058442,1.39334411
OCC(O)C(O)CC=O,CC(=C)C=C,5.03606886,0.8821703
OCC(O)C(O)CC=O,CC(=C)C#C,2.11401023,0.42679976
OCC(O)C(O)CC=O,OCC(C)C,1.31797913,0.32105222
OCC(O)C(O)CC=O,CC(C)C=O,1.07798691,0.23115541
OCC(O)C(O)CC=O,CC(=C)C=O,0.90715736,0.19734827
OCC(O)C(O)CC=O,CCC(O)C,1.26685671,0.30996293
OCC(O)C(O)CC=O,CCC(C)=O,-0.09227124,-0.01081747
OCC(O)C(O)CC=O,COC(C)=O,0.54968441,0.11123277
OCC(O)C(O)CC=O,CC(C)C(C)C,7.75861281,1.43061235
OCC(O)C(O)CC=O,CC(C)C(O)=O,-1.18377824,-0.27801895
OCC(O)C(O)CC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.34866272,0.55160105
OCC(O)C(O)CC=O,OOC(C)(C)C(CC1)CCC1C,0.46920063,0.16958228
OCC(O)C(O)CC=O,CCOC(C(O)(C)C)=O,0.75706349,0.20145584
OCC(O)C(O)CC=O,COC(=O)C(C)=C,1.88232441,0.4153068
OCC(O)C(O)CC=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.89961637,0.65059323
OCC(O)C(O)CC=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.43327969,0.34404932
OCC(O)C(O)CC=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.01517861,0.6522345
OCC(O)C(O)CC=O,CCOC(=O)c1ccccc1C(OCC)=O,1.95460632,0.45289016
OCC(O)C(O)CC=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.56171993,0.58271627
OCC(O)C(O)CC=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.03010018,0.66771314
OCC(O)C(O)CC=O,CC(C)CCOC(=O)c1ccccc1O,4.00107923,0.88140884
OCC(O)C(O)CC=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.477627,0.77435001
OCC(O)C(O)CC=O,O=C2c1ccccc1CO2,1.24427516,0.28772852
OCC(O)C(O)CC=O,OCC(O)C(O)C(O)CO,0.09320236,0.02188736
OCC(O)C(O)CC=O,CCC(CC)C(O)=O,-0.74622408,-0.15656841
OCC(O)C(O)CC=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.29841149,0.32925888
OCC(O)C(O)CC=O,COc1cc(C)ccc1C(C)(C)C,5.15811415,1.05544137
OCC(O)C(O)CC=O,CC2CCC(CC1=C2CCC1C)=C(C)C,6.58700142,1.36272187
OCC(O)C(O)CC=O,COC(=O)c1ccccc1C,2.79072238,0.62726053
