SMILES0,SMILES,gamma1,gamma2
OCC(O)C(O)CO,OC(C)C(O)=O,-1.2725881,-0.31501855
OCC(O)C(O)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.88133655,1.35943653
OCC(O)C(O)CO,OCC(O)C,0.02321091,0.00397478
OCC(O)C(O)CO,O=C1CCO1,2.94237197,0.51579696
OCC(O)C(O)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,3.26975898,0.6951771
OCC(O)C(O)CO,CCOCC,1.25195309,0.33705833
OCC(O)C(O)CO,OCC,-0.01724094,-0.00168122
OCC(O)C(O)CO,CCCCCC=O,2.88742511,0.58411909
OCC(O)C(O)CO,CO,-0.43314272,-0.09692677
OCC(O)C(O)CO,OC(C)C,0.2959711,0.07824047
OCC(O)C(O)CO,CC(C)=O,0.04935172,-0.02120642
OCC(O)C(O)CO,OCCC,0.51643273,0.12683071
OCC(O)C(O)CO,OCCCC,0.82414095,0.2068762
OCC(O)C(O)CO,OCCCCC,1.13138726,0.28405328
OCC(O)C(O)CO,CC1OC1,1.09430973,0.19806661
OCC(O)C(O)CO,CCC(C)(C)C,12.36632679,1.55106078
OCC(O)C(O)CO,CC(C)(C)C(C)=O,1.69012398,0.3627181
OCC(O)C(O)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.97940449,0.72015628
OCC(O)C(O)CO,COC(C)(C)OC,1.14343639,0.26824349
OCC(O)C(O)CO,CCC1(CC)CCCCC1,12.28887674,1.66733057
OCC(O)C(O)CO,CCOC(C)(OCC)OCC,0.94065899,0.23728071
OCC(O)C(O)CO,CC(C)CCCC(O)(C)CC,2.04286095,0.50734425
OCC(O)C(O)CO,CCC(C)C,12.48726373,1.51604994
OCC(O)C(O)CO,CC(=C)C=C,9.63893687,1.14656655
OCC(O)C(O)CO,CC(=C)C#C,6.50034045,0.78524144
OCC(O)C(O)CO,OCC(C)C,0.97366067,0.23911146
OCC(O)C(O)CO,CC(C)C=O,2.33891026,0.4220962
OCC(O)C(O)CO,CC(=C)C=O,2.09381367,0.39197866
OCC(O)C(O)CO,CCC(O)C,0.8534437,0.21426402
OCC(O)C(O)CO,CCC(C)=O,0.62192361,0.11635306
OCC(O)C(O)CO,COC(C)=O,1.74747135,0.31368062
OCC(O)C(O)CO,CC(C)C(C)C,12.42257067,1.56412547
OCC(O)C(O)CO,CC(C)C(O)=O,-0.85906012,-0.19527194
OCC(O)C(O)CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.41148692,0.74970695
OCC(O)C(O)CO,OOC(C)(C)C(CC1)CCC1C,1.31724692,0.33652812
OCC(O)C(O)CO,CCOC(C(O)(C)C)=O,1.09578476,0.27702654
OCC(O)C(O)CO,COC(=O)C(C)=C,3.36693472,0.63736563
OCC(O)C(O)CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,5.70766256,1.04381263
OCC(O)C(O)CO,COc2cccc3c2C(=O)c1ccccc1C3=O,2.56679192,0.58415678
OCC(O)C(O)CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.30614097,0.71465362
OCC(O)C(O)CO,CCOC(=O)c1ccccc1C(OCC)=O,3.72318713,0.76868957
OCC(O)C(O)CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,4.32326921,0.89325708
OCC(O)C(O)CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,4.87791198,0.99017003
OCC(O)C(O)CO,CC(C)CCOC(=O)c1ccccc1O,6.53952802,1.19910298
OCC(O)C(O)CO,Oc2ccccc2C(OCCc1ccccc1)=O,6.35657474,1.16822124
OCC(O)C(O)CO,O=C2c1ccccc1CO2,2.70119325,0.56327163
OCC(O)C(O)CO,OCC(O)C(O)C(O)CO,0.04072895,0.00978145
OCC(O)C(O)CO,CCC(CC)C(O)=O,-0.34543766,-0.06380442
OCC(O)C(O)CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.71026375,0.40722849
OCC(O)C(O)CO,COc1cc(C)ccc1C(C)(C)C,9.64642834,1.3896526
OCC(O)C(O)CO,CC2CCC(CC1=C2CCC1C)=C(C)C,10.79539609,1.62119515
OCC(O)C(O)CO,COC(=O)c1ccccc1C,4.64262581,0.90057141
OCC(O)C(O)CO,CC(=O)c1ccc(C)cc1C,2.47481209,0.57775447
OCC(O)C(O)CO,Cc2c1ccccc1ccc2,8.98126945,1.24578316
OCC(O)C(O)CO,O=C2CCCCC2C1CCCCC1,2.89730158,0.64951928
OCC(O)C(O)CO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.66803757,0.6016143
OCC(O)C(O)CO,CC(C=O)c1ccccc1,4.08604548,0.7878619
OCC(O)C(O)CO,CCC(O)c1ccccc1,1.4924264,0.36743616
OCC(O)C(O)CO,CCOC(=O)c1ccccc1,4.40896607,0.86500469
