SMILES0,SMILES,gamma1,gamma2
OCC(O)C,OC(C)C(O)=O,-1.26734524,-0.33712574
OCC(O)C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.78306923,0.93078019
OCC(O)C,OCC(O)C,0,0
OCC(O)C,O=C1CCO1,2.78169376,0.56402033
OCC(O)C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.21689171,0.46948401
OCC(O)C,CCOCC,1.00110314,0.22942324
OCC(O)C,OCC,-0.015371,-0.00305639
OCC(O)C,CCCCCC=O,2.11812479,0.43157242
OCC(O)C,CO,-0.09382338,-0.02183018
OCC(O)C,OC(C)C,0.12174749,0.03105239
OCC(O)C,CC(C)=O,0.50880823,0.09324305
OCC(O)C,OCCC,0.19271656,0.04829902
OCC(O)C,OCCCC,0.35295931,0.08896787
OCC(O)C,OCCCCC,0.51005753,0.12772702
OCC(O)C,CC1OC1,1.1103423,0.21029291
OCC(O)C,CCC(C)(C)C,8.0402299,1.0595062
OCC(O)C,CC(C)(C)C(C)=O,1.34511356,0.28198558
OCC(O)C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.03827061,0.46691944
OCC(O)C,COC(C)(C)OC,0.92815783,0.2015402
OCC(O)C,CCC1(CC)CCCCC1,7.94473353,1.11890229
OCC(O)C,CCOC(C)(OCC)OCC,0.74521386,0.18659711
OCC(O)C,CC(C)CCCC(O)(C)CC,1.10147467,0.26309831
OCC(O)C,CCC(C)C,8.13538992,1.04221203
OCC(O)C,CC(=C)C=C,6.37372944,0.82897774
OCC(O)C,CC(=C)C#C,4.10398348,0.56525399
OCC(O)C,OCC(C)C,0.39632263,0.09934501
OCC(O)C,CC(C)C=O,1.86436968,0.35307271
OCC(O)C,CC(=C)C=O,1.75945888,0.34797327
OCC(O)C,CCC(O)C,0.39405774,0.09864987
OCC(O)C,CCC(C)=O,0.76695903,0.15339437
OCC(O)C,COC(C)=O,1.56158845,0.30610409
OCC(O)C,CC(C)C(C)C,8.07671601,1.06758768
OCC(O)C,CC(C)C(O)=O,-1.34146966,-0.35222341
OCC(O)C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.32337118,0.4977704
OCC(O)C,OOC(C)(C)C(CC1)CCC1C,0.06177175,0.01345547
OCC(O)C,CCOC(C(O)(C)C)=O,0.8146985,0.19249865
OCC(O)C,COC(=O)C(C)=C,2.44737761,0.4778923
