SMILES0,SMILES,gamma1,gamma2
OCC(O)C1OC(=O)C(O)=C1O,OC(C)C(O)=O,-0.13395699,-0.02900666
OCC(O)C1OC(=O)C(O)=C1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,11.06324548,1.85887337
OCC(O)C1OC(=O)C(O)=C1O,OCC(O)C,-2.90316927,-0.7044002
OCC(O)C1OC(=O)C(O)=C1O,O=C1CCO1,-0.38569914,-0.13219857
OCC(O)C1OC(=O)C(O)=C1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.86806258,0.18998883
OCC(O)C1OC(=O)C(O)=C1O,CCOCC,-4.13052522,-0.50384741
OCC(O)C1OC(=O)C(O)=C1O,OCC,-3.78867506,-0.76688602
OCC(O)C1OC(=O)C(O)=C1O,CCCCCC=O,-0.33478011,0.05694481
OCC(O)C1OC(=O)C(O)=C1O,CO,-4.61576872,-0.9472858
OCC(O)C1OC(=O)C(O)=C1O,OC(C)C,-3.47930701,-0.67699407
OCC(O)C1OC(=O)C(O)=C1O,CC(C)=O,-5.80721666,-1.28875199
OCC(O)C1OC(=O)C(O)=C1O,OCCC,-2.40176395,-0.45440268
OCC(O)C1OC(=O)C(O)=C1O,OCCCC,-2.02600445,-0.34156451
OCC(O)C1OC(=O)C(O)=C1O,OCCCCC,-1.47618229,-0.20420472
OCC(O)C1OC(=O)C(O)=C1O,CC1OC1,-3.9751633,-0.72068372
OCC(O)C1OC(=O)C(O)=C1O,CCC(C)(C)C,16.427051,2.17985108
OCC(O)C1OC(=O)C(O)=C1O,CC(C)(C)C(C)=O,-2.79552859,-0.49600842
OCC(O)C1OC(=O)C(O)=C1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-0.78161455,0.13431523
OCC(O)C1OC(=O)C(O)=C1O,COC(C)(C)OC,-4.00132633,-0.77820736
OCC(O)C1OC(=O)C(O)=C1O,CCC1(CC)CCCCC1,16.37078591,2.39189919
OCC(O)C1OC(=O)C(O)=C1O,CCOC(C)(OCC)OCC,-4.60840206,-1.20870999
OCC(O)C1OC(=O)C(O)=C1O,CC(C)CCCC(O)(C)CC,-0.90453969,-0.00574458
OCC(O)C1OC(=O)C(O)=C1O,CCC(C)C,16.55655755,2.10977159
OCC(O)C1OC(=O)C(O)=C1O,CC(=C)C=C,12.08918002,1.48205663
OCC(O)C1OC(=O)C(O)=C1O,CC(=C)C#C,8.97013697,1.09834656
OCC(O)C1OC(=O)C(O)=C1O,OCC(C)C,-1.19998898,-0.17437572
OCC(O)C1OC(=O)C(O)=C1O,CC(C)C=O,-1.3780121,-0.21499831
OCC(O)C1OC(=O)C(O)=C1O,CC(=C)C=O,-2.09335121,-0.38867102
OCC(O)C1OC(=O)C(O)=C1O,CCC(O)C,-2.21331027,-0.38205477
OCC(O)C1OC(=O)C(O)=C1O,CCC(C)=O,-4.68261372,-0.99961029
OCC(O)C1OC(=O)C(O)=C1O,COC(C)=O,-2.55145873,-0.54096294
OCC(O)C1OC(=O)C(O)=C1O,CC(C)C(C)C,16.49424632,2.19653167
OCC(O)C1OC(=O)C(O)=C1O,CC(C)C(O)=O,0.99630112,0.24700532
OCC(O)C1OC(=O)C(O)=C1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.28378589,0.15729904
OCC(O)C1OC(=O)C(O)=C1O,OOC(C)(C)C(CC1)CCC1C,3.47167408,0.85548541
OCC(O)C1OC(=O)C(O)=C1O,CCOC(C(O)(C)C)=O,-3.45293009,-0.66621435
OCC(O)C1OC(=O)C(O)=C1O,COC(=O)C(C)=C,0.36631892,0.12307129
OCC(O)C1OC(=O)C(O)=C1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,6.28550455,1.30658138
OCC(O)C1OC(=O)C(O)=C1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-1.34907605,-0.23463478
OCC(O)C1OC(=O)C(O)=C1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.27779467,0.5825384
OCC(O)C1OC(=O)C(O)=C1O,CCOC(=O)c1ccccc1C(OCC)=O,1.32934997,0.33918412
OCC(O)C1OC(=O)C(O)=C1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.43025231,0.59856176
OCC(O)C1OC(=O)C(O)=C1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.47295948,0.80345903
OCC(O)C1OC(=O)C(O)=C1O,CC(C)CCOC(=O)c1ccccc1O,6.40110032,1.39334148
OCC(O)C1OC(=O)C(O)=C1O,Oc2ccccc2C(OCCc1ccccc1)=O,6.19415066,1.34289561
OCC(O)C1OC(=O)C(O)=C1O,O=C2c1ccccc1CO2,-0.84014072,-0.16307038
OCC(O)C1OC(=O)C(O)=C1O,OCC(O)C(O)C(O)CO,-2.96701588,-0.76465917
OCC(O)C1OC(=O)C(O)=C1O,CCC(CC)C(O)=O,1.99552618,0.49735804
OCC(O)C1OC(=O)C(O)=C1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.12999269,0.35223038
OCC(O)C1OC(=O)C(O)=C1O,COc1cc(C)ccc1C(C)(C)C,12.38432565,1.95185392
OCC(O)C1OC(=O)C(O)=C1O,CC2CCC(CC1=C2CCC1C)=C(C)C,13.92688265,2.33264053
OCC(O)C1OC(=O)C(O)=C1O,COC(=O)c1ccccc1C,2.61979906,0.66076047
OCC(O)C1OC(=O)C(O)=C1O,CC(=O)c1ccc(C)cc1C,-1.72557663,-0.14999066
OCC(O)C1OC(=O)C(O)=C1O,Cc2c1ccccc1ccc2,11.12272619,1.63477687
OCC(O)C1OC(=O)C(O)=C1O,O=C2CCCCC2C1CCCCC1,-0.6835957,0.02993591
OCC(O)C1OC(=O)C(O)=C1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.99839585,-0.18684436
OCC(O)C1OC(=O)C(O)=C1O,CC(C=O)c1ccccc1,1.75135618,0.46539188
OCC(O)C1OC(=O)C(O)=C1O,CCC(O)c1ccccc1,0.94908148,0.32180448
OCC(O)C1OC(=O)C(O)=C1O,CCOC(=O)c1ccccc1,2.19529162,0.55108883
OCC(O)C1OC(=O)C(O)=C1O,CC(OC(C)c2ccccc2)c1ccccc1,1.43810228,0.90407575
OCC(O)C1OC(=O)C(O)=C1O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,4.11411515,0.94385727
OCC(O)C1OC(=O)C(O)=C1O,CCOC(=O)c(cc1)ccc1C,2.03516775,0.53528918
OCC(O)C1OC(=O)C(O)=C1O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-31.05676762,-2.07267671
OCC(O)C1OC(=O)C(O)=C1O,O=C(OCCc1ccccc1)c2ccccc2,4.06312101,0.96640773
OCC(O)C1OC(=O)C(O)=C1O,CCCc2cc1OCOc1cc2,8.57155585,1.50817169
OCC(O)C1OC(=O)C(O)=C1O,COC(C1CCC(CC1)C(OC)=O)=O,-0.74457612,-0.18405031
OCC(O)C1OC(=O)C(O)=C1O,CCCC1CCCCC1=O,-1.96914987,-0.31101965
OCC(O)C1OC(=O)C(O)=C1O,CCOc1ccc(C=CC)cc1O,4.87988697,1.09011082
OCC(O)C1OC(=O)C(O)=C1O,CCCC(O)C(CO)CC,-2.85709044,-0.59187743
OCC(O)C1OC(=O)C(O)=C1O,Cc(ccc1C)cc1C,12.14773945,1.76196572
OCC(O)C1OC(=O)C(O)=C1O,CCOC(=O)C(OCC)=O,0.50175304,0.12987725
OCC(O)C1OC(=O)C(O)=C1O,CC1OC(C(C)OC1=O)=O,1.23561811,0.26560729
OCC(O)C1OC(=O)C(O)=C1O,CCCCC(=O)C(C)=O,3.07097776,0.67164261
OCC(O)C1OC(=O)C(O)=C1O,C=CCOC(=O)C(C)=C,1.98777219,0.50754347
