SMILES0,SMILES,gamma1,gamma2
OCC(O)C=C,OC(C)C(O)=O,-0.76506814,-0.20538996
OCC(O)C=C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.01931609,0.8322862
OCC(O)C=C,OCC(O)C,-0.0201546,-0.00571731
OCC(O)C=C,O=C1CCO1,1.82061514,0.37073119
OCC(O)C=C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.40831257,0.31571823
OCC(O)C=C,CCOCC,0.0219954,0.01724329
OCC(O)C=C,OCC,-0.21696273,-0.04833279
OCC(O)C=C,CCCCCC=O,1.21709764,0.25243118
OCC(O)C=C,CO,-0.28407942,-0.06301438
OCC(O)C=C,OC(C)C,-0.14101369,-0.03015717
OCC(O)C=C,CC(C)=O,-0.58829895,-0.1585786
OCC(O)C=C,OCCC,0.0440638,0.01499286
OCC(O)C=C,OCCCC,0.17597595,0.04844401
OCC(O)C=C,OCCCCC,0.33863204,0.08822494
OCC(O)C=C,CC1OC1,0.03929913,-0.01792068
OCC(O)C=C,CCC(C)(C)C,7.34972914,1.01491531
OCC(O)C=C,CC(C)(C)C(C)=O,0.37811857,0.07274174
OCC(O)C=C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.18621311,0.28913357
OCC(O)C=C,COC(C)(C)OC,-0.02566867,-0.01401606
OCC(O)C=C,CCC1(CC)CCCCC1,7.26308958,1.07252037
OCC(O)C=C,CCOC(C)(OCC)OCC,-0.1885204,-0.02917135
OCC(O)C=C,CC(C)CCCC(O)(C)CC,0.75393107,0.18077303
OCC(O)C=C,CCC(C)C,7.42044987,0.99421783
OCC(O)C=C,CC(=C)C=C,5.58516555,0.73361068
OCC(O)C=C,CC(=C)C#C,3.63017417,0.49821331
OCC(O)C=C,OCC(C)C,0.29728565,0.07690457
OCC(O)C=C,CC(C)C=O,0.87399892,0.15381938
OCC(O)C=C,CC(=C)C=O,0.73254226,0.13347163
OCC(O)C=C,CCC(O)C,0.1554249,0.04344934
OCC(O)C=C,CCC(C)=O,-0.26623571,-0.0806425
OCC(O)C=C,COC(C)=O,0.52304179,0.0850899
OCC(O)C=C,CC(C)C(C)C,7.37733174,1.02157286
OCC(O)C=C,CC(C)C(O)=O,-0.88285328,-0.23002676
OCC(O)C=C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.46979835,0.32342131
OCC(O)C=C,OOC(C)(C)C(CC1)CCC1C,0.38713207,0.09395793
