SMILES0,SMILES,gamma1,gamma2
OCC(O)C=O,OC(C)C(O)=O,-0.60852721,-0.15040022
OCC(O)C=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.29935371,0.88058371
OCC(O)C=O,OCC(O)C,0.61526622,0.1503683
OCC(O)C=O,O=C1CCO1,0.69085642,0.14516508
OCC(O)C=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.49978488,0.30823193
OCC(O)C=O,CCOCC,0.9967124,0.28515513
OCC(O)C=O,OCC,0.79536996,0.1965866
OCC(O)C=O,CCCCCC=O,1.55209509,0.36927509
OCC(O)C=O,CO,0.40711273,0.0959375
OCC(O)C=O,OC(C)C,0.9935322,0.24897143
OCC(O)C=O,CC(C)=O,-0.66289702,-0.16101114
OCC(O)C=O,OCCC,1.23414436,0.30415134
OCC(O)C=O,OCCCC,1.46148686,0.36324455
OCC(O)C=O,OCCCCC,1.70906489,0.42095883
OCC(O)C=O,CC1OC1,0.19856722,0.0571052
OCC(O)C=O,CCC(C)(C)C,7.49674213,1.41400788
OCC(O)C=O,CC(C)(C)C(C)=O,0.80203873,0.19603435
OCC(O)C=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.14354964,0.49571816
OCC(O)C=O,COC(C)(C)OC,0.69052548,0.17276219
OCC(O)C=O,CCC1(CC)CCCCC1,7.4098721,1.44809518
OCC(O)C=O,CCOC(C)(OCC)OCC,0.73215224,0.16339603
OCC(O)C=O,CC(C)CCCC(O)(C)CC,2.32017326,0.53633274
OCC(O)C=O,CCC(C)C,7.60119051,1.40724987
OCC(O)C=O,CC(=C)C=C,5.1111949,0.93760016
OCC(O)C=O,CC(=C)C#C,2.83770542,0.54972575
OCC(O)C=O,OCC(C)C,1.57179183,0.38595182
OCC(O)C=O,CC(C)C=O,0.99077289,0.23221976
OCC(O)C=O,CC(=C)C=O,0.73185776,0.1731333
OCC(O)C=O,CCC(O)C,1.4218384,0.35222816
OCC(O)C=O,CCC(C)=O,-0.10132324,-0.02166864
OCC(O)C=O,COC(C)=O,0.40492982,0.09219332
OCC(O)C=O,CC(C)C(C)C,7.53922188,1.42483317
OCC(O)C=O,CC(C)C(O)=O,0.01896166,-0.00311824
OCC(O)C=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.06711581,0.44510918
OCC(O)C=O,OOC(C)(C)C(CC1)CCC1C,1.46762837,0.33944423
OCC(O)C=O,CCOC(C(O)(C)C)=O,0.69718314,0.16533711
OCC(O)C=O,COC(=O)C(C)=C,1.62969915,0.3793979
OCC(O)C=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.8434842,0.62605663
OCC(O)C=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.01727337,0.22981956
OCC(O)C=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.03406526,0.57708044
OCC(O)C=O,CCOC(=O)c1ccccc1C(OCC)=O,1.64187876,0.37385366
OCC(O)C=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.25727054,0.48447567
OCC(O)C=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.7126602,0.55012224
OCC(O)C=O,CC(C)CCOC(=O)c1ccccc1O,3.72194019,0.81442405
OCC(O)C=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.24029594,0.71218346
OCC(O)C=O,O=C2c1ccccc1CO2,0.86313434,0.2054986
OCC(O)C=O,OCC(O)C(O)C(O)CO,0.12542419,0.02762819
OCC(O)C=O,CCC(CC)C(O)=O,0.49581443,0.11094863
OCC(O)C=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.73137992,0.38727413
OCC(O)C=O,COc1cc(C)ccc1C(C)(C)C,5.14769881,1.03677968
OCC(O)C=O,CC2CCC(CC1=C2CCC1C)=C(C)C,6.37030883,1.28494753
OCC(O)C=O,COC(=O)c1ccccc1C,2.47044167,0.57127115
OCC(O)C=O,CC(=O)c1ccc(C)cc1C,1.37739226,0.33501804
OCC(O)C=O,Cc2c1ccccc1ccc2,4.44388506,0.88540644
OCC(O)C=O,O=C2CCCCC2C1CCCCC1,1.89361525,0.43224378
OCC(O)C=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.13023824,0.25350806
OCC(O)C=O,CC(C=O)c1ccccc1,1.93098435,0.44803572
OCC(O)C=O,CCC(O)c1ccccc1,1.31665124,0.32529935
OCC(O)C=O,CCOC(=O)c1ccccc1,2.30865312,0.53477662
OCC(O)C=O,CC(OC(C)c2ccccc2)c1ccccc1,2.82848443,0.66716143
OCC(O)C=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,2.4212425,0.52130603
OCC(O)C=O,CCOC(=O)c(cc1)ccc1C,2.35902669,0.54468532
OCC(O)C=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-8.06385827,-0.40115085
OCC(O)C=O,O=C(OCCc1ccccc1)c2ccccc2,2.73453158,0.61583706
OCC(O)C=O,CCCc2cc1OCOc1cc2,3.68118437,0.77559647
OCC(O)C=O,COC(C1CCC(CC1)C(OC)=O)=O,0.9654895,0.21638853
OCC(O)C=O,CCCC1CCCCC1=O,1.31163075,0.30508643
OCC(O)C=O,CCOc1ccc(C=CC)cc1O,1.50542652,0.37636832
OCC(O)C=O,CCCC(O)C(CO)CC,1.31465699,0.3057172
OCC(O)C=O,Cc(ccc1C)cc1C,5.13748074,1.01026104
OCC(O)C=O,CCOC(=O)C(OCC)=O,1.23447349,0.28374134
OCC(O)C=O,CC1OC(C(C)OC1=O)=O,0.76198344,0.17988842
OCC(O)C=O,CCCCC(=O)C(C)=O,2.25129512,0.507068
OCC(O)C=O,C=CCOC(=O)C(C)=C,2.26822419,0.52356483
OCC(O)C=O,C1OC1c2ccccc2,2.24261751,0.50676564
OCC(O)C=O,CCC(C)CC,7.58843897,1.43776324
OCC(O)C=O,CCC(CC)=O,0.54171928,0.13309172
OCC(O)C=O,OCC(CO)=O,0.03514073,0.00742924
