SMILES0,SMILES,gamma1,gamma2
OCC(O)CC,OC(C)C(O)=O,-0.93475057,-0.26160176
OCC(O)CC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.03812384,0.82075837
OCC(O)CC,OCC(O)C,0.05707073,0.01446245
OCC(O)CC,O=C1CCO1,2.67795689,0.56709406
OCC(O)CC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.68032889,0.36518377
OCC(O)CC,CCOCC,0.37125789,0.09418757
OCC(O)CC,OCC,-0.08794105,-0.01910946
OCC(O)CC,CCCCCC=O,1.52008193,0.31196587
OCC(O)CC,CO,-0.00761128,0.00102976
OCC(O)CC,OC(C)C,-0.06062332,-0.01249265
OCC(O)CC,CC(C)=O,0.1004798,0.00848419
OCC(O)CC,OCCC,0.03353658,0.0095572
OCC(O)CC,OCCCC,0.13413937,0.03545538
OCC(O)CC,OCCCCC,0.25177566,0.06490614
OCC(O)CC,CC1OC1,0.59050899,0.10632792
OCC(O)CC,CCC(C)(C)C,6.9518377,0.90171987
OCC(O)CC,CC(C)(C)C(C)=O,0.7713997,0.16136049
OCC(O)CC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.39700883,0.33449402
OCC(O)CC,COC(C)(C)OC,0.35316022,0.07618088
OCC(O)CC,CCC1(CC)CCCCC1,6.87671195,0.96464853
OCC(O)CC,CCOC(C)(OCC)OCC,0.18621128,0.06239185
OCC(O)CC,CC(C)CCCC(O)(C)CC,0.68557188,0.16953631
OCC(O)CC,CCC(C)C,7.03317747,0.88318836
OCC(O)CC,CC(=C)C=C,5.45741676,0.69139794
OCC(O)CC,CC(=C)C#C,3.47296715,0.46391382
OCC(O)CC,OCC(C)C,0.17048687,0.04323824
OCC(O)CC,CC(C)C=O,1.29243314,0.24171104
OCC(O)CC,CC(=C)C=O,1.29866187,0.25943029
OCC(O)CC,CCC(O)C,0.14040514,0.03701084
OCC(O)CC,CCC(C)=O,0.29715736,0.05330795
OCC(O)CC,COC(C)=O,1.1100856,0.21823644
OCC(O)CC,CC(C)C(C)C,6.98661961,0.90978428
OCC(O)CC,CC(C)C(O)=O,-1.34686396,-0.35504631
OCC(O)CC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.68943782,0.37218896
OCC(O)CC,OOC(C)(C)C(CC1)CCC1C,-0.21955239,-0.05513506
OCC(O)CC,CCOC(C(O)(C)C)=O,0.37058613,0.09041724
OCC(O)CC,COC(=O)C(C)=C,1.88702655,0.37133626
OCC(O)CC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.88759984,0.54594592
OCC(O)CC,COc2cccc3c2C(=O)c1ccccc1C3=O,1.68141837,0.38223936
OCC(O)CC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.25462782,0.27035515
OCC(O)CC,CCOC(=O)c1ccccc1C(OCC)=O,2.14394902,0.45495085
OCC(O)CC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.29335302,0.48293992
OCC(O)CC,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.53172976,0.52489866
OCC(O)CC,CC(C)CCOC(=O)c1ccccc1O,3.5603025,0.66920343
OCC(O)CC,Oc2ccccc2C(OCCc1ccccc1)=O,3.61567654,0.68641626
OCC(O)CC,O=C2c1ccccc1CO2,2.0346785,0.45327503
OCC(O)CC,OCC(O)C(O)C(O)CO,0.1018462,0.02477478
OCC(O)CC,CCC(CC)C(O)=O,-1.21297337,-0.31888739
OCC(O)CC,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.36233843,0.08548958
OCC(O)CC,COc1cc(C)ccc1C(C)(C)C,5.35921869,0.80961243
OCC(O)CC,CC2CCC(CC1=C2CCC1C)=C(C)C,5.99783809,0.92900859
OCC(O)CC,COC(=O)c1ccccc1C,2.6431732,0.52869089
OCC(O)CC,CC(=O)c1ccc(C)cc1C,1.31009082,0.30172018
OCC(O)CC,Cc2c1ccccc1ccc2,5.13888817,0.76803292
OCC(O)CC,O=C2CCCCC2C1CCCCC1,1.37060918,0.30486118
OCC(O)CC,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.63151956,0.36586886
OCC(O)CC,CC(C=O)c1ccccc1,2.45960291,0.49617745
OCC(O)CC,CCC(O)c1ccccc1,0.35588818,0.08672723
OCC(O)CC,CCOC(=O)c1ccccc1,2.50253039,0.50687541
OCC(O)CC,CC(OC(C)c2ccccc2)c1ccccc1,2.48868174,0.56553191
OCC(O)CC,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.04445688,0.61449937
OCC(O)CC,CCOC(=O)c(cc1)ccc1C,2.39465085,0.49195329
OCC(O)CC,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-7.08319794,-0.39641071
OCC(O)CC,O=C(OCCc1ccccc1)c2ccccc2,3.083062,0.61948775
OCC(O)CC,CCCc2cc1OCOc1cc2,4.04351905,0.66879764
OCC(O)CC,COC(C1CCC(CC1)C(OC)=O)=O,1.35560528,0.29831865
OCC(O)CC,CCCC1CCCCC1=O,0.97250772,0.2149839
OCC(O)CC,CCOc1ccc(C=CC)cc1O,0.85432028,0.20641616
OCC(O)CC,CCCC(O)C(CO)CC,0.11628263,0.02938153
OCC(O)CC,Cc(ccc1C)cc1C,5.43489005,0.7773007
OCC(O)CC,CCOC(=O)C(OCC)=O,1.98403928,0.41002255
OCC(O)CC,CC1OC(C(C)OC1=O)=O,2.11445848,0.46550754
OCC(O)CC,CCCCC(=O)C(C)=O,2.56145537,0.48738206
OCC(O)CC,C=CCOC(=O)C(C)=C,2.41933384,0.4824803
OCC(O)CC,C1OC1c2ccccc2,2.88662813,0.55932351
OCC(O)CC,CCC(C)CC,7.02723409,0.92132321
OCC(O)CC,CCC(CC)=O,0.63518329,0.1283066
OCC(O)CC,OCC(CO)=O,0.82117057,0.19670875
OCC(O)CC,COC(=O)C=C,1.92394554,0.37848183
OCC(O)CC,COC(CO)=O,0.47027911,0.11698213
OCC(O)CC,CC1CCCC1,6.96405648,0.88815704
OCC(O)CC,CC1CCCO1,-0.69633206,-0.1600729
OCC(O)CC,O=C1CCCO1,0.91278537,0.20259173
OCC(O)CC,CCCC(C)C(O)=O,-1.22979252,-0.32387256
OCC(O)CC,CCOC(C(C)C)=O,1.60372119,0.32463834
OCC(O)CC,CCOC(=O)C(C)=C,1.8505764,0.37236306
OCC(O)CC,CCOC(C(O)C)=O,0.37777087,0.09181321
OCC(O)CC,CC(C)C(OC(C(C)C)=O)=O,2.5539062,0.49385227
OCC(O)CC,CC(C)COC(C(C)C)=O,1.86850983,0.38961935
OCC(O)CC,CC(C)COC(=O)C(C)=C,2.13332993,0.43702059
OCC(O)CC,CCCCOC(C(C)C)=O,1.91222832,0.39817982
OCC(O)CC,CCCCOC(=O)C(C)=C,2.04401299,0.42229783
