SMILES0,SMILES,gamma1,gamma2
OCC(O)CO,OC(C)C(O)=O,-1.29470844,-0.32672799
OCC(O)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.30871059,1.20025224
OCC(O)CO,OCC(O)C,0.09022007,0.02196901
OCC(O)CO,O=C1CCO1,2.63385826,0.5060287
OCC(O)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.79667832,0.60025348
OCC(O)CO,CCOCC,1.26296331,0.33163696
OCC(O)CO,OCC,0.14716277,0.03931542
OCC(O)CO,CCCCCC=O,2.6006526,0.54755725
OCC(O)CO,CO,-0.17744788,-0.04040988
OCC(O)CO,OC(C)C,0.40288682,0.10527287
OCC(O)CO,CC(C)=O,0.21412519,0.02765656
OCC(O)CO,OCCC,0.5678105,0.14288675
OCC(O)CO,OCCCC,0.82652877,0.20973679
OCC(O)CO,OCCCCC,1.08195013,0.2725773
OCC(O)CO,CC1OC1,1.12727608,0.22310129
OCC(O)CO,CCC(C)(C)C,10.31421681,1.41800942
OCC(O)CO,CC(C)(C)C(C)=O,1.59034698,0.35050692
OCC(O)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.72126316,0.64395501
OCC(O)CO,COC(C)(C)OC,1.12352533,0.26462141
OCC(O)CO,CCC1(CC)CCCCC1,10.21863275,1.49748789
OCC(O)CO,CCOC(C)(OCC)OCC,0.97122001,0.2404745
OCC(O)CO,CC(C)CCCC(O)(C)CC,1.88331242,0.45583425
OCC(O)CO,CCC(C)C,10.42728186,1.39465581
OCC(O)CO,CC(=C)C=C,8.0647945,1.07906018
OCC(O)CO,CC(=C)C#C,5.25723695,0.73805221
OCC(O)CO,OCC(C)C,0.93220115,0.23384066
OCC(O)CO,CC(C)C=O,2.1520039,0.41780803
OCC(O)CO,CC(=C)C=O,1.93338849,0.38730327
OCC(O)CO,CCC(O)C,0.85733857,0.21703041
OCC(O)CO,CCC(C)=O,0.68721773,0.14225542
OCC(O)CO,COC(C)=O,1.62489165,0.31754339
OCC(O)CO,CC(C)C(C)C,10.36073945,1.42866687
OCC(O)CO,CC(C)C(O)=O,-0.9613785,-0.23035267
OCC(O)CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.03142743,0.66339562
OCC(O)CO,OOC(C)(C)C(CC1)CCC1C,0.8844876,0.23291806
OCC(O)CO,CCOC(C(O)(C)C)=O,1.07119859,0.26595095
OCC(O)CO,COC(=O)C(C)=C,2.96397654,0.59196221
OCC(O)CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.65713901,0.89328218
OCC(O)CO,COc2cccc3c2C(=O)c1ccccc1C3=O,2.26581769,0.5138982
OCC(O)CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.86608876,0.59637967
OCC(O)CO,CCOC(=O)c1ccccc1C(OCC)=O,3.20743597,0.68070301
OCC(O)CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.71809139,0.77860839
OCC(O)CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,4.1773255,0.85294684
OCC(O)CO,CC(C)CCOC(=O)c1ccccc1O,5.55954331,1.05816142
OCC(O)CO,Oc2ccccc2C(OCCc1ccccc1)=O,5.3717532,1.02579884
OCC(O)CO,O=C2c1ccccc1CO2,2.38058051,0.51658727
OCC(O)CO,OCC(O)C(O)C(O)CO,0.03039319,0.00819427
OCC(O)CO,CCC(CC)C(O)=O,-0.54953463,-0.12506728
OCC(O)CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.45183792,0.34096871
OCC(O)CO,COc1cc(C)ccc1C(C)(C)C,8.00544364,1.2493563
OCC(O)CO,CC2CCC(CC1=C2CCC1C)=C(C)C,9.01930859,1.43784672
OCC(O)CO,COC(=O)c1ccccc1C,4.02902045,0.8126438
OCC(O)CO,CC(=O)c1ccc(C)cc1C,2.26908274,0.52920297
OCC(O)CO,Cc2c1ccccc1ccc2,7.44751107,1.13551967
OCC(O)CO,O=C2CCCCC2C1CCCCC1,2.61559694,0.58656631
OCC(O)CO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.3646139,0.53149337
OCC(O)CO,CC(C=O)c1ccccc1,3.58182503,0.72333726
OCC(O)CO,CCC(O)c1ccccc1,1.25852597,0.31680476
OCC(O)CO,CCOC(=O)c1ccccc1,3.82596155,0.77970991
OCC(O)CO,CC(OC(C)c2ccccc2)c1ccccc1,4.02239242,0.91150146
OCC(O)CO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,4.3728747,0.88019863
OCC(O)CO,CCOC(=O)c(cc1)ccc1C,3.78088103,0.78281062
OCC(O)CO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-8.96129329,-0.34332303
OCC(O)CO,O=C(OCCc1ccccc1)c2ccccc2,4.59450829,0.92528482
OCC(O)CO,CCCc2cc1OCOc1cc2,6.06897856,1.02737818
OCC(O)CO,COC(C1CCC(CC1)C(OC)=O)=O,2.19925469,0.48149952
OCC(O)CO,CCCC1CCCCC1=O,1.99837462,0.45143415
OCC(O)CO,CCOc1ccc(C=CC)cc1O,2.08962708,0.50587839
OCC(O)CO,CCCC(O)C(CO)CC,0.85537662,0.20703812
