SMILES0,SMILES,gamma1,gamma2
OCC(O)COC(C)=O,OC(C)C(O)=O,-1.71290768,-0.44017432
OCC(O)COC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.73449167,0.57916623
OCC(O)COC(C)=O,OCC(O)C,0.32691472,0.08107659
OCC(O)COC(C)=O,O=C1CCO1,1.18742902,0.2481016
OCC(O)COC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.13718807,0.26572795
OCC(O)COC(C)=O,CCOCC,0.84913965,0.22402481
OCC(O)COC(C)=O,OCC,0.3993045,0.09084351
OCC(O)COC(C)=O,CCCCCC=O,1.14661422,0.26815614
OCC(O)COC(C)=O,CO,0.27884098,0.06470588
OCC(O)COC(C)=O,OC(C)C,0.52990484,0.1239
OCC(O)COC(C)=O,CC(C)=O,-0.45355819,-0.11051577
OCC(O)COC(C)=O,OCCC,0.57384298,0.13755573
OCC(O)COC(C)=O,OCCCC,0.75752508,0.1896449
OCC(O)COC(C)=O,OCCCCC,0.92537247,0.23665751
OCC(O)COC(C)=O,CC1OC1,0.13723086,0.02603236
OCC(O)COC(C)=O,CCC(C)(C)C,5.40314659,1.05315505
OCC(O)COC(C)=O,CC(C)(C)C(C)=O,0.66594474,0.16205924
OCC(O)COC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.70629755,0.42495008
OCC(O)COC(C)=O,COC(C)(C)OC,0.60601666,0.15350163
OCC(O)COC(C)=O,CCC1(CC)CCCCC1,5.36765107,1.11033702
OCC(O)COC(C)=O,CCOC(C)(OCC)OCC,0.66601704,0.1793967
OCC(O)COC(C)=O,CC(C)CCCC(O)(C)CC,1.55544771,0.3923116
OCC(O)COC(C)=O,CCC(C)C,5.47443714,1.03786822
OCC(O)COC(C)=O,CC(=C)C=C,3.29797638,0.58700601
OCC(O)COC(C)=O,CC(=C)C#C,0.86244606,0.13410667
OCC(O)COC(C)=O,OCC(C)C,0.65243929,0.16718085
OCC(O)COC(C)=O,CC(C)C=O,0.74488107,0.15721149
OCC(O)COC(C)=O,CC(=C)C=O,0.62125454,0.13257521
OCC(O)COC(C)=O,CCC(O)C,0.73528096,0.18037509
OCC(O)COC(C)=O,CCC(C)=O,-0.06137443,-0.01542045
OCC(O)COC(C)=O,COC(C)=O,0.43376099,0.08736866
OCC(O)COC(C)=O,CC(C)C(C)C,5.44285221,1.06472735
OCC(O)COC(C)=O,CC(C)C(O)=O,-1.6828275,-0.42481135
OCC(O)COC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.56744044,0.37498267
OCC(O)COC(C)=O,OOC(C)(C)C(CC1)CCC1C,-0.46849963,-0.09144031
OCC(O)COC(C)=O,CCOC(C(O)(C)C)=O,0.49639821,0.12786133
OCC(O)COC(C)=O,COC(=O)C(C)=C,1.27437127,0.28511258
OCC(O)COC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.65582416,0.37069086
OCC(O)COC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.94052296,0.2288898
OCC(O)COC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.77055981,0.38238108
OCC(O)COC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.27623646,0.30316278
OCC(O)COC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.64271808,0.38431281
OCC(O)COC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.95060531,0.44130037
OCC(O)COC(C)=O,CC(C)CCOC(=O)c1ccccc1O,2.59989995,0.59013123
OCC(O)COC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,2.19621011,0.4976696
OCC(O)COC(C)=O,O=C2c1ccccc1CO2,0.9131951,0.21410362
OCC(O)COC(C)=O,OCC(O)C(O)C(O)CO,0.05119766,0.0113486
OCC(O)COC(C)=O,CCC(CC)C(O)=O,-1.42066704,-0.35097914
OCC(O)COC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.25970933,0.07780797
OCC(O)COC(C)=O,COc1cc(C)ccc1C(C)(C)C,3.38129502,0.70449272
OCC(O)COC(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,4.51644209,0.97147041
OCC(O)COC(C)=O,COC(=O)c1ccccc1C,1.80683048,0.4163061
OCC(O)COC(C)=O,CC(=O)c1ccc(C)cc1C,1.06079576,0.26515349
OCC(O)COC(C)=O,Cc2c1ccccc1ccc2,2.83128025,0.56433417
OCC(O)COC(C)=O,O=C2CCCCC2C1CCCCC1,1.5583291,0.38131183
OCC(O)COC(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.88460922,0.21590379
OCC(O)COC(C)=O,CC(C=O)c1ccccc1,1.39497734,0.31585169
OCC(O)COC(C)=O,CCC(O)c1ccccc1,-0.16442282,-0.01482104
OCC(O)COC(C)=O,CCOC(=O)c1ccccc1,1.71740418,0.39881764
OCC(O)COC(C)=O,CC(OC(C)c2ccccc2)c1ccccc1,1.94848058,0.47137621
OCC(O)COC(C)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.72697411,0.39515971
OCC(O)COC(C)=O,CCOC(=O)c(cc1)ccc1C,1.76664562,0.41604432
OCC(O)COC(C)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-6.60108891,-0.27500679
OCC(O)COC(C)=O,O=C(OCCc1ccccc1)c2ccccc2,1.92726906,0.44828445
OCC(O)COC(C)=O,CCCc2cc1OCOc1cc2,2.25079048,0.47177962
OCC(O)COC(C)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.85432207,0.20448613
OCC(O)COC(C)=O,CCCC1CCCCC1=O,1.09346746,0.27127991
OCC(O)COC(C)=O,CCOc1ccc(C=CC)cc1O,-0.48063315,-0.04238369
OCC(O)COC(C)=O,CCCC(O)C(CO)CC,0.8769251,0.22042706
OCC(O)COC(C)=O,Cc(ccc1C)cc1C,3.40129299,0.6772688
OCC(O)COC(C)=O,CCOC(=O)C(OCC)=O,1.09454432,0.25042412
OCC(O)COC(C)=O,CC1OC(C(C)OC1=O)=O,0.64481842,0.1460479
OCC(O)COC(C)=O,CCCCC(=O)C(C)=O,1.6456151,0.36631
OCC(O)COC(C)=O,C=CCOC(=O)C(C)=C,1.69781086,0.38941944
OCC(O)COC(C)=O,C1OC1c2ccccc2,1.59095619,0.3452009
OCC(O)COC(C)=O,CCC(C)CC,5.4871807,1.0788334
OCC(O)COC(C)=O,CCC(CC)=O,0.43214614,0.10347452
OCC(O)COC(C)=O,OCC(CO)=O,0.19454949,0.03926177
OCC(O)COC(C)=O,COC(=O)C=C,1.07372148,0.23082363
OCC(O)COC(C)=O,COC(CO)=O,0.00802557,0.00205749
OCC(O)COC(C)=O,CC1CCCC1,5.43676742,1.04475167
OCC(O)COC(C)=O,CC1CCCO1,-0.21070587,-0.01810179
OCC(O)COC(C)=O,O=C1CCCO1,0.06657763,0.00726104
OCC(O)COC(C)=O,CCCC(C)C(O)=O,-1.44144029,-0.35826482
OCC(O)COC(C)=O,CCOC(C(C)C)=O,1.36921768,0.32065844
OCC(O)COC(C)=O,CCOC(=O)C(C)=C,1.47364914,0.34123953
OCC(O)COC(C)=O,CCOC(C(O)C)=O,0.32983053,0.08477047
OCC(O)COC(C)=O,CC(C)C(OC(C(C)C)=O)=O,1.74456041,0.39591674
OCC(O)COC(C)=O,CC(C)COC(C(C)C)=O,1.80410315,0.43112437
OCC(O)COC(C)=O,CC(C)COC(=O)C(C)=C,1.87996243,0.44487692
OCC(O)COC(C)=O,CCCCOC(C(C)C)=O,1.8149361,0.4333408
OCC(O)COC(C)=O,CCCCOC(=O)C(C)=C,1.82940437,0.43490833
OCC(O)COC(C)=O,CCC(CC)C=O,1.37969411,0.31680275
OCC(O)COC(C)=O,OCC1CCCO1,-0.15749795,-0.03514124
OCC(O)COC(C)=O,OCc1occc1,-0.50284839,-0.11393115
OCC(O)COC(C)=O,O=Cc1occc1,0.64530841,0.15130558
OCC(O)COC(C)=O,CC(C)(C)c1ccccc1,3.40817528,0.68728802
OCC(O)COC(C)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-0.65453017,-0.15339319
OCC(O)COC(C)=O,CC(C)(C)c(cc1)ccc1C,3.62633856,0.74708389
OCC(O)COC(C)=O,OC1CCC(CC1)C(C)(C)C,1.27649102,0.32696207
OCC(O)COC(C)=O,CC(C)(C)C1CCC(CC1)=O,0.75728558,0.18956676
OCC(O)COC(C)=O,CC(C)c1ccccc1,3.34527772,0.66499172
OCC(O)COC(C)=O,COC(=O)c(ccc1)cc1C,1.71605441,0.39640849
OCC(O)COC(C)=O,OC1CC(CC=C1C)C(C)=C,0.60830504,0.16101351
OCC(O)COC(C)=O,CC(C)c1cc(C(C)C)ccc1,3.75523729,0.78487392
OCC(O)COC(C)=O,CCCC(CCC)C(O)=O,-1.17353374,-0.29408868
OCC(O)COC(C)=O,CC(C=O)c(cc1)ccc1C,1.52556883,0.35221589
OCC(O)COC(C)=O,CC1CCC(C(C)C)CC1,5.41813881,1.13008306
OCC(O)COC(C)=O,CC(C)c(cc1)ccc1C,3.55558748,0.72462307
OCC(O)COC(C)=O,C=CC1CC=CCC1,3.67142966,0.72246655
OCC(O)COC(C)=O,CCc1ccccc1,3.19996434,0.61830058
OCC(O)COC(C)=O,C=Cc1ccccc1,2.66338159,0.5032698
OCC(O)COC(C)=O,OCC1CCCCC1,1.00451132,0.26067297
OCC(O)COC(C)=O,COc1ccccc1,2.12825243,0.42214303
OCC(O)COC(C)=O,OCC1CCCCO1,0.29726495,0.08247778
OCC(O)COC(C)=O,OCC(CO1)OC1(C)C,0.12743573,0.03459037
OCC(O)COC(C)=O,Cc1cc(C=C)ccc1,2.87673012,0.56406421
OCC(O)COC(C)=O,COc(ccc1)cc1C,2.30032058,0.47362666
OCC(O)COC(C)=O,COC(=O)Cc1ccccc1,1.30895238,0.30549433
OCC(O)COC(C)=O,COC(OC)Cc1ccccc1,1.18563449,0.29088487
OCC(O)COC(C)=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,1.56585787,0.36416692
OCC(O)COC(C)=O,CC(C)COC(=O)Cc1ccccc1,1.5507239,0.36910631
OCC(O)COC(C)=O,O=C(OCc2ccccc2)Cc1ccccc1,1.43193564,0.33841115
OCC(O)COC(C)=O,CCc1cc(CC)cc(CC)c1,3.88430818,0.81564005
OCC(O)COC(C)=O,CC(=O)Oc(ccc1)cc1O,-2.5711912,-0.67474265
OCC(O)COC(C)=O,COC(OC)CC(OC)OC,0.59727606,0.14637862
OCC(O)COC(C)=O,CCCCC(CC)COC(C)=O,1.80420217,0.43325451
OCC(O)COC(C)=O,CCCCC(CC)COC(=O)C=C,2.18770189,0.51934861
OCC(O)COC(C)=O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,1.88931738,0.40749411
OCC(O)COC(C)=O,COC(CCc1ccccc1)=O,1.38614552,0.3249526
OCC(O)COC(C)=O,CC(C)C(OCc1ccccc1)=O,1.61875408,0.37973967
OCC(O)COC(C)=O,CCCC(OCc1ccccc1)=O,1.62842732,0.38364071
OCC(O)COC(C)=O,CC(C)CC(OCc1ccccc1)=O,1.74670759,0.41398745
OCC(O)COC(C)=O,CC(OCCc1ccccc1)=O,1.31024351,0.31232636
OCC(O)COC(C)=O,CC(C)C(OCCc1ccccc1)=O,1.74270492,0.41301201
OCC(O)COC(C)=O,CC(C)C(OCCOc1ccccc1)=O,1.42025543,0.33585694
OCC(O)COC(C)=O,CCCc1ccccc1,3.34544787,0.66796413
OCC(O)COC(C)=O,CC(C)C(=O)Oc(cc1)ccc1C,1.76646681,0.4100208
OCC(O)COC(C)=O,CCCc(cc1)ccc1OC,2.58008093,0.55568112
OCC(O)COC(C)=O,CCCCC1OC(CC1)=O,0.54429476,0.13150274
OCC(O)COC(C)=O,CCCCc1ccccc1,3.47680641,0.71078784
OCC(O)COC(C)=O,O=COCc1ccccc1,1.25955057,0.28424103
OCC(O)COC(C)=O,CCCCCC1OC(CC1)=O,0.69113082,0.16794071
OCC(O)COC(C)=O,O=COCCc1ccccc1,1.30673233,0.30004657
OCC(O)COC(C)=O,CCCCCCCC1OC(CC1)=O,0.96496844,0.23376818
OCC(O)COC(C)=O,CCCCC(CO)CC,1.17168034,0.31030044
OCC(O)COC(C)=O,COc(cc1)ccc1C,2.28408832,0.47272121
OCC(O)COC(C)=O,CC(C)COC(CCc1occc1)=O,1.66389709,0.39393784
OCC(O)COC(C)=O,CCc1ccc(CC)cc1,3.60525555,0.73686527
OCC(O)COC(C)=O,C=Cc1ccc(C=C)cc1,2.58538406,0.51258012
OCC(O)COC(C)=O,CCCC1OC(CC1)=O,0.36667847,0.08643991
OCC(O)COC(C)=O,OCC=C(C)C#C,-0.92860177,-0.21564549
OCC(O)COC(C)=O,CCCC(C)CO,0.95869608,0.2538078
OCC(O)COC(C)=O,CCCC(O)C#C,-1.62315548,-0.37262282
OCC(O)COC(C)=O,CCOC(CC)=O,1.01470083,0.23616646
OCC(O)COC(C)=O,CCC(OC=C)=O,1.84153136,0.39255475
OCC(O)COC(C)=O,CCC(C)CC(C)=O,0.85843793,0.21296152
OCC(O)COC(C)=O,CCC(C)CC(O)=O,-1.51668936,-0.38073494
OCC(O)COC(C)=O,CCC(C)OC(C)=O,1.13448675,0.26986192
OCC(O)COC(C)=O,CCOC(CC(OCC)=O)=O,0.99605022,0.23505645
OCC(O)COC(C)=O,CCOC(CCC)=O,1.37558274,0.32199077
OCC(O)COC(C)=O,CCOC(C)OCC,0.81507985,0.21171933
OCC(O)COC(C)=O,CCOC(OCC)=O,1.23834574,0.27882049
