SMILES0,SMILES,gamma1,gamma2
OCC(OC1(O)CO)C(O)C1O,OC(C)C(O)=O,-0.85415637,-0.19677977
OCC(OC1(O)CO)C(O)C1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,11.6004104,1.78390174
OCC(OC1(O)CO)C(O)C1O,OCC(O)C,-0.22912716,-0.05625396
OCC(OC1(O)CO)C(O)C1O,O=C1CCO1,3.02141686,0.47891331
OCC(OC1(O)CO)C(O)C1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,3.97479361,0.87597677
OCC(OC1(O)CO)C(O)C1O,CCOCC,0.69099186,0.34917895
OCC(OC1(O)CO)C(O)C1O,OCC,-0.49230343,-0.09343692
OCC(OC1(O)CO)C(O)C1O,CCCCCC=O,3.20169069,0.69346883
OCC(OC1(O)CO)C(O)C1O,CO,-1.2495914,-0.26016121
OCC(OC1(O)CO)C(O)C1O,OC(C)C,-0.03790131,0.02847505
OCC(OC1(O)CO)C(O)C1O,CC(C)=O,-0.97196261,-0.20981803
OCC(OC1(O)CO)C(O)C1O,OCCC,0.45839768,0.12664115
OCC(OC1(O)CO)C(O)C1O,OCCCC,0.89181295,0.24433203
OCC(OC1(O)CO)C(O)C1O,OCCCCC,1.35514465,0.36255974
OCC(OC1(O)CO)C(O)C1O,CC1OC1,0.50876457,0.1245144
OCC(OC1(O)CO)C(O)C1O,CCC(C)(C)C,16.04993432,1.99875952
OCC(OC1(O)CO)C(O)C1O,CC(C)(C)C(C)=O,1.46218758,0.3751392
OCC(OC1(O)CO)C(O)C1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.24972936,0.8929556
OCC(OC1(O)CO)C(O)C1O,COC(C)(C)OC,0.65581556,0.2330602
OCC(OC1(O)CO)C(O)C1O,CCC1(CC)CCCCC1,15.99490236,2.18490976
OCC(OC1(O)CO)C(O)C1O,CCOC(C)(OCC)OCC,0.33305689,0.12159744
OCC(OC1(O)CO)C(O)C1O,CC(C)CCCC(O)(C)CC,2.42142467,0.66210554
OCC(OC1(O)CO)C(O)C1O,CCC(C)C,16.17632889,1.93988053
OCC(OC1(O)CO)C(O)C1O,CC(=C)C=C,12.45991965,1.42546323
OCC(OC1(O)CO)C(O)C1O,CC(=C)C#C,8.82318388,0.99884689
OCC(OC1(O)CO)C(O)C1O,OCC(C)C,1.24226175,0.31373557
OCC(OC1(O)CO)C(O)C1O,CC(C)C=O,2.37119278,0.45215424
OCC(OC1(O)CO)C(O)C1O,CC(=C)C=O,1.96047276,0.38134583
OCC(OC1(O)CO)C(O)C1O,CCC(O)C,0.86983841,0.24459321
OCC(OC1(O)CO)C(O)C1O,CCC(C)=O,-0.08637688,0.00578024
OCC(OC1(O)CO)C(O)C1O,COC(C)=O,1.50800974,0.27089449
OCC(OC1(O)CO)C(O)C1O,CC(C)C(C)C,16.11803836,2.01583283
OCC(OC1(O)CO)C(O)C1O,CC(C)C(O)=O,0.10270807,0.05205412
OCC(OC1(O)CO)C(O)C1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.93838966,0.93053207
OCC(OC1(O)CO)C(O)C1O,OOC(C)(C)C(CC1)CCC1C,2.9423791,0.72657717
OCC(OC1(O)CO)C(O)C1O,CCOC(C(O)(C)C)=O,0.77028118,0.26582089
OCC(OC1(O)CO)C(O)C1O,COC(=O)C(C)=C,3.84204656,0.74731237
OCC(OC1(O)CO)C(O)C1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,7.62425796,1.41326428
OCC(OC1(O)CO)C(O)C1O,COc2cccc3c2C(=O)c1ccccc1C3=O,2.69110432,0.65650828
OCC(OC1(O)CO)C(O)C1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,4.51691429,1.03290968
OCC(OC1(O)CO)C(O)C1O,CCOC(=O)c1ccccc1C(OCC)=O,4.4557205,0.95143507
OCC(OC1(O)CO)C(O)C1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,5.32911971,1.15150686
OCC(OC1(O)CO)C(O)C1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,6.12542183,1.30194554
OCC(OC1(O)CO)C(O)C1O,CC(C)CCOC(=O)c1ccccc1O,8.36152302,1.5779076
OCC(OC1(O)CO)C(O)C1O,Oc2ccccc2C(OCCc1ccccc1)=O,8.12281237,1.52871721
OCC(OC1(O)CO)C(O)C1O,O=C2c1ccccc1CO2,2.85163947,0.59731316
OCC(OC1(O)CO)C(O)C1O,OCC(O)C(O)C(O)CO,-0.1869401,-0.04598121
OCC(OC1(O)CO)C(O)C1O,CCC(CC)C(O)=O,0.93046153,0.26228647
OCC(OC1(O)CO)C(O)C1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,2.63548969,0.64582794
OCC(OC1(O)CO)C(O)C1O,COc1cc(C)ccc1C(C)(C)C,12.60708047,1.82094434
OCC(OC1(O)CO)C(O)C1O,CC2CCC(CC1=C2CCC1C)=C(C)C,14.08297876,2.15318657
OCC(OC1(O)CO)C(O)C1O,COC(=O)c1ccccc1C,5.61940968,1.12161693
OCC(OC1(O)CO)C(O)C1O,CC(=O)c1ccc(C)cc1C,2.49864551,0.66423119
OCC(OC1(O)CO)C(O)C1O,Cc2c1ccccc1ccc2,11.65405096,1.5843585
