SMILES0,SMILES,gamma1,gamma2
OCC(OC1O)C(O)C(O)C1O,OC(C)C(O)=O,-0.23303409,-0.05157403
OCC(OC1O)C(O)C(O)C1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,12.95575414,2.0253567
OCC(OC1O)C(O)C(O)C1O,OCC(O)C,-1.88449173,-0.42084418
OCC(OC1O)C(O)C(O)C1O,O=C1CCO1,1.98235371,0.26406524
OCC(OC1O)C(O)C(O)C1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.65799404,0.56989313
OCC(OC1O)C(O)C(O)C1O,CCOCC,-2.45113575,-0.19644882
OCC(OC1O)C(O)C(O)C1O,OCC,-2.63610522,-0.46328173
OCC(OC1O)C(O)C(O)C1O,CCCCCC=O,1.38704322,0.30179074
OCC(OC1O)C(O)C(O)C1O,CO,-3.35180965,-0.60867919
OCC(OC1O)C(O)C(O)C1O,OC(C)C,-2.32610632,-0.37790274
OCC(OC1O)C(O)C(O)C1O,CC(C)=O,-3.77584288,-0.83946867
OCC(OC1O)C(O)C(O)C1O,OCCC,-1.42163048,-0.21293463
OCC(OC1O)C(O)C(O)C1O,OCCCC,-1.0354954,-0.10309597
OCC(OC1O)C(O)C(O)C1O,OCCCCC,-0.50080715,0.02615428
OCC(OC1O)C(O)C(O)C1O,CC1OC1,-1.94690656,-0.37070058
OCC(OC1O)C(O)C(O)C1O,CCC(C)(C)C,17.16333141,2.01947808
OCC(OC1O)C(O)C(O)C1O,CC(C)(C)C(C)=O,-1.0371136,-0.17050107
OCC(OC1O)C(O)C(O)C1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.15940467,0.50172468
OCC(OC1O)C(O)C(O)C1O,COC(C)(C)OC,-2.26225556,-0.38992888
OCC(OC1O)C(O)C(O)C1O,CCC1(CC)CCCCC1,17.10038347,2.2371235
OCC(OC1O)C(O)C(O)C1O,CCOC(C)(OCC)OCC,-2.7516074,-0.63635889
OCC(OC1O)C(O)C(O)C1O,CC(C)CCCC(O)(C)CC,0.34608043,0.30333545
OCC(OC1O)C(O)C(O)C1O,CCC(C)C,17.29280291,1.94911524
OCC(OC1O)C(O)C(O)C1O,CC(=C)C=C,13.71025594,1.53756098
OCC(OC1O)C(O)C(O)C1O,CC(=C)C#C,10.40025989,1.24708588
OCC(OC1O)C(O)C(O)C1O,OCC(C)C,-0.30799825,0.02702691
OCC(OC1O)C(O)C(O)C1O,CC(C)C=O,0.43408671,0.0395627
OCC(OC1O)C(O)C(O)C1O,CC(=C)C=O,0.07232869,-0.02115133
OCC(OC1O)C(O)C(O)C1O,CCC(O)C,-1.14179442,-0.12438038
OCC(OC1O)C(O)C(O)C1O,CCC(C)=O,-2.79646709,-0.59918028
OCC(OC1O)C(O)C(O)C1O,COC(C)=O,-0.48183396,-0.17082846
OCC(OC1O)C(O)C(O)C1O,CC(C)C(C)C,17.23219748,2.03660538
OCC(OC1O)C(O)C(O)C1O,CC(C)C(O)=O,0.40552929,0.11166088
OCC(OC1O)C(O)C(O)C1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.2288827,0.55438413
OCC(OC1O)C(O)C(O)C1O,OOC(C)(C)C(CC1)CCC1C,3.10651357,0.75084622
OCC(OC1O)C(O)C(O)C1O,CCOC(C(O)(C)C)=O,-1.59689022,-0.22000645
OCC(OC1O)C(O)C(O)C1O,COC(=O)C(C)=C,2.38644441,0.42584379
OCC(OC1O)C(O)C(O)C1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,8.16037123,1.53264987
OCC(OC1O)C(O)C(O)C1O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.32040253,0.35144768
OCC(OC1O)C(O)C(O)C1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.47119486,0.8816657
OCC(OC1O)C(O)C(O)C1O,CCOC(=O)c1ccccc1C(OCC)=O,3.45234949,0.7184491
OCC(OC1O)C(O)C(O)C1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,4.35979769,0.93234171
OCC(OC1O)C(O)C(O)C1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,5.26864223,1.11375865
OCC(OC1O)C(O)C(O)C1O,CC(C)CCOC(=O)c1ccccc1O,8.34532888,1.56495516
OCC(OC1O)C(O)C(O)C1O,Oc2ccccc2C(OCCc1ccccc1)=O,8.50701942,1.60882443
OCC(OC1O)C(O)C(O)C1O,O=C2c1ccccc1CO2,1.71315112,0.34197548
OCC(OC1O)C(O)C(O)C1O,OCC(O)C(O)C(O)CO,-1.65141556,-0.40934309
OCC(OC1O)C(O)C(O)C1O,CCC(CC)C(O)=O,1.27096645,0.32624725
OCC(OC1O)C(O)C(O)C1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,2.29334025,0.60842244
OCC(OC1O)C(O)C(O)C1O,COc1cc(C)ccc1C(C)(C)C,13.76750527,1.97468625
OCC(OC1O)C(O)C(O)C1O,CC2CCC(CC1=C2CCC1C)=C(C)C,15.08138052,2.25829385
OCC(OC1O)C(O)C(O)C1O,COC(=O)c1ccccc1C,4.86750995,0.96678498
OCC(OC1O)C(O)C(O)C1O,CC(=O)c1ccc(C)cc1C,0.56361573,0.29027061
OCC(OC1O)C(O)C(O)C1O,Cc2c1ccccc1ccc2,12.96618835,1.77383747
OCC(OC1O)C(O)C(O)C1O,O=C2CCCCC2C1CCCCC1,0.90753194,0.30918343
OCC(OC1O)C(O)C(O)C1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.59392563,0.39893799
OCC(OC1O)C(O)C(O)C1O,CC(C=O)c1ccccc1,4.11148301,0.8060786
OCC(OC1O)C(O)C(O)C1O,CCC(O)c1ccccc1,2.2215559,0.56260577
OCC(OC1O)C(O)C(O)C1O,CCOC(=O)c1ccccc1,4.40253508,0.87430117
OCC(OC1O)C(O)C(O)C1O,CC(OC(C)c2ccccc2)c1ccccc1,4.43610526,1.28373577
OCC(OC1O)C(O)C(O)C1O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,6.5572657,1.34361645
OCC(OC1O)C(O)C(O)C1O,CCOC(=O)c(cc1)ccc1C,4.14439881,0.8524243
OCC(OC1O)C(O)C(O)C1O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-25.32667429,-1.32934693
OCC(OC1O)C(O)C(O)C1O,O=C(OCCc1ccccc1)c2ccccc2,6.46818277,1.30873154
OCC(OC1O)C(O)C(O)C1O,CCCc2cc1OCOc1cc2,10.33588165,1.62494204
