SMILES0,SMILES,gamma1,gamma2
OCC(OC=C1O)=CC1=O,OC(C)C(O)=O,-0.518286,-0.130908
OCC(OC=C1O)=CC1=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.64662269,1.08441621
OCC(OC=C1O)=CC1=O,OCC(O)C,0.08874225,0.02102981
OCC(OC=C1O)=CC1=O,O=C1CCO1,1.35063969,0.23461905
OCC(OC=C1O)=CC1=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.9690763,0.42775219
OCC(OC=C1O)=CC1=O,CCOCC,-0.00092072,0.07562124
OCC(OC=C1O)=CC1=O,OCC,-0.22599499,-0.04403365
OCC(OC=C1O)=CC1=O,CCCCCC=O,1.58909834,0.34422097
OCC(OC=C1O)=CC1=O,CO,-0.64593309,-0.13849817
OCC(OC=C1O)=CC1=O,OC(C)C,0.01203127,0.01744555
OCC(OC=C1O)=CC1=O,CC(C)=O,-1.51014215,-0.37276695
OCC(OC=C1O)=CC1=O,OCCC,0.38799269,0.10146851
OCC(OC=C1O)=CC1=O,OCCCC,0.66408034,0.17503702
OCC(OC=C1O)=CC1=O,OCCCCC,0.98806712,0.25561273
OCC(OC=C1O)=CC1=O,CC1OC1,-0.4940492,-0.12333142
OCC(OC=C1O)=CC1=O,CCC(C)(C)C,10.78241517,1.50472426
OCC(OC=C1O)=CC1=O,CC(C)(C)C(C)=O,0.32757083,0.07625128
OCC(OC=C1O)=CC1=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.87694118,0.48252131
OCC(OC=C1O)=CC1=O,COC(C)(C)OC,-0.09813935,-0.01136817
OCC(OC=C1O)=CC1=O,CCC1(CC)CCCCC1,10.73484181,1.6200737
OCC(OC=C1O)=CC1=O,CCOC(C)(OCC)OCC,-0.21549552,-0.05092133
OCC(OC=C1O)=CC1=O,CC(C)CCCC(O)(C)CC,1.66694384,0.4193202
OCC(OC=C1O)=CC1=O,CCC(C)C,10.86446443,1.46424453
OCC(OC=C1O)=CC1=O,CC(=C)C=C,7.54056624,0.93904707
OCC(OC=C1O)=CC1=O,CC(=C)C#C,4.59858738,0.5515308
OCC(OC=C1O)=CC1=O,OCC(C)C,0.90024716,0.22452732
OCC(OC=C1O)=CC1=O,CC(C)C=O,0.8814651,0.15412895
OCC(OC=C1O)=CC1=O,CC(=C)C=O,0.38435319,0.04869783
OCC(OC=C1O)=CC1=O,CCC(O)C,0.59986374,0.15923444
OCC(OC=C1O)=CC1=O,CCC(C)=O,-0.82494586,-0.20493122
OCC(OC=C1O)=CC1=O,COC(C)=O,0.16766577,-0.00426702
OCC(OC=C1O)=CC1=O,CC(C)C(C)C,10.82510658,1.51528535
OCC(OC=C1O)=CC1=O,CC(C)C(O)=O,-0.19100744,-0.04291806
OCC(OC=C1O)=CC1=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.0477228,0.46182501
OCC(OC=C1O)=CC1=O,OOC(C)(C)C(CC1)CCC1C,1.74040145,0.43105344
OCC(OC=C1O)=CC1=O,CCOC(C(O)(C)C)=O,0.05272822,0.02736948
OCC(OC=C1O)=CC1=O,COC(=O)C(C)=C,1.71706818,0.33139365
OCC(OC=C1O)=CC1=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.992771,0.77630224
OCC(OC=C1O)=CC1=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.77963819,0.18892372
OCC(OC=C1O)=CC1=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.01620904,0.6422767
OCC(OC=C1O)=CC1=O,CCOC(=O)c1ccccc1C(OCC)=O,2.09682187,0.45329739
OCC(OC=C1O)=CC1=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.82591518,0.61185265
OCC(OC=C1O)=CC1=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.46889534,0.73211797
OCC(OC=C1O)=CC1=O,CC(C)CCOC(=O)c1ccccc1O,4.92721292,0.9692663
OCC(OC=C1O)=CC1=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.51551064,0.8867846
OCC(OC=C1O)=CC1=O,O=C2c1ccccc1CO2,0.95211104,0.19336712
OCC(OC=C1O)=CC1=O,OCC(O)C(O)C(O)CO,0.00493589,8.372e-05
OCC(OC=C1O)=CC1=O,CCC(CC)C(O)=O,0.39593045,0.10546592
OCC(OC=C1O)=CC1=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.50437424,0.36211623
OCC(OC=C1O)=CC1=O,COc1cc(C)ccc1C(C)(C)C,7.79033044,1.21592373
OCC(OC=C1O)=CC1=O,CC2CCC(CC1=C2CCC1C)=C(C)C,9.22942757,1.52226979
OCC(OC=C1O)=CC1=O,COC(=O)c1ccccc1C,2.90304272,0.59474921
OCC(OC=C1O)=CC1=O,CC(=O)c1ccc(C)cc1C,0.87431766,0.23216223
OCC(OC=C1O)=CC1=O,Cc2c1ccccc1ccc2,6.77509235,0.98345953
OCC(OC=C1O)=CC1=O,O=C2CCCCC2C1CCCCC1,1.74641745,0.41379658
OCC(OC=C1O)=CC1=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.00245187,0.2367378
OCC(OC=C1O)=CC1=O,CC(C=O)c1ccccc1,2.37374917,0.47825873
OCC(OC=C1O)=CC1=O,CCC(O)c1ccccc1,1.07007625,0.269265
OCC(OC=C1O)=CC1=O,CCOC(=O)c1ccccc1,2.66068789,0.54838415
OCC(OC=C1O)=CC1=O,CC(OC(C)c2ccccc2)c1ccccc1,2.83993193,0.72304203
OCC(OC=C1O)=CC1=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.28548758,0.69135537
OCC(OC=C1O)=CC1=O,CCOC(=O)c(cc1)ccc1C,2.65946222,0.56361796
OCC(OC=C1O)=CC1=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-16.90399332,-0.68090012
OCC(OC=C1O)=CC1=O,O=C(OCCc1ccccc1)c2ccccc2,3.52193754,0.73419484
OCC(OC=C1O)=CC1=O,CCCc2cc1OCOc1cc2,5.5610749,0.93427287
OCC(OC=C1O)=CC1=O,COC(C1CCC(CC1)C(OC)=O)=O,1.17867591,0.25330781
OCC(OC=C1O)=CC1=O,CCCC1CCCCC1=O,0.93323287,0.22299124
OCC(OC=C1O)=CC1=O,CCOc1ccc(C=CC)cc1O,2.18327995,0.50241491
OCC(OC=C1O)=CC1=O,CCCC(O)C(CO)CC,0.51513112,0.13245299
OCC(OC=C1O)=CC1=O,Cc(ccc1C)cc1C,7.63865994,1.10479334
OCC(OC=C1O)=CC1=O,CCOC(=O)C(OCC)=O,1.72021571,0.34616918
OCC(OC=C1O)=CC1=O,CC1OC(C(C)OC1=O)=O,1.70582391,0.35873644
OCC(OC=C1O)=CC1=O,CCCCC(=O)C(C)=O,3.12685876,0.60728014
OCC(OC=C1O)=CC1=O,C=CCOC(=O)C(C)=C,2.59695811,0.52723837
OCC(OC=C1O)=CC1=O,C1OC1c2ccccc2,2.83176429,0.53544176
OCC(OC=C1O)=CC1=O,CCC(C)CC,10.87382172,1.53003134
OCC(OC=C1O)=CC1=O,CCC(CC)=O,-0.00862013,-0.0100895
OCC(OC=C1O)=CC1=O,OCC(CO)=O,0.18814159,0.04470901
OCC(OC=C1O)=CC1=O,COC(=O)C=C,1.4358498,0.25533069
OCC(OC=C1O)=CC1=O,COC(CO)=O,-0.26813503,-0.06553117
OCC(OC=C1O)=CC1=O,CC1CCCC1,10.84801379,1.49440958
OCC(OC=C1O)=CC1=O,CC1CCCO1,-1.72486141,-0.34406342
OCC(OC=C1O)=CC1=O,O=C1CCCO1,-0.60592914,-0.17375513
OCC(OC=C1O)=CC1=O,CCCC(C)C(O)=O,0.37994504,0.10106762
OCC(OC=C1O)=CC1=O,CCOC(C(C)C)=O,1.74600584,0.36895648
OCC(OC=C1O)=CC1=O,CCOC(=O)C(C)=C,1.88978247,0.39119924
OCC(OC=C1O)=CC1=O,CCOC(C(O)C)=O,-0.01888122,0.00479812
OCC(OC=C1O)=CC1=O,CC(C)C(OC(C(C)C)=O)=O,3.16585017,0.62477911
OCC(OC=C1O)=CC1=O,CC(C)COC(C(C)C)=O,2.37762007,0.52280115
OCC(OC=C1O)=CC1=O,CC(C)COC(=O)C(C)=C,2.59644393,0.55773803
OCC(OC=C1O)=CC1=O,CCCCOC(C(C)C)=O,2.45228079,0.53658392
OCC(OC=C1O)=CC1=O,CCCCOC(=O)C(C)=C,2.4725284,0.53659846
OCC(OC=C1O)=CC1=O,CCC(CC)C=O,1.87323766,0.3922119
OCC(OC=C1O)=CC1=O,OCC1CCCO1,-1.23801281,-0.30074591
OCC(OC=C1O)=CC1=O,OCc1occc1,-0.0015807,0.0006913
OCC(OC=C1O)=CC1=O,O=Cc1occc1,0.33073674,0.06355576
OCC(OC=C1O)=CC1=O,CC(C)(C)c1ccccc1,7.75909792,1.14523601
OCC(OC=C1O)=CC1=O,OOC(C)(C)c(cc1)ccc1C(C)C,1.50324065,0.35750154
OCC(OC=C1O)=CC1=O,CC(C)(C)c(cc1)ccc1C,8.08297237,1.23044349
OCC(OC=C1O)=CC1=O,OC1CCC(CC1)C(C)(C)C,1.46518136,0.37106013
OCC(OC=C1O)=CC1=O,CC(C)(C)C1CCC(CC1)=O,0.36581976,0.08849898
OCC(OC=C1O)=CC1=O,CC(C)c1ccccc1,7.62919939,1.10143647
OCC(OC=C1O)=CC1=O,COC(=O)c(ccc1)cc1C,2.70032149,0.55234092
OCC(OC=C1O)=CC1=O,OC1CC(CC=C1C)C(C)=C,1.32498114,0.33433001
OCC(OC=C1O)=CC1=O,CC(C)c1cc(C(C)C)ccc1,8.29100406,1.29354047
OCC(OC=C1O)=CC1=O,CCCC(CCC)C(O)=O,0.86950335,0.21696911
OCC(OC=C1O)=CC1=O,CC(C=O)c(cc1)ccc1C,2.55059242,0.53085365
OCC(OC=C1O)=CC1=O,CC1CCC(C(C)C)CC1,10.83722995,1.66142077
OCC(OC=C1O)=CC1=O,CC(C)c(cc1)ccc1C,7.95372155,1.18964188
OCC(OC=C1O)=CC1=O,C=CC1CC=CCC1,8.03433105,1.15641379
OCC(OC=C1O)=CC1=O,CCc1ccccc1,7.37711843,1.02533892
OCC(OC=C1O)=CC1=O,C=Cc1ccccc1,6.50586124,0.87816766
OCC(OC=C1O)=CC1=O,OCC1CCCCC1,1.47716844,0.37221107
OCC(OC=C1O)=CC1=O,COc1ccccc1,4.60755553,0.73267956
OCC(OC=C1O)=CC1=O,OCC1CCCCO1,-0.50082925,-0.10511564
OCC(OC=C1O)=CC1=O,OCC(CO1)OC1(C)C,-0.10600249,-0.0244787
OCC(OC=C1O)=CC1=O,Cc1cc(C=C)ccc1,6.87385855,0.97570959
OCC(OC=C1O)=CC1=O,COc(ccc1)cc1C,4.87753363,0.81599711
OCC(OC=C1O)=CC1=O,COC(=O)Cc1ccccc1,2.06930413,0.4346993
OCC(OC=C1O)=CC1=O,COC(OC)Cc1ccccc1,1.48099296,0.35707918
OCC(OC=C1O)=CC1=O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,3.0209391,0.63382348
OCC(OC=C1O)=CC1=O,CC(C)COC(=O)Cc1ccccc1,2.48850437,0.54401527
OCC(OC=C1O)=CC1=O,O=C(OCc2ccccc2)Cc1ccccc1,2.55807361,0.55613781
