SMILES0,SMILES,gamma1,gamma2
OCC,OC(C)C(O)=O,-1.08621143,-0.27924704
OCC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.94444009,0.61438701
OCC,OCC(O)C,-0.00755461,-0.00153797
OCC,O=C1CCO1,2.44726584,0.5130365
OCC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.54662427,0.31873294
OCC,CCOCC,0.87421691,0.18709437
OCC,OCC,0,0
OCC,CCCCCC=O,1.62608806,0.32809427
OCC,CO,0.08671158,0.02165172
OCC,OC(C)C,0.0410995,0.0101496
OCC,CC(C)=O,0.72796615,0.15514347
OCC,OCCC,0.02767347,0.00644212
OCC,OCCCC,0.09437213,0.02315472
OCC,OCCCCC,0.1564532,0.03806131
OCC,CC1OC1,1.0690698,0.21291235
OCC,CCC(C)(C)C,5.61298051,0.71894615
OCC,CC(C)(C)C(C)=O,1.11660806,0.23431458
OCC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.41407223,0.31032259
OCC,COC(C)(C)OC,0.8102375,0.17573995
OCC,CCC1(CC)CCCCC1,5.50119308,0.74333555
OCC,CCOC(C)(OCC)OCC,0.62225077,0.15906594
OCC,CC(C)CCCC(O)(C)CC,0.5118183,0.11727558
OCC,CCC(C)C,5.69481683,0.71292762
OCC,CC(=C)C=C,4.48124712,0.5795618
OCC,CC(=C)C#C,2.81123626,0.39519557
OCC,OCC(C)C,0.08548829,0.02072225
OCC,CC(C)C=O,1.53581284,0.29773908
OCC,CC(=C)C=O,1.46801571,0.29596711
OCC,CCC(O)C,0.1437692,0.03511318
OCC,CCC(C)=O,0.8241391,0.17534963
OCC,COC(C)=O,1.376261,0.27930823
OCC,CC(C)C(C)C,5.63657931,0.72359127
OCC,CC(C)C(O)=O,-1.37435004,-0.36710995
OCC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.60015329,0.33405514
OCC,OOC(C)(C)C(CC1)CCC1C,-0.47836774,-0.13299347
OCC,CCOC(C(O)(C)C)=O,0.61825477,0.14254554
OCC,COC(=O)C(C)=C,1.83515734,0.35723899
OCC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.20862548,0.40951099
OCC,COc2cccc3c2C(=O)c1ccccc1C3=O,1.45663695,0.30856263
OCC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.73032703,0.14338433
OCC,CCOC(=O)c1ccccc1C(OCC)=O,1.894689,0.38234783
OCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.99111756,0.39798449
OCC,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.15058472,0.42164023
OCC,CC(C)CCOC(=O)c1ccccc1O,2.90544785,0.52254996
OCC,Oc2ccccc2C(OCCc1ccccc1)=O,2.88658411,0.52173228
OCC,O=C2c1ccccc1CO2,1.7995723,0.38167094
OCC,OCC(O)C(O)C(O)CO,0.00703621,0.00083525
