SMILES0,SMILES,gamma1,gamma2
OCC1CCCO1,OC(C)C(O)=O,-2.39825079,-0.64593989
OCC1CCCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.2522769,0.25237855
OCC1CCCO1,OCC(O)C,-0.14689532,-0.03545988
OCC1CCCO1,O=C1CCO1,1.68255559,0.39657816
OCC1CCCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.35352344,0.08470993
OCC1CCCO1,CCOCC,0.45670339,0.11107637
OCC1CCCO1,OCC,-0.08318389,-0.01630109
OCC1CCCO1,CCCCCC=O,0.50761848,0.11679855
OCC1CCCO1,CO,0.2087888,0.05315621
OCC1CCCO1,OC(C)C,-0.1184558,-0.02681704
OCC1CCCO1,CC(C)=O,0.25846446,0.06221145
OCC1CCCO1,OCCC,-0.30541102,-0.07258926
OCC1CCCO1,OCCCC,-0.27324204,-0.06197637
OCC1CCCO1,OCCCCC,-0.27441566,-0.06155343
OCC1CCCO1,CC1OC1,0.33203464,0.07455168
OCC1CCCO1,CCC(C)(C)C,2.64386348,0.48950388
OCC1CCCO1,CC(C)(C)C(C)=O,0.37893129,0.09014733
OCC1CCCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.64177654,0.15678244
OCC1CCCO1,COC(C)(C)OC,0.33320584,0.08130324
OCC1CCCO1,CCC1(CC)CCCCC1,2.58446447,0.50555888
OCC1CCCO1,CCOC(C)(OCC)OCC,0.3168889,0.08442375
OCC1CCCO1,CC(C)CCCC(O)(C)CC,0.09795327,0.02852235
OCC1CCCO1,CCC(C)C,2.70412895,0.48889445
OCC1CCCO1,CC(=C)C=C,1.57805388,0.26196944
OCC1CCCO1,CC(=C)C#C,-0.20357905,-0.10156536
OCC1CCCO1,OCC(C)C,-0.5063029,-0.12079369
OCC1CCCO1,CC(C)C=O,0.47206848,0.10414399
OCC1CCCO1,CC(=C)C=O,0.60053605,0.13919648
OCC1CCCO1,CCC(O)C,-0.23575408,-0.05640001
OCC1CCCO1,CCC(C)=O,0.23682261,0.05658623
OCC1CCCO1,COC(C)=O,0.53932959,0.12570453
OCC1CCCO1,CC(C)C(C)C,2.67176838,0.49694271
OCC1CCCO1,CC(C)C(O)=O,-2.97459636,-0.81275181
OCC1CCCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.58146421,0.1384722
OCC1CCCO1,OOC(C)(C)C(CC1)CCC1C,-2.24491931,-0.59794489
OCC1CCCO1,CCOC(C(O)(C)C)=O,0.12005773,0.03027698
OCC1CCCO1,COC(=O)C(C)=C,0.69239934,0.15761511
OCC1CCCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.15710557,0.02797271
OCC1CCCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.7423038,0.17604834
OCC1CCCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.2160513,-0.06382608
OCC1CCCO1,CCOC(=O)c1ccccc1C(OCC)=O,0.64668718,0.15174523
OCC1CCCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.6032465,0.14063069
OCC1CCCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.65225044,0.15070274
OCC1CCCO1,CC(C)CCOC(=O)c1ccccc1O,1.00956371,0.21846996
OCC1CCCO1,Oc2ccccc2C(OCCc1ccccc1)=O,0.93102577,0.20288224
OCC1CCCO1,O=C2c1ccccc1CO2,0.98401635,0.24094635
OCC1CCCO1,OCC(O)C(O)C(O)CO,-0.2022653,-0.04555883
OCC1CCCO1,CCC(CC)C(O)=O,-3.01490773,-0.82036635
OCC1CCCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.22328665,-0.30010073
OCC1CCCO1,COc1cc(C)ccc1C(C)(C)C,1.4770097,0.28471999
OCC1CCCO1,CC2CCC(CC1=C2CCC1C)=C(C)C,2.05397729,0.41684266
OCC1CCCO1,COC(=O)c1ccccc1C,0.86963282,0.19649753
OCC1CCCO1,CC(=O)c1ccc(C)cc1C,0.56643395,0.13691122
OCC1CCCO1,Cc2c1ccccc1ccc2,1.36038563,0.25607111
OCC1CCCO1,O=C2CCCCC2C1CCCCC1,0.62562289,0.15031812
OCC1CCCO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.56239288,0.13322613
OCC1CCCO1,CC(C=O)c1ccccc1,0.78089492,0.17756026
OCC1CCCO1,CCC(O)c1ccccc1,-1.31606634,-0.33281786
OCC1CCCO1,CCOC(=O)c1ccccc1,0.84430761,0.19311683
OCC1CCCO1,CC(OC(C)c2ccccc2)c1ccccc1,0.83465103,0.19262795
OCC1CCCO1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.8057354,0.18193971
OCC1CCCO1,CCOC(=O)c(cc1)ccc1C,0.81962617,0.18878729
OCC1CCCO1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-1.9860126,-0.13999346
OCC1CCCO1,O=C(OCCc1ccccc1)c2ccccc2,0.89559072,0.20189811
OCC1CCCO1,CCCc2cc1OCOc1cc2,0.80388105,0.15223205
OCC1CCCO1,COC(C1CCC(CC1)C(OC)=O)=O,0.42542378,0.10161491
OCC1CCCO1,CCCC1CCCCC1=O,0.47763399,0.11603901
OCC1CCCO1,CCOc1ccc(C=CC)cc1O,-1.82508373,-0.41902854
OCC1CCCO1,CCCC(O)C(CO)CC,-0.06846093,-0.0176382
OCC1CCCO1,Cc(ccc1C)cc1C,1.59635995,0.29601902
OCC1CCCO1,CCOC(=O)C(OCC)=O,0.70662355,0.16568018
OCC1CCCO1,CC1OC(C(C)OC1=O)=O,0.5620417,0.14848254
OCC1CCCO1,CCCCC(=O)C(C)=O,0.72001654,0.15777422
OCC1CCCO1,C=CCOC(=O)C(C)=C,0.83106377,0.18839954
OCC1CCCO1,C1OC1c2ccccc2,0.94056352,0.20779698
OCC1CCCO1,CCC(C)CC,2.70219547,0.50556356
OCC1CCCO1,CCC(CC)=O,0.31729348,0.07514046
OCC1CCCO1,OCC(CO)=O,0.3113257,0.07232446
OCC1CCCO1,COC(=O)C=C,0.74328984,0.17011847
OCC1CCCO1,COC(CO)=O,0.04982913,0.01117593
