SMILES0,SMILES,gamma1,gamma2
OCC1COCO1,OC(C)C(O)=O,-1.55992856,-0.39869375
OCC1COCO1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.50592978,0.50772331
OCC1COCO1,OCC(O)C,0.36996192,0.092425
OCC1COCO1,O=C1CCO1,0.86525182,0.19380549
OCC1COCO1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.86510586,0.19293849
OCC1COCO1,CCOCC,0.85883178,0.22790892
OCC1COCO1,OCC,0.55419678,0.13419544
OCC1COCO1,CCCCCC=O,1.01640448,0.24533276
OCC1COCO1,CO,0.47029818,0.11056776
OCC1COCO1,OC(C)C,0.6473825,0.15981479
OCC1COCO1,CC(C)=O,-0.20732027,-0.05017815
OCC1COCO1,OCCC,0.66987409,0.16686029
OCC1COCO1,OCCCC,0.80684741,0.20586257
OCC1COCO1,OCCCCC,0.93069802,0.23842988
OCC1COCO1,CC1OC1,0.25856287,0.06366067
OCC1COCO1,CCC(C)(C)C,4.98596908,0.9626064
OCC1COCO1,CC(C)(C)C(C)=O,0.65117912,0.16201831
OCC1COCO1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.41376024,0.34173991
OCC1COCO1,COC(C)(C)OC,0.60804994,0.15507167
OCC1COCO1,CCC1(CC)CCCCC1,4.91280357,0.98613246
OCC1COCO1,CCOC(C)(OCC)OCC,0.63320172,0.16314658
OCC1COCO1,CC(C)CCCC(O)(C)CC,1.40529295,0.34141236
OCC1COCO1,CCC(C)C,5.06778751,0.95920984
OCC1COCO1,CC(=C)C=C,3.13360443,0.56338996
OCC1COCO1,CC(=C)C#C,0.9795029,0.15271621
OCC1COCO1,OCC(C)C,0.71604159,0.18459559
OCC1COCO1,CC(C)C=O,0.69943164,0.16223714
OCC1COCO1,CC(=C)C=O,0.60145166,0.14159721
OCC1COCO1,CCC(O)C,0.79113977,0.19919303
OCC1COCO1,CCC(C)=O,0.09045621,0.02438603
OCC1COCO1,COC(C)=O,0.38876353,0.08961364
OCC1COCO1,CC(C)C(C)C,5.02166719,0.9721264
OCC1COCO1,CC(C)C(O)=O,-1.31923418,-0.33697556
OCC1COCO1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.33425141,0.30600052
OCC1COCO1,OOC(C)(C)C(CC1)CCC1C,-0.24302443,-0.0609549
OCC1COCO1,CCOC(C(O)(C)C)=O,0.44679719,0.11221432
OCC1COCO1,COC(=O)C(C)=C,1.09329737,0.25575353
OCC1COCO1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.21005851,0.26530835
OCC1COCO1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.72864474,0.17146658
OCC1COCO1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.54947396,0.30244682
OCC1COCO1,CCOC(=O)c1ccccc1C(OCC)=O,1.01247745,0.23792444
OCC1COCO1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.35019674,0.30480584
OCC1COCO1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.62147962,0.34848865
OCC1COCO1,CC(C)CCOC(=O)c1ccccc1O,2.22151062,0.49423377
OCC1COCO1,Oc2ccccc2C(OCCc1ccccc1)=O,1.85059542,0.41014727
OCC1COCO1,O=C2c1ccccc1CO2,0.70940531,0.17142316
OCC1COCO1,OCC(O)C(O)C(O)CO,-0.03296699,-0.00976504
OCC1COCO1,CCC(CC)C(O)=O,-1.06967308,-0.26981182
OCC1COCO1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.30803399,0.07134826
OCC1COCO1,COc1cc(C)ccc1C(C)(C)C,3.1258868,0.62856804
OCC1COCO1,CC2CCC(CC1=C2CCC1C)=C(C)C,4.10875137,0.84639193
OCC1COCO1,COC(=O)c1ccccc1C,1.5358836,0.35786944
OCC1COCO1,CC(=O)c1ccc(C)cc1C,0.94579401,0.23434963
OCC1COCO1,Cc2c1ccccc1ccc2,2.63875221,0.51453806
OCC1COCO1,O=C2CCCCC2C1CCCCC1,1.33992002,0.32086168
OCC1COCO1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.68841251,0.16266345
OCC1COCO1,CC(C=O)c1ccccc1,1.18589359,0.27497792
OCC1COCO1,CCC(O)c1ccccc1,-0.01418959,0.00676323
OCC1COCO1,CCOC(=O)c1ccccc1,1.46233257,0.34292343
OCC1COCO1,CC(OC(C)c2ccccc2)c1ccccc1,1.66267476,0.39787399
OCC1COCO1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.38503533,0.3070542
OCC1COCO1,CCOC(=O)c(cc1)ccc1C,1.50988756,0.35580994
OCC1COCO1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-5.0539476,-0.26299317
OCC1COCO1,O=C(OCCc1ccccc1)c2ccccc2,1.6299487,0.37272982
OCC1COCO1,CCCc2cc1OCOc1cc2,1.99216994,0.41013314
OCC1COCO1,COC(C1CCC(CC1)C(OC)=O)=O,0.63685565,0.15184059
OCC1COCO1,CCCC1CCCCC1=O,0.97983433,0.23975505
OCC1COCO1,CCOc1ccc(C=CC)cc1O,-0.25515217,-0.03082864
OCC1COCO1,CCCC(O)C(CO)CC,0.835284,0.20449514
OCC1COCO1,Cc(ccc1C)cc1C,3.17432476,0.61988784
OCC1COCO1,CCOC(=O)C(OCC)=O,0.81866863,0.19152532
OCC1COCO1,CC1OC(C(C)OC1=O)=O,0.32116903,0.07576425
OCC1COCO1,CCCCC(=O)C(C)=O,1.35774663,0.30722111
OCC1COCO1,C=CCOC(=O)C(C)=C,1.45363478,0.33913142
OCC1COCO1,C1OC1c2ccccc2,1.37123723,0.30614378
OCC1COCO1,CCC(C)CC,5.06169518,0.98317275
OCC1COCO1,CCC(CC)=O,0.47241625,0.11778359
OCC1COCO1,OCC(CO)=O,0.03425735,0.0027689
OCC1COCO1,COC(=O)C=C,0.89729591,0.2055662
OCC1COCO1,COC(CO)=O,-0.01540161,-0.00382503
OCC1COCO1,CC1CCCC1,5.0138174,0.95876874
OCC1COCO1,CC1CCCO1,0.05361748,0.02825869
OCC1COCO1,O=C1CCCO1,0.09073333,0.02023985
OCC1COCO1,CCCC(C)C(O)=O,-1.08544182,-0.27478616
OCC1COCO1,CCOC(C(C)C)=O,1.17865322,0.28195855
OCC1COCO1,CCOC(=O)C(C)=C,1.27829021,0.30385624
OCC1COCO1,CCOC(C(O)C)=O,0.29836586,0.07597708
OCC1COCO1,CC(C)C(OC(C(C)C)=O)=O,1.44563645,0.32852232
OCC1COCO1,CC(C)COC(C(C)C)=O,1.55245579,0.36942141
OCC1COCO1,CC(C)COC(=O)C(C)=C,1.62761284,0.38570774
OCC1COCO1,CCCCOC(C(C)C)=O,1.55445723,0.36931483
OCC1COCO1,CCCCOC(=O)C(C)=C,1.57973272,0.37560727
OCC1COCO1,CCC(CC)C=O,1.21467164,0.28789394
OCC1COCO1,OCC1CCCO1,0.03334363,0.0104165
OCC1COCO1,OCc1occc1,-0.3960028,-0.09334864
OCC1COCO1,O=Cc1occc1,0.51056584,0.12574203
OCC1COCO1,CC(C)(C)c1ccccc1,3.17233632,0.624903
OCC1COCO1,OOC(C)(C)c(cc1)ccc1C(C)C,-0.4119597,-0.11345722
OCC1COCO1,CC(C)(C)c(cc1)ccc1C,3.36065787,0.67137337
OCC1COCO1,OC1CCC(CC1)C(C)(C)C,1.17714136,0.2928195
OCC1COCO1,CC(C)(C)C1CCC(CC1)=O,0.70002753,0.16927113
OCC1COCO1,CC(C)c1ccccc1,3.12278267,0.60910079
OCC1COCO1,COC(=O)c(ccc1)cc1C,1.4524026,0.33860343
OCC1COCO1,OC1CC(CC=C1C)C(C)=C,0.62105306,0.15486361
OCC1COCO1,CC(C)c1cc(C(C)C)ccc1,3.46703304,0.69835363
OCC1COCO1,CCCC(CCC)C(O)=O,-0.84052568,-0.21966615
OCC1COCO1,CC(C=O)c(cc1)ccc1C,1.30765133,0.30555826
OCC1COCO1,CC1CCC(C(C)C)CC1,4.94545608,0.99773515
OCC1COCO1,CC(C)c(cc1)ccc1C,3.30493405,0.65579937
OCC1COCO1,C=CC1CC=CCC1,3.41126161,0.66267106
OCC1COCO1,CCc1ccccc1,3.00193962,0.5736995
OCC1COCO1,C=Cc1ccccc1,2.50440143,0.46949904
OCC1COCO1,OCC1CCCCC1,0.97838089,0.25007241
OCC1COCO1,COc1ccccc1,1.90488877,0.3834258
OCC1COCO1,OCC1CCCCO1,0.38015375,0.10098294
OCC1COCO1,OCC(CO1)OC1(C)C,0.16466719,0.04295912
OCC1COCO1,Cc1cc(C=C)ccc1,2.69757482,0.52019863
OCC1COCO1,COc(ccc1)cc1C,2.06509857,0.42770185
OCC1COCO1,COC(=O)Cc1ccccc1,1.07079707,0.25398161
OCC1COCO1,COC(OC)Cc1ccccc1,1.00869202,0.24770329
OCC1COCO1,Cc2ccc(OC(=O)Cc1ccccc1)cc2,1.30137747,0.29876072
OCC1COCO1,CC(C)COC(=O)Cc1ccccc1,1.31259259,0.30916319
OCC1COCO1,O=C(OCc2ccccc2)Cc1ccccc1,1.16742338,0.27230273
OCC1COCO1,CCc1cc(CC)cc(CC)c1,3.58127381,0.72382858
OCC1COCO1,CC(=O)Oc(ccc1)cc1O,-2.17057304,-0.56702936
OCC1COCO1,COC(OC)CC(OC)OC,0.50549065,0.12246539
OCC1COCO1,CCCCC(CC)COC(C)=O,1.54066081,0.36126769
OCC1COCO1,CCCCC(CC)COC(=O)C=C,1.87799205,0.43629813
OCC1COCO1,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,1.55351774,0.30764536
OCC1COCO1,COC(CCc1ccccc1)=O,1.14258041,0.2697521
OCC1COCO1,CC(C)C(OCc1ccccc1)=O,1.36389604,0.31902049
OCC1COCO1,CCCC(OCc1ccccc1)=O,1.36976325,0.32177337
OCC1COCO1,CC(C)CC(OCc1ccccc1)=O,1.47663463,0.34742478
OCC1COCO1,CC(OCCc1ccccc1)=O,1.08508391,0.25965437
OCC1COCO1,CC(C)C(OCCc1ccccc1)=O,1.470462,0.34474079
OCC1COCO1,CC(C)C(OCCOc1ccccc1)=O,1.1585408,0.27180683
OCC1COCO1,CCCc1ccccc1,3.12297452,0.61114987
OCC1COCO1,CC(C)C(=O)Oc(cc1)ccc1C,1.50430085,0.34762785
OCC1COCO1,CCCc(cc1)ccc1OC,2.31311636,0.49315385
OCC1COCO1,CCCCC1OC(CC1)=O,0.48280138,0.11738153
OCC1COCO1,CCCCc1ccccc1,3.23139835,0.64265717
OCC1COCO1,O=COCc1ccccc1,1.00853589,0.23268412
OCC1COCO1,CCCCCC1OC(CC1)=O,0.60021433,0.14407174
OCC1COCO1,O=COCCc1ccccc1,1.06405754,0.24798036
OCC1COCO1,CCCCCCCC1OC(CC1)=O,0.82055308,0.1920546
OCC1COCO1,CCCCC(CO)CC,1.11754374,0.28145855
OCC1COCO1,COc(cc1)ccc1C,2.04834543,0.42705892
OCC1COCO1,CC(C)COC(CCc1occc1)=O,1.38600221,0.32481942
OCC1COCO1,CCc1ccc(CC)cc1,3.34881829,0.66587926
OCC1COCO1,C=Cc1ccc(C=C)cc1,2.41833575,0.46933763
OCC1COCO1,CCCC1OC(CC1)=O,0.34346855,0.08390001
OCC1COCO1,OCC=C(C)C#C,-0.70612932,-0.17007555
OCC1COCO1,CCCC(C)CO,0.95061031,0.24579327
OCC1COCO1,CCCC(O)C#C,-1.25553537,-0.29810549
OCC1COCO1,CCOC(CC)=O,0.88531193,0.21418318
OCC1COCO1,CCC(OC=C)=O,1.5684441,0.34482008
OCC1COCO1,CCC(C)CC(C)=O,0.80028812,0.19866459
OCC1COCO1,CCC(C)CC(O)=O,-1.15326022,-0.29393223
OCC1COCO1,CCC(C)OC(C)=O,0.99250625,0.24055312
OCC1COCO1,CCOC(CC(OCC)=O)=O,0.74331326,0.17810378
OCC1COCO1,CCOC(CCC)=O,1.18060474,0.28227058
OCC1COCO1,CCOC(C)OCC,0.76874552,0.19629142
OCC1COCO1,CCOC(OCC)=O,1.01562814,0.23663621
OCC1COCO1,CCCOC(CCC)=O,1.32045591,0.31626059
OCC1COCO1,CC(C)CCOC(CC)=O,1.4596032,0.34736648
OCC1COCO1,CCCCOC(=O)C=CC(OCCCC)=O,1.15853582,0.26664614
OCC1COCO1,O=C1OCCOC(CCCCCCCCCCC1)=O,0.99974952,0.23347604
OCC1COCO1,CCCCCCCCCCCC(OCCCC)=O,2.21451329,0.47938488
OCC1COCO1,OCCC(C)CCCC(C)C,1.28080406,0.31291729
OCC1COCO1,CC(C)CCOC(CCC)=O,1.58185623,0.37441306
OCC1COCO1,CCCCCCC(OCC)=O,1.5746042,0.37208745
OCC1COCO1,CCCC(OC(CCC)=O)=O,1.32633075,0.3045768
OCC1COCO1,CCCCCCCC(OCC)=O,1.68583363,0.39471757
OCC1COCO1,CCCCC(CC)=O,0.85255704,0.20946562
OCC1COCO1,CCCOC(CC)=O,1.0875536,0.26307891
OCC1COCO1,CC(C)COC(=O)C=C,1.33808936,0.3199942
OCC1COCO1,CCCCCC(CC)=O,1.04488799,0.25418081
OCC1COCO1,CCCCCC(OC)=O,1.26690244,0.30364093
OCC1COCO1,CC(CCC=C(C)C)C=O,1.43118869,0.3403755
OCC1COCO1,CCCCCCC(OC)=O,1.43437023,0.34095054
OCC1COCO1,CCOCCOC(=O)C=C,0.64263394,0.1562804
OCC1COCO1,C=CC2CC1OC1CC2,1.13081814,0.2755173
OCC1COCO1,C1OC1C3CC2OC2CC3,0.38981813,0.09540902
OCC1COCO1,CCC1OC1,0.65642409,0.16090344
OCC1COCO1,C=CC(OCC1OC1)=O,0.75732439,0.1794664
OCC1COCO1,CC(=C)C(OCC1OC1)=O,0.81137462,0.19371082
OCC1COCO1,C=CCOCC1OC1,0.52908086,0.12770291
OCC1COCO1,O=CC=C,0.44658349,0.10249543
OCC1COCO1,OCC=C,-0.06745529,-0.00800987
OCC1COCO1,OCC#C,-1.51075297,-0.35806184
OCC1COCO1,COC=O,0.50237623,0.10671239
OCC1COCO1,CC(C)(C)CC(C)=C,4.23502684,0.83920606
OCC1COCO1,CC(C)(C)C=C(C)C,4.29160993,0.85311062
OCC1COCO1,OC(C)CC(O)(C)C,0.59278324,0.14851609
OCC1COCO1,COC(C)(C)CC(C)=O,0.34006722,0.08650728
OCC1COCO1,OCCC(C)CCCC(O)(C)C,0.68658115,0.16468131
OCC1COCO1,OC(C)(C)CCCC(C)CC=O,0.34408002,0.0800948
OCC1COCO1,CCCC(C)C,5.0549454,0.98510392
OCC1COCO1,CC(C)=CC=O,-0.07486588,-0.01671658
OCC1COCO1,CCCC(C)=O,0.28643625,0.07365501
OCC1COCO1,OCCC(O)C,0.45895953,0.11630785
OCC1COCO1,COCC(O)C,0.19813476,0.05440671
OCC1COCO1,CC(OC=C)=O,1.28488218,0.27811148
OCC1COCO1,CC(C)CC(C)C,4.98463661,0.98506905
OCC1COCO1,CC(C)CC(C)=O,0.604909,0.15166109
OCC1COCO1,OC(C)CC(C)C,1.01444499,0.25799026
OCC1COCO1,CC(C)OC(C)C,0.68803165,0.19119485
OCC1COCO1,CC(C)OC(C)=O,0.79950732,0.19379848
OCC1COCO1,CC(OC(C)=C)=O,1.04264061,0.24341989
OCC1COCO1,CC(OC(C)=O)=O,0.83163748,0.18620878
OCC1COCO1,O=C1C=CC(O1)=C,0.75245655,0.17379499
OCC1COCO1,CC1OC(CC1)=O,0.08831203,0.02119661
OCC1COCO1,CC1OC(OC1)=O,0.6068335,0.14300304
OCC1COCO1,Cc1cc(C)ccc1,3.05818835,0.5855084
OCC1COCO1,C=Cc1cc(C=C)ccc1,2.43859007,0.47377583
OCC1COCO1,COC(CC(OC)=O)=O,0.6473762,0.15337202
OCC1COCO1,CCOC(CC(C)C)=O,1.35159048,0.32131418
OCC1COCO1,COCC(C)OC(C)=O,0.52846752,0.13050339
OCC1COCO1,Cc1cc(C)cc(C)c1,3.24891243,0.63670675
OCC1COCO1,CC(C)CC(O)CC(C)C,1.35346279,0.33398701
OCC1COCO1,CC(C)CC(CC(C)C)=O,1.57417428,0.37709395
OCC1COCO1,CC(C)CC(C)OC(C)=O,1.29785994,0.31230551
OCC1COCO1,CC1CCCCC1,5.02885295,0.97811583
OCC1COCO1,Cc1ccccc1,2.85079803,0.52817252
OCC1COCO1,O=C1CCCCC1,0.12041728,0.03229898
OCC1COCO1,O=C1C=COC=C1,0.0089022,0.00139419
OCC1COCO1,CCCCOC(CC(C)C)=O,1.60616595,0.38239653
OCC1COCO1,CCCCOC(CCC)=O,1.50865781,0.3581897
OCC1COCO1,O=C1CCCCCCCCCCCCCCCO1,1.88485659,0.43084668
OCC1COCO1,CC(CCC=C)=O,0.5208645,0.12850007
OCC1COCO1,CCC#CC(O)C,0.06272569,0.02403632
OCC1COCO1,CCCCC(O)=O,-1.17606635,-0.29848495
OCC1COCO1,CC(C)COC=C,2.82793827,0.57338725
OCC1COCO1,OCCOC(C)C,0.17086145,0.04402241
