SMILES0,SMILES,gamma1,gamma2
OCC1OC(C(O)C(O)C1O)=O,OC(C)C(O)=O,-0.48230366,-0.10639717
OCC1OC(C(O)C(O)C1O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,9.04993966,1.70337808
OCC1OC(C(O)C(O)C1O)=O,OCC(O)C,0.77249966,0.18145247
OCC1OC(C(O)C(O)C1O)=O,O=C1CCO1,1.15844447,0.16319797
OCC1OC(C(O)C(O)C1O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,3.13262471,0.69132537
OCC1OC(C(O)C(O)C1O)=O,CCOCC,1.38597873,0.50475575
OCC1OC(C(O)C(O)C1O)=O,OCC,0.90365488,0.20834631
OCC1OC(C(O)C(O)C1O)=O,CCCCCC=O,2.76704698,0.66129823
OCC1OC(C(O)C(O)C1O)=O,CO,0.00450362,0.00019786
OCC1OC(C(O)C(O)C1O)=O,OC(C)C,1.3624898,0.3376164
OCC1OC(C(O)C(O)C1O)=O,CC(C)=O,-1.51555045,-0.30994477
OCC1OC(C(O)C(O)C1O)=O,OCCC,1.8691345,0.43466396
OCC1OC(C(O)C(O)C1O)=O,OCCCC,2.33928129,0.56839088
OCC1OC(C(O)C(O)C1O)=O,OCCCCC,2.84586734,0.69888906
OCC1OC(C(O)C(O)C1O)=O,CC1OC1,0.08970138,0.07274884
OCC1OC(C(O)C(O)C1O)=O,CCC(C)(C)C,13.68354886,2.23439421
OCC1OC(C(O)C(O)C1O)=O,CC(C)(C)C(C)=O,1.2661267,0.36596935
OCC1OC(C(O)C(O)C1O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.83270463,0.98730984
OCC1OC(C(O)C(O)C1O)=O,COC(C)(C)OC,0.99365876,0.32204311
OCC1OC(C(O)C(O)C1O)=O,CCC1(CC)CCCCC1,13.63360687,2.40417446
OCC1OC(C(O)C(O)C1O)=O,CCOC(C)(OCC)OCC,1.12751924,0.30682198
OCC1OC(C(O)C(O)C1O)=O,CC(C)CCCC(O)(C)CC,4.03533625,1.01082522
OCC1OC(C(O)C(O)C1O)=O,CCC(C)C,13.8059826,2.18185683
OCC1OC(C(O)C(O)C1O)=O,CC(=C)C=C,9.99384294,1.50488131
OCC1OC(C(O)C(O)C1O)=O,CC(=C)C#C,6.5282895,1.0038693
OCC1OC(C(O)C(O)C1O)=O,OCC(C)C,2.65140558,0.61986027
OCC1OC(C(O)C(O)C1O)=O,CC(C)C=O,1.69082523,0.37992022
OCC1OC(C(O)C(O)C1O)=O,CC(=C)C=O,1.21791734,0.27846531
OCC1OC(C(O)C(O)C1O)=O,CCC(O)C,2.27175013,0.55138035
OCC1OC(C(O)C(O)C1O)=O,CCC(C)=O,-0.43089364,-0.04324111
OCC1OC(C(O)C(O)C1O)=O,COC(C)=O,0.61020502,0.12998829
OCC1OC(C(O)C(O)C1O)=O,CC(C)C(C)C,13.74942568,2.25337639
OCC1OC(C(O)C(O)C1O)=O,CC(C)C(O)=O,0.81913073,0.21108612
OCC1OC(C(O)C(O)C1O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.87861326,0.9278092
OCC1OC(C(O)C(O)C1O)=O,OOC(C)(C)C(CC1)CCC1C,3.51614969,0.87950932
OCC1OC(C(O)C(O)C1O)=O,CCOC(C(O)(C)C)=O,1.1472197,0.33540668
OCC1OC(C(O)C(O)C1O)=O,COC(=O)C(C)=C,3.02598203,0.66681326
OCC1OC(C(O)C(O)C1O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,6.18463078,1.28847763
OCC1OC(C(O)C(O)C1O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,2.08483038,0.50933016
OCC1OC(C(O)C(O)C1O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,5.76789668,1.27227153
OCC1OC(C(O)C(O)C1O)=O,CCOC(=O)c1ccccc1C(OCC)=O,3.39360804,0.77026885
OCC1OC(C(O)C(O)C1O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,4.52762934,1.01790313
OCC1OC(C(O)C(O)C1O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,5.38569813,1.17476888
OCC1OC(C(O)C(O)C1O)=O,CC(C)CCOC(=O)c1ccccc1O,7.27954575,1.54057789
OCC1OC(C(O)C(O)C1O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,6.67268932,1.40811728
OCC1OC(C(O)C(O)C1O)=O,O=C2c1ccccc1CO2,1.70598249,0.38201761
OCC1OC(C(O)C(O)C1O)=O,OCC(O)C(O)C(O)CO,0.19128508,0.04852424
OCC1OC(C(O)C(O)C1O)=O,CCC(CC)C(O)=O,1.78371061,0.45765769
OCC1OC(C(O)C(O)C1O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,3.67035744,0.88691856
OCC1OC(C(O)C(O)C1O)=O,COc1cc(C)ccc1C(C)(C)C,10.21379301,1.86128713
OCC1OC(C(O)C(O)C1O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,12.02050016,2.27581919
OCC1OC(C(O)C(O)C1O)=O,COC(=O)c1ccccc1C,4.78766997,1.05923663
OCC1OC(C(O)C(O)C1O)=O,CC(=O)c1ccc(C)cc1C,2.50854731,0.67146483
OCC1OC(C(O)C(O)C1O)=O,Cc2c1ccccc1ccc2,9.1160192,1.57270051
OCC1OC(C(O)C(O)C1O)=O,O=C2CCCCC2C1CCCCC1,3.27649789,0.8365403
OCC1OC(C(O)C(O)C1O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.38657096,0.57911878
OCC1OC(C(O)C(O)C1O)=O,CC(C=O)c1ccccc1,3.82921953,0.83565275
OCC1OC(C(O)C(O)C1O)=O,CCC(O)c1ccccc1,2.95417097,0.72751182
OCC1OC(C(O)C(O)C1O)=O,CCOC(=O)c1ccccc1,4.46694832,0.99771549
OCC1OC(C(O)C(O)C1O)=O,CC(OC(C)c2ccccc2)c1ccccc1,5.342591,1.31763056
OCC1OC(C(O)C(O)C1O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,5.1844024,1.1299365
