SMILES0,SMILES,gamma1,gamma2
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,OC(C)C(O)=O,-2.55588992,-0.48230522
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,19.16489039,2.4827128
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,OCC(O)C,-0.94351158,-0.16091661
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,O=C1CCO1,4.67930977,0.42586032
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,6.5864934,1.24028407
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,CCOCC,-0.18519644,0.33806078
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,OCC,-1.81112005,-0.21160719
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,CCCCCC=O,4.830608,0.73746828
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,CO,-3.07424336,-0.4145971
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,OC(C)C,-1.10040244,-0.04727535
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,CC(C)=O,-2.48086913,-0.52722854
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,OCCC,-0.12692157,0.07291578
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,OCCCC,0.58767441,0.25175074
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,OCCCCC,1.3987108,0.43862523
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,CC1OC1,0.01357626,-0.07347604
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,CCC(C)(C)C,26.16036329,2.42952326
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,CC(C)(C)C(C)=O,1.65203177,0.3138442
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,4.88012682,1.29198917
OCC1OC(OC(C(CO)OC2O)C(O)C2O)C(O)C(O)C1O,COC(C)(C)OC,0.06750784,0.16271536
