SMILES0,SMILES,gamma1,gamma2
OCC1OC(OC1)=O,OC(C)C(O)=O,0.18722899,0.05304174
OCC1OC(OC1)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.50500938,1.10001145
OCC1OC(OC1)=O,OCC(O)C,1.22587274,0.29884539
OCC1OC(OC1)=O,O=C1CCO1,0.35138623,0.06657682
OCC1OC(OC1)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.87000227,0.37639603
OCC1OC(OC1)=O,CCOCC,1.40090822,0.40427134
OCC1OC(OC1)=O,OCC,1.48658408,0.34724908
OCC1OC(OC1)=O,CCCCCC=O,1.9357724,0.48437585
OCC1OC(OC1)=O,CO,0.91350461,0.19521415
OCC1OC(OC1)=O,OC(C)C,1.73534689,0.41927517
OCC1OC(OC1)=O,CC(C)=O,-0.95033969,-0.21665479
OCC1OC(OC1)=O,OCCC,2.10428806,0.50343018
OCC1OC(OC1)=O,OCCCC,2.3896537,0.58313123
OCC1OC(OC1)=O,OCCCCC,2.70975698,0.66194652
OCC1OC(OC1)=O,CC1OC1,0.12498962,0.06623784
OCC1OC(OC1)=O,CCC(C)(C)C,9.80115648,1.80960558
OCC1OC(OC1)=O,CC(C)(C)C(C)=O,1.02729082,0.27149792
OCC1OC(OC1)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.71658924,0.63841404
OCC1OC(OC1)=O,COC(C)(C)OC,0.9599144,0.24971611
OCC1OC(OC1)=O,CCC1(CC)CCCCC1,9.73135121,1.87183717
OCC1OC(OC1)=O,CCOC(C)(OCC)OCC,1.10033628,0.25067383
OCC1OC(OC1)=O,CC(C)CCCC(O)(C)CC,3.38323906,0.79000248
OCC1OC(OC1)=O,CCC(C)C,9.92507165,1.79462329
OCC1OC(OC1)=O,CC(=C)C=C,6.48708607,1.15745542
OCC1OC(OC1)=O,CC(=C)C#C,3.79162925,0.69973633
OCC1OC(OC1)=O,OCC(C)C,2.56148273,0.61702813
OCC1OC(OC1)=O,CC(C)C=O,1.15174378,0.29642239
OCC1OC(OC1)=O,CC(=C)C=O,0.73572651,0.19498416
OCC1OC(OC1)=O,CCC(O)C,2.30023377,0.55830484
OCC1OC(OC1)=O,CCC(C)=O,-0.15787983,-0.01907691
OCC1OC(OC1)=O,COC(C)=O,0.2700338,0.07657894
OCC1OC(OC1)=O,CC(C)C(C)C,9.85746202,1.82363833
OCC1OC(OC1)=O,CC(C)C(O)=O,1.26874658,0.31584275
OCC1OC(OC1)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.60618999,0.57062833
OCC1OC(OC1)=O,OOC(C)(C)C(CC1)CCC1C,2.96554716,0.711457
OCC1OC(OC1)=O,CCOC(C(O)(C)C)=O,0.91762207,0.21786567
OCC1OC(OC1)=O,COC(=O)C(C)=C,1.8897755,0.46303095
OCC1OC(OC1)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.51988952,0.78287802
OCC1OC(OC1)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.06541224,0.24066403
OCC1OC(OC1)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,4.30576316,0.84516428
OCC1OC(OC1)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.93242349,0.4469325
OCC1OC(OC1)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.81436111,0.6109591
OCC1OC(OC1)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.45034556,0.70522571
OCC1OC(OC1)=O,CC(C)CCOC(=O)c1ccccc1O,4.60086443,1.03149519
OCC1OC(OC1)=O,Oc2ccccc2C(OCCc1ccccc1)=O,3.90363515,0.87463442
OCC1OC(OC1)=O,O=C2c1ccccc1CO2,0.76584892,0.18967525
OCC1OC(OC1)=O,OCC(O)C(O)C(O)CO,0.36724463,0.08884878
OCC1OC(OC1)=O,CCC(CC)C(O)=O,1.95020785,0.48245578
OCC1OC(OC1)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,2.7580158,0.63422292
OCC1OC(OC1)=O,COc1cc(C)ccc1C(C)(C)C,6.69428649,1.32425137
OCC1OC(OC1)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,8.30159208,1.66599488
OCC1OC(OC1)=O,COC(=O)c1ccccc1C,2.92414183,0.70168252
OCC1OC(OC1)=O,CC(=O)c1ccc(C)cc1C,1.64916961,0.4149722
OCC1OC(OC1)=O,Cc2c1ccccc1ccc2,5.6402465,1.0932496
