SMILES0,SMILES,gamma1,gamma2
OCC1OC1,OC(C)C(O)=O,-1.19896734,-0.30497206
OCC1OC1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.04804561,0.58441702
OCC1OC1,OCC(O)C,0.25681699,0.06470069
OCC1OC1,O=C1CCO1,1.10280681,0.2392108
OCC1OC1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.1065007,0.23898745
OCC1OC1,CCOCC,0.86535171,0.22437962
OCC1OC1,OCC,0.41955494,0.10391358
OCC1OC1,CCCCCC=O,1.25644792,0.29529753
OCC1OC1,CO,0.2949304,0.06951388
OCC1OC1,OC(C)C,0.53137536,0.13336038
OCC1OC1,CC(C)=O,-0.08127322,-0.02222544
OCC1OC1,OCCC,0.60507576,0.15275855
OCC1OC1,OCCCC,0.74674062,0.19041595
OCC1OC1,OCCCCC,0.88279827,0.22334013
OCC1OC1,CC1OC1,0.42583675,0.10014665
OCC1OC1,CCC(C)(C)C,5.46732541,0.99849521
OCC1OC1,CC(C)(C)C(C)=O,0.78357694,0.18801901
OCC1OC1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.45317329,0.34056844
OCC1OC1,COC(C)(C)OC,0.63896855,0.15646519
OCC1OC1,CCC1(CC)CCCCC1,5.37687782,1.01223175
OCC1OC1,CCOC(C)(OCC)OCC,0.58235625,0.14503265
OCC1OC1,CC(C)CCCC(O)(C)CC,1.31881915,0.30657191
OCC1OC1,CCC(C)C,5.54890645,0.99768691
OCC1OC1,CC(=C)C=C,3.74351316,0.63778742
OCC1OC1,CC(=C)C#C,1.76535275,0.27037079
OCC1OC1,OCC(C)C,0.72616395,0.18564098
OCC1OC1,CC(C)C=O,0.96874641,0.21985778
OCC1OC1,CC(=C)C=O,0.76558575,0.17524616
OCC1OC1,CCC(O)C,0.73312382,0.1853311
OCC1OC1,CCC(C)=O,0.21617996,0.0515157
OCC1OC1,COC(C)=O,0.58781437,0.1320268
OCC1OC1,CC(C)C(C)C,5.49685514,1.00624251
OCC1OC1,CC(C)C(O)=O,-0.85736229,-0.22283448
OCC1OC1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.45938431,0.32188563
OCC1OC1,OOC(C)(C)C(CC1)CCC1C,0.24428331,0.04560832
OCC1OC1,CCOC(C(O)(C)C)=O,0.46118836,0.11074532
OCC1OC1,COC(=O)C(C)=C,1.30509576,0.29588999
OCC1OC1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.64056571,0.35105588
OCC1OC1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.73564348,0.17081416
OCC1OC1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.62255867,0.29834727
OCC1OC1,CCOC(=O)c1ccccc1C(OCC)=O,1.2575286,0.28676275
OCC1OC1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.61255423,0.35226556
OCC1OC1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.9026527,0.39456572
OCC1OC1,CC(C)CCOC(=O)c1ccccc1O,2.57627944,0.55006861
OCC1OC1,Oc2ccccc2C(OCCc1ccccc1)=O,2.23100585,0.47635551
OCC1OC1,O=C2c1ccccc1CO2,0.80727069,0.18849824
OCC1OC1,OCC(O)C(O)C(O)CO,-0.11386572,-0.02836525
OCC1OC1,CCC(CC)C(O)=O,-0.58454029,-0.15468167
OCC1OC1,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.50940371,0.11144623
OCC1OC1,COc1cc(C)ccc1C(C)(C)C,3.71078603,0.7018268
OCC1OC1,CC2CCC(CC1=C2CCC1C)=C(C)C,4.59061787,0.88609017
OCC1OC1,COC(=O)c1ccccc1C,1.76790057,0.39895356
OCC1OC1,CC(=O)c1ccc(C)cc1C,0.98672432,0.23913204
OCC1OC1,Cc2c1ccccc1ccc2,3.21846008,0.59089892
OCC1OC1,O=C2CCCCC2C1CCCCC1,1.46398164,0.33797176
OCC1OC1,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.74951195,0.17446903
OCC1OC1,CC(C=O)c1ccccc1,1.45559467,0.32757918
OCC1OC1,CCC(O)c1ccccc1,0.26562552,0.06946775
OCC1OC1,CCOC(=O)c1ccccc1,1.67671358,0.38070178
OCC1OC1,CC(OC(C)c2ccccc2)c1ccccc1,1.79021303,0.42559245
OCC1OC1,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.6472213,0.35793456
OCC1OC1,CCOC(=O)c(cc1)ccc1C,1.71347346,0.39091183
OCC1OC1,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-5.32574715,-0.33603868
OCC1OC1,O=C(OCCc1ccccc1)c2ccccc2,1.91151813,0.4234776
OCC1OC1,CCCc2cc1OCOc1cc2,2.56107909,0.50355058
OCC1OC1,COC(C1CCC(CC1)C(OC)=O)=O,0.85774105,0.19803901
OCC1OC1,CCCC1CCCCC1=O,1.09286072,0.25711735
OCC1OC1,CCOc1ccc(C=CC)cc1O,0.36641467,0.09733969
OCC1OC1,CCCC(O)C(CO)CC,0.70483161,0.16657262
OCC1OC1,Cc(ccc1C)cc1C,3.75653154,0.69165891
OCC1OC1,CCOC(=O)C(OCC)=O,1.11339372,0.25150681
OCC1OC1,CC1OC(C(C)OC1=O)=O,0.6433596,0.14680111
OCC1OC1,CCCCC(=O)C(C)=O,1.74870923,0.38217974
OCC1OC1,C=CCOC(=O)C(C)=C,1.67591921,0.37833025
OCC1OC1,C1OC1c2ccccc2,1.67245737,0.36219287
OCC1OC1,CCC(C)CC,5.52932245,1.0150072
OCC1OC1,CCC(CC)=O,0.61204999,0.14662123
OCC1OC1,OCC(CO)=O,-0.06418232,-0.01937576
OCC1OC1,COC(=O)C=C,1.11291409,0.24645481
OCC1OC1,COC(CO)=O,-0.01046632,-0.00236293
OCC1OC1,CC1CCCC1,5.51441083,1.00075846
OCC1OC1,CC1CCCO1,-0.00224609,0.0011822
OCC1OC1,O=C1CCCO1,0.25687158,0.05855869
OCC1OC1,CCCC(C)C(O)=O,-0.59813712,-0.15871309
OCC1OC1,CCOC(C(C)C)=O,1.38861807,0.32165673
OCC1OC1,CCOC(=O)C(C)=C,1.45930377,0.33651456
OCC1OC1,CCOC(C(O)C)=O,0.33799007,0.08317374
OCC1OC1,CC(C)C(OC(C(C)C)=O)=O,1.82711533,0.40004722
OCC1OC1,CC(C)COC(C(C)C)=O,1.73809155,0.39953052
OCC1OC1,CC(C)COC(=O)C(C)=C,1.81436605,0.41576618
OCC1OC1,CCCCOC(C(C)C)=O,1.75136483,0.40164445
OCC1OC1,CCCCOC(=O)C(C)=C,1.7576586,0.40407601
OCC1OC1,CCC(CC)C=O,1.46847263,0.33878382
OCC1OC1,OCC1CCCO1,-0.03887044,-0.01071006
OCC1OC1,OCc1occc1,-0.25924812,-0.06311418
OCC1OC1,O=Cc1occc1,0.51390738,0.1231424
OCC1OC1,CC(C)(C)c1ccccc1,3.75489516,0.69629783
OCC1OC1,OOC(C)(C)c(cc1)ccc1C(C)C,0.10450566,0.00697825
OCC1OC1,CC(C)(C)c(cc1)ccc1C,3.92766617,0.73758367
OCC1OC1,OC1CCC(CC1)C(C)(C)C,1.12034075,0.26899025
OCC1OC1,CC(C)(C)C1CCC(CC1)=O,0.78361728,0.18109536
OCC1OC1,CC(C)c1ccccc1,3.70851978,0.68146652
OCC1OC1,COC(=O)c(ccc1)cc1C,1.67875275,0.37867956
OCC1OC1,OC1CC(CC=C1C)C(C)=C,0.74035094,0.17949047
OCC1OC1,CC(C)c1cc(C(C)C)ccc1,4.0222386,0.76070923
OCC1OC1,CCCC(CCC)C(O)=O,-0.3492577,-0.10686948
OCC1OC1,CC(C=O)c(cc1)ccc1C,1.57441079,0.35706276
