SMILES0,SMILES,gamma1,gamma2
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,OC(C)C(O)=O,-1.2241982,-0.24552985
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,16.79438042,2.41183784
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,OCC(O)C,-1.43785688,-0.29291723
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,O=C1CCO1,3.76565592,0.40604148
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,5.07185057,1.07478725
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCOCC,-0.97471208,0.15128193
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,OCC,-2.32180912,-0.36357162
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCCCCC=O,3.34626541,0.61396765
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CO,-3.57800681,-0.56094356
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,OC(C)C,-1.62115007,-0.21006254
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC(C)=O,-3.17754198,-0.66481971
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,OCCC,-0.69867981,-0.06659565
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,OCCCC,-0.01950093,0.10197938
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,OCCCCC,0.74497864,0.28268982
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC1OC1,-0.95964729,-0.19988983
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCC(C)(C)C,22.05920563,2.34084625
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC(C)(C)C(C)=O,0.55524547,0.16161111
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.53964758,1.06910033
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,COC(C)(C)OC,-0.76960789,-0.02645408
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCC1(CC)CCCCC1,22.1259147,2.70100825
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCOC(C)(OCC)OCC,-1.14509218,-0.16750011
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC(C)CCCC(O)(C)CC,2.34811719,0.80445253
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCC(C)C,22.1659551,2.22786816
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC(=C)C=C,17.32346186,1.60754609
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC(=C)C#C,12.81464816,1.19724854
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,OCC(C)C,0.69049475,0.20909808
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC(C)C=O,1.99128147,0.24085447
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC(=C)C=O,1.57935975,0.17390749
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCC(O)C,-0.08377493,0.09365625
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCC(C)=O,-1.80042155,-0.36482785
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,COC(C)=O,0.86363973,0.0052763
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC(C)C(C)C,22.15355842,2.36555414
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC(C)C(O)=O,-0.19765689,0.00712231
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,4.67523355,1.12688287
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,OOC(C)(C)C(CC1)CCC1C,4.09897407,0.97440703
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCOC(C(O)(C)C)=O,-0.19123445,0.12182722
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,COC(=O)C(C)=C,4.50480124,0.69137638
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,11.21675919,1.90930275
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,COc2cccc3c2C(=O)c1ccccc1C3=O,3.47955509,0.79731556
OCC2OC(C(O)C(O)C2O)OC1(CO)OC(CO)C(O)C1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,6.028502,1.57744895
