SMILES0,SMILES,gamma1,gamma2
OCC=C,OC(C)C(O)=O,-0.54200171,-0.13904547
OCC=C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.25308117,0.53686797
OCC=C,OCC(O)C,0.09878479,0.02376338
OCC=C,O=C1CCO1,1.41699954,0.30557706
OCC=C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.82512738,0.18680205
OCC=C,CCOCC,0.03475857,0.00312422
OCC=C,OCC,-0.03041847,-0.00619822
OCC=C,CCCCCC=O,0.83699515,0.17844513
OCC=C,CO,0.01460189,0.00431217
OCC=C,OC(C)C,-0.02341354,-0.00571927
OCC=C,CC(C)=O,-0.33304284,-0.08552589
OCC=C,OCCC,0.08665855,0.02262598
OCC=C,OCCCC,0.14439614,0.03587883
OCC=C,OCCCCC,0.22655506,0.05452477
OCC=C,CC1OC1,0.06909759,0.00051123
OCC=C,CCC(C)(C)C,5.14862674,0.73765726
OCC=C,CC(C)(C)C(C)=O,0.26660805,0.05483469
OCC=C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.6999244,0.16222618
OCC=C,COC(C)(C)OC,-0.03490985,-0.01285763
OCC=C,CCC1(CC)CCCCC1,5.04383722,0.75545662
OCC=C,CCOC(C)(OCC)OCC,-0.19543541,-0.02273445
OCC=C,CC(C)CCCC(O)(C)CC,0.43549585,0.09062147
OCC=C,CCC(C)C,5.21056629,0.7302908
OCC=C,CC(=C)C=C,3.80595731,0.52226573
OCC=C,CC(=C)C#C,2.38197119,0.34411533
OCC=C,OCC(C)C,0.21096378,0.05248179
OCC=C,CC(C)C=O,0.6338806,0.1216675
OCC=C,CC(=C)C=O,0.51012601,0.10039045
OCC=C,CCC(O)C,0.12810451,0.03198536
OCC=C,CCC(C)=O,-0.14101269,-0.03933124
OCC=C,COC(C)=O,0.37284792,0.07018466
OCC=C,CC(C)C(C)C,5.16536071,0.74132156
OCC=C,CC(C)C(O)=O,-0.76377979,-0.19710802
OCC=C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.88969904,0.191549
OCC=C,OOC(C)(C)C(CC1)CCC1C,0.0612243,0.00469167
OCC=C,CCOC(C(O)(C)C)=O,-0.05490979,-0.01549724
OCC=C,COC(=O)C(C)=C,0.95895401,0.19273518
OCC=C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.51874334,0.29527162
OCC=C,COc2cccc3c2C(=O)c1ccccc1C3=O,0.55633355,0.13028002
OCC=C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.81210701,0.1445454
OCC=C,CCOC(=O)c1ccccc1C(OCC)=O,1.06068031,0.2328371
OCC=C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.25103256,0.26902252
OCC=C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.47172387,0.30519943
OCC=C,CC(C)CCOC(=O)c1ccccc1O,2.2320161,0.43025788
OCC=C,Oc2ccccc2C(OCCc1ccccc1)=O,2.15647563,0.41779584
OCC=C,O=C2c1ccccc1CO2,0.89922547,0.20135526
OCC=C,OCC(O)C(O)C(O)CO,-0.07209598,-0.01708856
OCC=C,CCC(CC)C(O)=O,-0.63196735,-0.16506666
OCC=C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.18057974,0.03953881
OCC=C,COc1cc(C)ccc1C(C)(C)C,3.70898442,0.58266535
OCC=C,CC2CCC(CC1=C2CCC1C)=C(C)C,4.29718585,0.68999323
OCC=C,COC(=O)c1ccccc1C,1.46865993,0.30022733
OCC=C,CC(=O)c1ccc(C)cc1C,0.50118125,0.11459813
OCC=C,Cc2c1ccccc1ccc2,3.41489074,0.52575701
OCC=C,O=C2CCCCC2C1CCCCC1,0.76449388,0.16613254
OCC=C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.59359887,0.13629752
OCC=C,CC(C=O)c1ccccc1,1.34962977,0.27834245
OCC=C,CCC(O)c1ccccc1,0.16843785,0.04136465
OCC=C,CCOC(=O)c1ccccc1,1.36148354,0.28168035
OCC=C,CC(OC(C)c2ccccc2)c1ccccc1,1.34704558,0.31055743
OCC=C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.61080124,0.3307218
OCC=C,CCOC(=O)c(cc1)ccc1C,1.31211515,0.27520849
OCC=C,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-6.12644637,-0.43301279
OCC=C,O=C(OCCc1ccccc1)c2ccccc2,1.74592996,0.35772546
OCC=C,CCCc2cc1OCOc1cc2,2.66516299,0.45879798
OCC=C,COC(C1CCC(CC1)C(OC)=O)=O,0.57118657,0.13653835
OCC=C,CCCC1CCCCC1=O,0.44404945,0.09616624
OCC=C,CCOc1ccc(C=CC)cc1O,0.5457704,0.12726065
OCC=C,CCCC(O)C(CO)CC,-0.02622421,-0.01190101
OCC=C,Cc(ccc1C)cc1C,3.75642608,0.56590508
OCC=C,CCOC(=O)C(OCC)=O,0.95415164,0.20150693
OCC=C,CC1OC(C(C)OC1=O)=O,1.16902023,0.25642105
OCC=C,CCCCC(=O)C(C)=O,1.52988307,0.30274896
OCC=C,C=CCOC(=O)C(C)=C,1.34198966,0.27364528
OCC=C,C1OC1c2ccccc2,1.64230135,0.32533581
OCC=C,CCC(C)CC,5.18450832,0.74584241
OCC=C,CCC(CC)=O,0.14286963,0.02545878
OCC=C,OCC(CO)=O,0.41373346,0.09818132
OCC=C,COC(=O)C=C,0.93720631,0.18661545
OCC=C,COC(CO)=O,0.0246395,0.00618679
OCC=C,CC1CCCC1,5.19170957,0.73905459
OCC=C,CC1CCCO1,-0.75613776,-0.19823441
OCC=C,O=C1CCCO1,0.2191927,0.04762204
OCC=C,CCCC(C)C(O)=O,-0.64392767,-0.16788332
OCC=C,CCOC(C(C)C)=O,0.85701449,0.1783792
OCC=C,CCOC(=O)C(C)=C,0.96870923,0.19874709
OCC=C,CCOC(C(O)C)=O,-0.05903186,-0.01343531
OCC=C,CC(C)C(OC(C(C)C)=O)=O,1.51119198,0.30252639
OCC=C,CC(C)COC(C(C)C)=O,1.09533258,0.23217622
OCC=C,CC(C)COC(=O)C(C)=C,1.22833183,0.25674725
OCC=C,CCCCOC(C(C)C)=O,1.12236737,0.2375787
OCC=C,CCCCOC(=O)C(C)=C,1.16195748,0.24439832
OCC=C,CCC(CC)C=O,0.97011091,0.19934578
OCC=C,OCC1CCCO1,-0.52585047,-0.12645985
OCC=C,OCc1occc1,0.04356662,0.01042967
OCC=C,O=Cc1occc1,0.65163879,0.15124251
OCC=C,CC(C)(C)c1ccccc1,3.7671129,0.57218982
OCC=C,OOC(C)(C)c(cc1)ccc1C(C)C,0.09032414,0.01204448
OCC=C,CC(C)(C)c(cc1)ccc1C,3.88304053,0.59873651
OCC=C,OC1CCC(CC1)C(C)(C)C,0.35039095,0.07745585
OCC=C,CC(C)(C)C1CCC(CC1)=O,0.18684982,0.04145959
OCC=C,CC(C)c1ccccc1,3.73798687,0.56161417
OCC=C,COC(=O)c(ccc1)cc1C,1.37927327,0.28350177
OCC=C,OC1CC(CC=C1C)C(C)=C,0.31119026,0.07349042
OCC=C,CC(C)c1cc(C(C)C)ccc1,3.94399281,0.61552342
OCC=C,CCCC(CCC)C(O)=O,-0.4934659,-0.13611673
OCC=C,CC(C=O)c(cc1)ccc1C,1.35124439,0.28093654
OCC=C,CC1CCC(C(C)C)CC1,5.09140461,0.77105395
OCC=C,CC(C)c(cc1)ccc1C,3.84886914,0.58836892
OCC=C,C=CC1CC=CCC1,3.91819916,0.58491041
OCC=C,CCc1ccccc1,3.66759212,0.54109123
OCC=C,C=Cc1ccccc1,3.37009352,0.50213909
OCC=C,OCC1CCCCC1,0.36876963,0.08882188
OCC=C,COc1ccccc1,2.46005869,0.42299329
OCC=C,OCC1CCCCO1,-0.30393112,-0.06602071
OCC=C,OCC(CO1)OC1(C)C,-0.09072491,-0.01758852
OCC=C,Cc1cc(C=C)ccc1,3.46757679,0.52538215
OCC=C,COc(ccc1)cc1C,2.50314173,0.43809391
OCC=C,COC(=O)Cc1ccccc1,1.1911602,0.25352623
OCC=C,COC(OC)Cc1ccccc1,0.78716396,0.17716387
OCC=C,Cc2ccc(OC(=O)Cc1ccccc1)cc2,1.5810432,0.32688657
OCC=C,CC(C)COC(=O)Cc1ccccc1,1.21847821,0.26109287
OCC=C,O=C(OCc2ccccc2)Cc1ccccc1,1.38240758,0.29314023
OCC=C,CCc1cc(CC)cc(CC)c1,4.01580731,0.62879387
OCC=C,CC(=O)Oc(ccc1)cc1O,-0.9115705,-0.23938032
OCC=C,COC(OC)CC(OC)OC,0.11831605,0.03362228
OCC=C,CCCCC(CC)COC(C)=O,1.03625216,0.22139859
OCC=C,CCCCC(CC)COC(=O)C=C,1.47253165,0.30817791
OCC=C,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,1.05461001,0.2174027
OCC=C,COC(CCc1ccccc1)=O,1.2080481,0.25722487
OCC=C,CC(C)C(OCc1ccccc1)=O,1.32791016,0.27970938
