SMILES0,SMILES,gamma1,gamma2
OCC=CCO,OC(C)C(O)=O,-1.49097301,-0.38679422
OCC=CCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.44650784,1.1696713
OCC=CCO,OCC(O)C,0.03238379,0.00770125
OCC=CCO,O=C1CCO1,3.04229553,0.57271154
OCC=CCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.89683683,0.61985439
OCC=CCO,CCOCC,1.2251298,0.29125091
OCC=CCO,OCC,-0.02253021,-0.00288952
OCC=CCO,CCCCCC=O,2.69954849,0.53614979
OCC=CCO,CO,-0.27252723,-0.06099992
OCC=CCO,OC(C)C,0.22602477,0.05942381
OCC=CCO,CC(C)=O,0.39645824,0.05266508
OCC=CCO,OCCC,0.35586772,0.08843079
OCC=CCO,OCCCC,0.6067711,0.15247688
OCC=CCO,OCCCCC,0.85159904,0.21324469
OCC=CCO,CC1OC1,1.21218544,0.21027014
OCC=CCO,CCC(C)(C)C,10.50569228,1.3292384
OCC=CCO,CC(C)(C)C(C)=O,1.66935905,0.34330518
OCC=CCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.67957205,0.62191494
OCC=CCO,COC(C)(C)OC,1.13952737,0.24837084
OCC=CCO,CCC1(CC)CCCCC1,10.41443767,1.42412671
OCC=CCO,CCOC(C)(OCC)OCC,0.96059787,0.23951446
OCC=CCO,CC(C)CCCC(O)(C)CC,1.65333625,0.40420037
OCC=CCO,CCC(C)C,10.60062209,1.29697518
OCC=CCO,CC(=C)C=C,8.21383153,0.99688371
OCC=CCO,CC(=C)C#C,5.34523486,0.68451879
OCC=CCO,OCC(C)C,0.7052145,0.17431988
OCC=CCO,CC(C)C=O,2.27612812,0.40796138
OCC=CCO,CC(=C)C=O,1.99433738,0.36715839
OCC=CCO,CCC(O)C,0.64602197,0.16177379
OCC=CCO,CCC(C)=O,0.81817927,0.15195946
OCC=CCO,COC(C)=O,1.73629147,0.31290054
