SMILES0,SMILES,gamma1,gamma2
OCC=O,OC(C)C(O)=O,-0.97228245,-0.23746915
OCC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.36827863,0.51048679
OCC=O,OCC(O)C,0.77756744,0.19023868
OCC=O,O=C1CCO1,0.46035202,0.11213458
OCC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.14115027,0.19940188
OCC=O,CCOCC,1.54810771,0.38102172
OCC=O,OCC,1.13933567,0.28078417
OCC=O,CCCCCC=O,1.48183976,0.34325557
OCC=O,CO,0.80846072,0.19216563
OCC=O,OC(C)C,1.32966409,0.32762795
OCC=O,CC(C)=O,0.05847031,0.01392924
OCC=O,OCCC,1.4162081,0.34849098
OCC=O,OCCCC,1.60004396,0.39126137
OCC=O,OCCCCC,1.76951071,0.42489444
OCC=O,CC1OC1,0.65393067,0.16218353
OCC=O,CCC(C)(C)C,5.21383574,1.13749314
OCC=O,CC(C)(C)C(C)=O,1.11420764,0.25618131
OCC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.04572711,0.43223221
OCC=O,COC(C)(C)OC,1.18866124,0.27698345
OCC=O,CCC1(CC)CCCCC1,5.11716656,1.11291708
OCC=O,CCOC(C)(OCC)OCC,1.24604628,0.27195528
OCC=O,CC(C)CCCC(O)(C)CC,2.27983025,0.4959812
OCC=O,CCC(C)C,5.31351332,1.15260425
OCC=O,CC(=C)C=C,3.18090402,0.70870412
OCC=O,CC(=C)C#C,1.24402737,0.30715905
OCC=O,OCC(C)C,1.5817792,0.38681294
OCC=O,CC(C)C=O,1.08032899,0.25876718
OCC=O,CC(=C)C=O,0.84490174,0.20489915
OCC=O,CCC(O)C,1.59227369,0.38801655
OCC=O,CCC(C)=O,0.47623581,0.11294829
OCC=O,COC(C)=O,0.61241994,0.1484975
OCC=O,CC(C)C(C)C,5.24825453,1.14559573
OCC=O,CC(C)C(O)=O,-0.28358481,-0.09192475
OCC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.80068854,0.35432325
OCC=O,OOC(C)(C)C(CC1)CCC1C,0.84832504,0.14226103
OCC=O,CCOC(C(O)(C)C)=O,0.99350846,0.22243725
OCC=O,COC(=O)C(C)=C,1.38133481,0.32759714
OCC=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.53998304,0.33785103
OCC=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.80591814,0.16841856
OCC=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.42938619,0.39915019
OCC=O,CCOC(=O)c1ccccc1C(OCC)=O,1.1532959,0.24487492
OCC=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.63746121,0.31513813
OCC=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.95746903,0.34541619
OCC=O,CC(C)CCOC(=O)c1ccccc1O,2.48926025,0.54045987
OCC=O,Oc2ccccc2C(OCCc1ccccc1)=O,1.91654756,0.41830071
OCC=O,O=C2c1ccccc1CO2,0.62006557,0.14754418
OCC=O,OCC(O)C(O)C(O)CO,0.21133487,0.04805536
OCC=O,CCC(CC)C(O)=O,0.07785618,-0.01669435
OCC=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.1915177,0.23336083
OCC=O,COc1cc(C)ccc1C(C)(C)C,3.19167084,0.69953233
OCC=O,CC2CCC(CC1=C2CCC1C)=C(C)C,4.27129076,0.91260159
OCC=O,COC(=O)c1ccccc1C,1.77926053,0.41333051
OCC=O,CC(=O)c1ccc(C)cc1C,1.3601346,0.3079205
OCC=O,Cc2c1ccccc1ccc2,2.55336838,0.58004155
OCC=O,O=C2CCCCC2C1CCCCC1,1.90837167,0.4044484
OCC=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.86648448,0.17973229
OCC=O,CC(C=O)c1ccccc1,1.33570725,0.3138356
OCC=O,CCC(O)c1ccccc1,0.79576336,0.18457701
OCC=O,CCOC(=O)c1ccccc1,1.69872712,0.3920289
OCC=O,CC(OC(C)c2ccccc2)c1ccccc1,2.0770751,0.45371139
OCC=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.37344554,0.27027417
OCC=O,CCOC(=O)c(cc1)ccc1C,1.79871167,0.40531207
OCC=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-7.07178288,-0.24934637
OCC=O,O=C(OCCc1ccccc1)c2ccccc2,1.7381774,0.37898445
OCC=O,CCCc2cc1OCOc1cc2,2.14754106,0.487105
OCC=O,COC(C1CCC(CC1)C(OC)=O)=O,0.89137684,0.18409689
OCC=O,CCCC1CCCCC1=O,1.52214964,0.33147194
OCC=O,CCOc1ccc(C=CC)cc1O,0.44108265,0.08860104
OCC=O,CCCC(O)C(CO)CC,1.51663917,0.33745025
OCC=O,Cc(ccc1C)cc1C,3.19337429,0.71487522
OCC=O,CCOC(=O)C(OCC)=O,0.9168099,0.20644277
OCC=O,CC1OC(C(C)OC1=O)=O,0.24331239,0.05906615
OCC=O,CCCCC(=O)C(C)=O,1.60299059,0.3658261
OCC=O,C=CCOC(=O)C(C)=C,1.70782753,0.39533373
OCC=O,C1OC1c2ccccc2,1.45428417,0.34484589
OCC=O,CCC(C)CC,5.28697433,1.15303873
OCC=O,CCC(CC)=O,0.93457987,0.21755677
OCC=O,OCC(CO)=O,-0.08040759,-0.02161105
OCC=O,COC(=O)C=C,1.07896681,0.25990866
OCC=O,COC(CO)=O,0.11561071,0.02963985
OCC=O,CC1CCCC1,5.27832817,1.14905123
OCC=O,CC1CCCO1,0.67699672,0.16808667
OCC=O,O=C1CCCO1,0.07849344,0.01963804
OCC=O,CCCC(C)C(O)=O,0.06819595,-0.02055158
OCC=O,CCOC(C(C)C)=O,1.60522964,0.36601883
OCC=O,CCOC(=O)C(C)=C,1.65054782,0.38306862
OCC=O,CCOC(C(O)C)=O,0.77359673,0.17820426
OCC=O,CC(C)C(OC(C(C)C)=O)=O,1.66796928,0.36638591
OCC=O,CC(C)COC(C(C)C)=O,2.01584098,0.44211665
OCC=O,CC(C)COC(=O)C(C)=C,2.03847256,0.45532803
OCC=O,CCCCOC(C(C)C)=O,2.01583063,0.44096997
OCC=O,CCCCOC(=O)C(C)=C,2.0044006,0.44639689
OCC=O,CCC(CC)C=O,1.6526907,0.38096913
OCC=O,OCC1CCCO1,0.49533094,0.11494131
OCC=O,OCc1occc1,0.07724095,0.02294763
OCC=O,O=Cc1occc1,0.5035417,0.12453103
OCC=O,CC(C)(C)c1ccccc1,3.22169198,0.72021336
OCC=O,OOC(C)(C)c(cc1)ccc1C(C)C,0.42675632,0.03922777
OCC=O,CC(C)(C)c(cc1)ccc1C,3.41979936,0.75482273
OCC=O,OC1CCC(CC1)C(C)(C)C,2.03948094,0.45831312
OCC=O,CC(C)(C)C1CCC(CC1)=O,1.20739056,0.25156201
