SMILES0,SMILES,gamma1,gamma2
OCCC(C)=O,OC(C)C(O)=O,-2.73855383,-0.73528024
OCCC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.3209356,0.32186165
OCCC(C)=O,OCC(O)C,-0.04095387,-0.0040959
OCCC(C)=O,O=C1CCO1,0.9660008,0.21957916
OCCC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.74126546,0.17076
OCCC(C)=O,CCOCC,1.25757598,0.30530189
OCCC(C)=O,OCC,0.27477786,0.07267556
OCCC(C)=O,CCCCCC=O,1.07934882,0.26007587
OCCC(C)=O,CO,0.24224268,0.06220516
OCCC(C)=O,OC(C)C,0.40643509,0.10639559
OCCC(C)=O,CC(C)=O,0.22232844,0.046393
OCCC(C)=O,OCCC,0.25331997,0.07568057
OCCC(C)=O,OCCCC,0.39509322,0.11746522
OCCC(C)=O,OCCCCC,0.47609452,0.14187593
OCCC(C)=O,CC1OC1,0.57645702,0.12627604
OCCC(C)=O,CCC(C)(C)C,3.7424116,0.86493246
OCCC(C)=O,CC(C)(C)C(C)=O,0.92666424,0.22183581
OCCC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.4916789,0.36146356
OCCC(C)=O,COC(C)(C)OC,0.9556771,0.23179973
OCCC(C)=O,CCC1(CC)CCCCC1,3.67735748,0.87643359
OCCC(C)=O,CCOC(C)(OCC)OCC,1.00297093,0.2529171
OCCC(C)=O,CC(C)CCCC(O)(C)CC,1.07505924,0.27681615
OCCC(C)=O,CCC(C)C,3.82426215,0.86728607
OCCC(C)=O,CC(=C)C=C,1.95261379,0.44655487
OCCC(C)=O,CC(=C)C#C,-0.43703871,-0.06377194
OCCC(C)=O,OCC(C)C,0.14906878,0.06213659
OCCC(C)=O,CC(C)C=O,0.86139374,0.19601775
OCCC(C)=O,CC(=C)C=O,0.74753159,0.17079466
OCCC(C)=O,CCC(O)C,0.43435397,0.12129799
OCCC(C)=O,CCC(C)=O,0.45825562,0.10590966
OCCC(C)=O,COC(C)=O,0.60133613,0.13407731
OCCC(C)=O,CC(C)C(C)C,3.77831441,0.87478074
OCCC(C)=O,CC(C)C(O)=O,-2.71414916,-0.75815761
OCCC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.29814081,0.30629588
OCCC(C)=O,OOC(C)(C)C(CC1)CCC1C,-1.71499542,-0.47224647
OCCC(C)=O,CCOC(C(O)(C)C)=O,0.54157436,0.136964
OCCC(C)=O,COC(=O)C(C)=C,1.04649842,0.24686597
OCCC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.31391412,0.08260356
OCCC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.68409766,0.16388595
OCCC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.72332369,0.11688843
OCCC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.83240616,0.20168875
OCCC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.09055129,0.25416562
OCCC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.2859875,0.28358817
OCCC(C)=O,CC(C)CCOC(=O)c1ccccc1O,1.53710666,0.37473595
OCCC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,1.07593284,0.26484602
OCCC(C)=O,O=C2c1ccccc1CO2,0.64966151,0.15770192
OCCC(C)=O,OCC(O)C(O)C(O)CO,-0.41002503,-0.09902739
OCCC(C)=O,CCC(CC)C(O)=O,-2.59354911,-0.72809536
OCCC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.77452776,-0.18721756
OCCC(C)=O,COc1cc(C)ccc1C(C)(C)C,1.96436567,0.48056394
OCCC(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.95243492,0.71240864
OCCC(C)=O,COC(=O)c1ccccc1C,1.20562506,0.29451056
OCCC(C)=O,CC(=O)c1ccc(C)cc1C,1.01595664,0.24945316
OCCC(C)=O,Cc2c1ccccc1ccc2,1.4762493,0.36224262
OCCC(C)=O,O=C2CCCCC2C1CCCCC1,1.51170646,0.36369331
OCCC(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.58851726,0.14345143
OCCC(C)=O,CC(C=O)c1ccccc1,0.89992977,0.21886125
OCCC(C)=O,CCC(O)c1ccccc1,-1.11433435,-0.25598581
OCCC(C)=O,CCOC(=O)c1ccccc1,1.18787284,0.28973973
OCCC(C)=O,CC(OC(C)c2ccccc2)c1ccccc1,1.26749101,0.31156971
OCCC(C)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.79483477,0.18462381
OCCC(C)=O,CCOC(=O)c(cc1)ccc1C,1.28435817,0.31287175
OCCC(C)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-4.48311378,-0.14961525
OCCC(C)=O,O=C(OCCc1ccccc1)c2ccccc2,1.09413771,0.26686328
OCCC(C)=O,CCCc2cc1OCOc1cc2,1.00209338,0.25168007
OCCC(C)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.72030169,0.17368145
OCCC(C)=O,CCCC1CCCCC1=O,1.23712819,0.30042048
OCCC(C)=O,CCOc1ccc(C=CC)cc1O,-1.87097041,-0.4021152
OCCC(C)=O,CCCC(O)C(CO)CC,0.60369457,0.15516708
OCCC(C)=O,Cc(ccc1C)cc1C,2.02958454,0.49037722
OCCC(C)=O,CCOC(=O)C(OCC)=O,0.78123415,0.1871857
OCCC(C)=O,CC1OC(C(C)OC1=O)=O,-0.05064567,-0.00935228
OCCC(C)=O,CCCCC(=O)C(C)=O,1.07054083,0.25793847
OCCC(C)=O,C=CCOC(=O)C(C)=C,1.20856027,0.29246363
OCCC(C)=O,C1OC1c2ccccc2,0.95584289,0.22982877
OCCC(C)=O,CCC(C)CC,3.81698761,0.88568607
OCCC(C)=O,CCC(CC)=O,0.7748612,0.18396882
OCCC(C)=O,OCC(CO)=O,-0.44979102,-0.11635739
OCCC(C)=O,COC(=O)C=C,0.84147607,0.19427903
OCCC(C)=O,COC(CO)=O,-0.31801083,-0.07415692
OCCC(C)=O,CC1CCCC1,3.79017289,0.86729775
OCCC(C)=O,CC1CCCO1,0.56061693,0.14744369
OCCC(C)=O,O=C1CCCO1,0.45249985,0.10361083
OCCC(C)=O,CCCC(C)C(O)=O,-2.61888416,-0.73824544
OCCC(C)=O,CCOC(C(C)C)=O,1.25356969,0.29999856
OCCC(C)=O,CCOC(=O)C(C)=C,1.25830434,0.30133133
OCCC(C)=O,CCOC(C(O)C)=O,0.28122546,0.07466582
OCCC(C)=O,CC(C)C(OC(C(C)C)=O)=O,1.2176802,0.2925224
OCCC(C)=O,CC(C)COC(C(C)C)=O,1.58250424,0.38046628
OCCC(C)=O,CC(C)COC(=O)C(C)=C,1.54657997,0.37361489
OCCC(C)=O,CCCCOC(C(C)C)=O,1.56651869,0.37692357
OCCC(C)=O,CCCCOC(=O)C(C)=C,1.52392181,0.36839884
OCCC(C)=O,CCC(CC)C=O,1.28536617,0.30522048
OCCC(C)=O,OCC1CCCO1,0.24210373,0.06082971
OCCC(C)=O,OCc1occc1,-1.2039527,-0.28654413
OCCC(C)=O,O=Cc1occc1,0.45095841,0.10961757
OCCC(C)=O,CC(C)(C)c1ccccc1,2.00044635,0.48709771
OCCC(C)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-1.87464316,-0.51888557
OCCC(C)=O,CC(C)(C)c(cc1)ccc1C,2.18661857,0.53247061
OCCC(C)=O,OC1CCC(CC1)C(C)(C)C,0.76541385,0.20628761
OCCC(C)=O,CC(C)(C)C1CCC(CC1)=O,0.99634275,0.24131996
