SMILES0,SMILES,gamma1,gamma2
OCCC(O)(C)C,OC(C)C(O)=O,-1.94899987,-0.53400036
OCCC(O)(C)C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.72675922,0.6701859
OCCC(O)(C)C,OCC(O)C,-0.06002386,-0.01355796
OCCC(O)(C)C,O=C1CCO1,3.35870209,0.65714409
OCCC(O)(C)C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.07122815,0.41322614
OCCC(O)(C)C,CCOCC,1.23822907,0.23198912
OCCC(O)(C)C,OCC,-0.13195558,-0.03205446
OCCC(O)(C)C,CCCCCC=O,2.01940334,0.35581128
OCCC(O)(C)C,CO,0.04392631,0.01052641
OCCC(O)(C)C,OC(C)C,-0.07128742,-0.01778228
OCCC(O)(C)C,CC(C)=O,1.05108104,0.19048345
OCCC(O)(C)C,OCCC,-0.19281969,-0.04833689
OCCC(O)(C)C,OCCCC,-0.09550641,-0.02295101
OCCC(O)(C)C,OCCCCC,-0.02853264,-0.00530104
OCCC(O)(C)C,CC1OC1,1.36208044,0.22218151
OCCC(O)(C)C,CCC(C)(C)C,6.59385706,0.74188602
OCCC(O)(C)C,CC(C)(C)C(C)=O,1.50863514,0.27599808
OCCC(O)(C)C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.92704524,0.40256608
OCCC(O)(C)C,COC(C)(C)OC,1.19184319,0.22679488
OCCC(O)(C)C,CCC1(CC)CCCCC1,6.5368588,0.80264613
OCCC(O)(C)C,CCOC(C)(OCC)OCC,1.05567228,0.23867163
OCCC(O)(C)C,CC(C)CCCC(O)(C)CC,0.5594357,0.13859113
OCCC(O)(C)C,CCC(C)C,6.66984028,0.72523692
OCCC(O)(C)C,CC(=C)C=C,5.10436155,0.53138404
OCCC(O)(C)C,CC(=C)C#C,2.74909508,0.24372888
OCCC(O)(C)C,OCC(C)C,-0.21950035,-0.05448562
OCCC(O)(C)C,CC(C)C=O,1.88697124,0.30504625
OCCC(O)(C)C,CC(=C)C=O,1.92862853,0.3408806
OCCC(O)(C)C,CCC(O)C,-0.01654291,-0.00518289
OCCC(O)(C)C,CCC(C)=O,1.15046288,0.20782166
OCCC(O)(C)C,COC(C)=O,1.80087803,0.3173631
OCCC(O)(C)C,CC(C)C(C)C,6.63101475,0.75026582
OCCC(O)(C)C,CC(C)C(O)=O,-2.59174669,-0.69932189
OCCC(O)(C)C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.14679227,0.42896428
OCCC(O)(C)C,OOC(C)(C)C(CC1)CCC1C,-1.4266281,-0.371642
OCCC(O)(C)C,CCOC(C(O)(C)C)=O,0.84835136,0.18567191
OCCC(O)(C)C,COC(=O)C(C)=C,2.34160401,0.40172136
OCCC(O)(C)C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.5823558,0.41760834
OCCC(O)(C)C,COc2cccc3c2C(=O)c1ccccc1C3=O,2.20377229,0.47246482
OCCC(O)(C)C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.67533588,0.14511927
OCCC(O)(C)C,CCOC(=O)c1ccccc1C(OCC)=O,2.51458308,0.48179269
OCCC(O)(C)C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.57878314,0.49014295
OCCC(O)(C)C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.7558372,0.52141365
OCCC(O)(C)C,CC(C)CCOC(=O)c1ccccc1O,3.52478729,0.57504228
OCCC(O)(C)C,Oc2ccccc2C(OCCc1ccccc1)=O,3.5407456,0.59261482
OCCC(O)(C)C,O=C2c1ccccc1CO2,2.55388402,0.52768979
OCCC(O)(C)C,OCC(O)C(O)C(O)CO,0.05672221,0.01891671
OCCC(O)(C)C,CCC(CC)C(O)=O,-2.55576176,-0.68804381
OCCC(O)(C)C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.47913567,-0.11886424
OCCC(O)(C)C,COc1cc(C)ccc1C(C)(C)C,5.03585498,0.64515869
OCCC(O)(C)C,CC2CCC(CC1=C2CCC1C)=C(C)C,5.71097331,0.76887579
OCCC(O)(C)C,COC(=O)c1ccccc1C,2.87860875,0.50349921
OCCC(O)(C)C,CC(=O)c1ccc(C)cc1C,1.87264298,0.37929605
OCCC(O)(C)C,Cc2c1ccccc1ccc2,4.82399067,0.61114982
OCCC(O)(C)C,O=C2CCCCC2C1CCCCC1,1.98615347,0.38868572
OCCC(O)(C)C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.07928618,0.43822731
OCCC(O)(C)C,CC(C=O)c1ccccc1,2.73202483,0.48402903
OCCC(O)(C)C,CCC(O)c1ccccc1,-0.48097872,-0.1242319
OCCC(O)(C)C,CCOC(=O)c1ccccc1,2.78727473,0.49641438
OCCC(O)(C)C,CC(OC(C)c2ccccc2)c1ccccc1,2.6362783,0.52099107
OCCC(O)(C)C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.12187186,0.58329144
OCCC(O)(C)C,CCOC(=O)c(cc1)ccc1C,2.71707422,0.49138809
