SMILES0,SMILES,gamma1,gamma2
OCCC(O)=O,OC(C)C(O)=O,-0.34291953,-0.08304942
OCCC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.45185222,1.06619532
OCCC(O)=O,OCC(O)C,-0.11297198,-0.03070354
OCCC(O)=O,O=C1CCO1,1.77171353,0.31999888
OCCC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.33146501,0.46257996
OCCC(O)=O,CCOCC,0.32819586,0.10712512
OCCC(O)=O,OCC,-0.28187139,-0.06015271
OCCC(O)=O,CCCCCC=O,2.02659707,0.42094646
OCCC(O)=O,CO,-0.65329224,-0.15504775
OCCC(O)=O,OC(C)C,-0.08109165,-0.01060745
OCCC(O)=O,CC(C)=O,-0.69970039,-0.19379331
OCCC(O)=O,OCCC,0.28886593,0.08276081
OCCC(O)=O,OCCCC,0.49587402,0.13230609
OCCC(O)=O,OCCCCC,0.74042878,0.18760975
OCCC(O)=O,CC1OC1,0.28951617,0.05053485
OCCC(O)=O,CCC(C)(C)C,10.89793601,1.39294478
OCCC(O)=O,CC(C)(C)C(C)=O,0.87394059,0.17509615
OCCC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.74358055,0.39259169
OCCC(O)=O,COC(C)(C)OC,0.27647374,0.04026779
OCCC(O)=O,CCC1(CC)CCCCC1,10.80708724,1.42925515
OCCC(O)=O,CCOC(C)(OCC)OCC,-0.11424825,-0.06698192
OCCC(O)=O,CC(C)CCCC(O)(C)CC,1.19562412,0.25141182
OCCC(O)=O,CCC(C)C,11.00757899,1.38350358
OCCC(O)=O,CC(=C)C=C,8.3150427,1.01553223
OCCC(O)=O,CC(=C)C#C,5.66265619,0.67630679
OCCC(O)=O,OCC(C)C,0.73712613,0.19364278
OCCC(O)=O,CC(C)C=O,1.55800578,0.30135981
OCCC(O)=O,CC(=C)C=O,1.16005418,0.22599916
OCCC(O)=O,CCC(O)C,0.46268269,0.12454125
OCCC(O)=O,CCC(C)=O,-0.12505616,-0.05727041
OCCC(O)=O,COC(C)=O,0.90207885,0.1625769
OCCC(O)=O,CC(C)C(C)C,10.94182342,1.40145338
OCCC(O)=O,CC(C)C(O)=O,0.41465358,0.11063924
OCCC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.24406681,0.44005499
OCCC(O)=O,OOC(C)(C)C(CC1)CCC1C,1.94913502,0.45294329
OCCC(O)=O,CCOC(C(O)(C)C)=O,0.22711802,0.0366161
OCCC(O)=O,COC(=O)C(C)=C,2.37682785,0.46814644
OCCC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.56439319,0.84169844
OCCC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.22539036,0.26959739
OCCC(O)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.31991225,0.40068149
OCCC(O)=O,CCOC(=O)c1ccccc1C(OCC)=O,2.61174254,0.53420616
OCCC(O)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.19028996,0.62709923
OCCC(O)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.70977159,0.69602556
OCCC(O)=O,CC(C)CCOC(=O)c1ccccc1O,5.1783851,0.94879831
OCCC(O)=O,Oc2ccccc2C(OCCc1ccccc1)=O,4.87943914,0.89708631
OCCC(O)=O,O=C2c1ccccc1CO2,1.45522225,0.31023023
OCCC(O)=O,OCC(O)C(O)C(O)CO,-0.3111572,-0.08117826
OCCC(O)=O,CCC(CC)C(O)=O,0.87408815,0.21885064
OCCC(O)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.25330575,0.27418532
OCCC(O)=O,COc1cc(C)ccc1C(C)(C)C,8.34889323,1.14822241
OCCC(O)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,9.28030138,1.32662987
OCCC(O)=O,COC(=O)c1ccccc1C,3.36147603,0.67216017
OCCC(O)=O,CC(=O)c1ccc(C)cc1C,1.26852682,0.28775608
OCCC(O)=O,Cc2c1ccccc1ccc2,7.60261243,1.02331257
OCCC(O)=O,O=C2CCCCC2C1CCCCC1,1.94094757,0.3985795
OCCC(O)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.33285794,0.28353623
OCCC(O)=O,CC(C=O)c1ccccc1,2.83034794,0.56972014
OCCC(O)=O,CCC(O)c1ccccc1,1.15626846,0.29518782
OCCC(O)=O,CCOC(=O)c1ccccc1,3.17713644,0.63644271
OCCC(O)=O,CC(OC(C)c2ccccc2)c1ccccc1,2.53537671,0.63241153
OCCC(O)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.76264492,0.73121851
OCCC(O)=O,CCOC(=O)c(cc1)ccc1C,3.13945,0.63210178
OCCC(O)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-16.67212113,-0.83872697
OCCC(O)=O,O=C(OCCc1ccccc1)c2ccccc2,3.91343323,0.76633987
OCCC(O)=O,CCCc2cc1OCOc1cc2,6.05509858,0.95146506
OCCC(O)=O,COC(C1CCC(CC1)C(OC)=O)=O,1.66319393,0.33940959
