SMILES0,SMILES,gamma1,gamma2
OCCC(O)C,OC(C)C(O)=O,-1.77924982,-0.48396087
OCCC(O)C,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,5.5963828,0.7576669
OCCC(O)C,OCC(O)C,-0.04280775,-0.01086698
OCCC(O)C,O=C1CCO1,3.42767725,0.64148289
OCCC(O)C,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.43672673,0.47504509
OCCC(O)C,CCOCC,1.44292377,0.27484431
OCCC(O)C,OCC,-0.06379557,-0.01638913
OCCC(O)C,CCCCCC=O,2.37919285,0.41738154
OCCC(O)C,CO,0.0066448,0.00177111
OCCC(O)C,OC(C)C,0.04578318,0.01031335
OCCC(O)C,CC(C)=O,1.15047798,0.20214351
OCCC(O)C,OCCC,-0.02811819,-0.00871936
OCCC(O)C,OCCCC,0.09844286,0.02391759
OCCC(O)C,OCCCCC,0.19642847,0.04912123
OCCC(O)C,CC1OC1,1.57194235,0.25544554
OCCC(O)C,CCC(C)(C)C,7.77521408,0.85202039
OCCC(O)C,CC(C)(C)C(C)=O,1.76128818,0.32160263
OCCC(O)C,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.21735149,0.46064603
OCCC(O)C,COC(C)(C)OC,1.38044662,0.26310736
OCCC(O)C,CCC1(CC)CCCCC1,7.70123542,0.91351516
OCCC(O)C,CCOC(C)(OCC)OCC,1.19748786,0.26988426
OCCC(O)C,CC(C)CCCC(O)(C)CC,0.817192,0.1984106
OCCC(O)C,CCC(C)C,7.86582871,0.83585904
OCCC(O)C,CC(=C)C=C,6.09528327,0.62261856
OCCC(O)C,CC(=C)C#C,3.62919126,0.34206632
OCCC(O)C,OCC(C)C,0.02457874,0.00436845
OCCC(O)C,CC(C)C=O,2.20934989,0.35576218
OCCC(O)C,CC(=C)C=O,2.16495413,0.37410441
OCCC(O)C,CCC(O)C,0.18039469,0.04255466
OCCC(O)C,CCC(C)=O,1.31340663,0.23461379
OCCC(O)C,COC(C)=O,2.01638964,0.34611766
OCCC(O)C,CC(C)C(C)C,7.81463259,0.86055603
OCCC(O)C,CC(C)C(O)=O,-2.17180888,-0.58488043
OCCC(O)C,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.49304877,0.49034639
OCCC(O)C,OOC(C)(C)C(CC1)CCC1C,-0.85293196,-0.22926122
OCCC(O)C,CCOC(C(O)(C)C)=O,1.0243316,0.22270246
OCCC(O)C,COC(=O)C(C)=C,2.69901664,0.45423095
OCCC(O)C,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.24477195,0.51741391
OCCC(O)C,COc2cccc3c2C(=O)c1ccccc1C3=O,2.34956707,0.4892889
OCCC(O)C,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.09223547,0.23255248
OCCC(O)C,CCOC(=O)c1ccccc1C(OCC)=O,2.86980773,0.534366
OCCC(O)C,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.02467145,0.56191898
OCCC(O)C,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.26189214,0.6018418
OCCC(O)C,CC(C)CCOC(=O)c1ccccc1O,4.16415317,0.66574978
OCCC(O)C,Oc2ccccc2C(OCCc1ccccc1)=O,4.12957831,0.67037483
OCCC(O)C,O=C2c1ccccc1CO2,2.68667935,0.53365799
OCCC(O)C,OCC(O)C(O)C(O)CO,0.03867753,0.01124467
OCCC(O)C,CCC(CC)C(O)=O,-2.0622191,-0.55587404
OCCC(O)C,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.0967811,-0.02877786
OCCC(O)C,COc1cc(C)ccc1C(C)(C)C,6.02237978,0.74857529
OCCC(O)C,CC2CCC(CC1=C2CCC1C)=C(C)C,6.74420393,0.87844907
OCCC(O)C,COC(=O)c1ccccc1C,3.30846085,0.56527333
OCCC(O)C,CC(=O)c1ccc(C)cc1C,2.10722735,0.42076047
OCCC(O)C,Cc2c1ccccc1ccc2,5.71759552,0.69567397
OCCC(O)C,O=C2CCCCC2C1CCCCC1,2.3181443,0.45034041
OCCC(O)C,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.26825711,0.46586342
OCCC(O)C,CC(C=O)c1ccccc1,3.10324694,0.53440573
OCCC(O)C,CCC(O)c1ccccc1,-0.1026762,-0.03404364
OCCC(O)C,CCOC(=O)c1ccccc1,3.19834557,0.55584817
OCCC(O)C,CC(OC(C)c2ccccc2)c1ccccc1,2.97216268,0.58594715
OCCC(O)C,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.56539345,0.64264523
OCCC(O)C,CCOC(=O)c(cc1)ccc1C,3.13200098,0.55462951
OCCC(O)C,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-6.25532998,-0.16845322
OCCC(O)C,O=C(OCCc1ccccc1)c2ccccc2,3.66448134,0.63695973
OCCC(O)C,CCCc2cc1OCOc1cc2,4.54873077,0.61642705
OCCC(O)C,COC(C1CCC(CC1)C(OC)=O)=O,2.21990859,0.42706924
OCCC(O)C,CCCC1CCCCC1=O,1.96311874,0.37954364
OCCC(O)C,CCOc1ccc(C=CC)cc1O,0.30127663,0.04850032
OCCC(O)C,CCCC(O)C(CO)CC,0.22103984,0.05361733
OCCC(O)C,Cc(ccc1C)cc1C,6.09975935,0.7140031
OCCC(O)C,CCOC(=O)C(OCC)=O,2.77991894,0.49991799
OCCC(O)C,CC1OC(C(C)OC1=O)=O,2.46660305,0.49254954
OCCC(O)C,CCCCC(=O)C(C)=O,3.29478911,0.53082782
