SMILES0,SMILES,gamma1,gamma2
OCCC(O)CO,OC(C)C(O)=O,-1.82434121,-0.47967893
OCCC(O)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,7.10050017,1.0387851
OCCC(O)CO,OCC(O)C,-0.01097206,-0.00271893
OCCC(O)CO,O=C1CCO1,3.1327931,0.57091855
OCCC(O)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.8547715,0.59265295
OCCC(O)CO,CCOCC,1.49909151,0.33700004
OCCC(O)CO,OCC,0.03428207,0.00793497
OCCC(O)CO,CCCCCC=O,2.68536232,0.51667138
OCCC(O)CO,CO,-0.14547754,-0.03259899
OCCC(O)CO,OC(C)C,0.26301281,0.0644429
OCCC(O)CO,CC(C)=O,0.71417324,0.11889816
OCCC(O)CO,OCCC,0.29625327,0.07257882
OCCC(O)CO,OCCCC,0.52560214,0.13162447
OCCC(O)CO,OCCCCC,0.72782327,0.18318785
OCCC(O)CO,CC1OC1,1.42708116,0.24887548
OCCC(O)CO,CCC(C)(C)C,10.02915672,1.21294726
OCCC(O)CO,CC(C)(C)C(C)=O,1.82879593,0.36859238
OCCC(O)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.69188524,0.61254808
OCCC(O)CO,COC(C)(C)OC,1.38309139,0.29567136
OCCC(O)CO,CCC1(CC)CCCCC1,9.9545756,1.30060542
OCCC(O)CO,CCOC(C)(OCC)OCC,1.21845799,0.29470408
OCCC(O)CO,CC(C)CCCC(O)(C)CC,1.54195845,0.37790944
OCCC(O)CO,CCC(C)C,10.13855671,1.18849312
OCCC(O)CO,CC(=C)C=C,7.75827608,0.87793095
OCCC(O)CO,CC(=C)C#C,4.8298174,0.5254412
OCCC(O)CO,OCC(C)C,0.52169783,0.13036602
OCCC(O)CO,CC(C)C=O,2.33044285,0.40560807
OCCC(O)CO,CC(=C)C=O,2.17951728,0.39774422
OCCC(O)CO,CCC(O)C,0.58780769,0.14540745
OCCC(O)CO,CCC(C)=O,1.07268621,0.20208536
OCCC(O)CO,COC(C)=O,1.92428558,0.34348561
OCCC(O)CO,CC(C)C(C)C,10.07890087,1.22417647
OCCC(O)CO,CC(C)C(O)=O,-1.75839883,-0.4478197
OCCC(O)CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.01340264,0.63916484
OCCC(O)CO,OOC(C)(C)C(CC1)CCC1C,0.04376731,0.01905868
OCCC(O)CO,CCOC(C(O)(C)C)=O,1.15476892,0.27107882
OCCC(O)CO,COC(=O)C(C)=C,3.05088457,0.55535177
OCCC(O)CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.33992747,0.7556793
OCCC(O)CO,COc2cccc3c2C(=O)c1ccccc1C3=O,2.46725795,0.54168566
OCCC(O)CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.24201795,0.48313097
OCCC(O)CO,CCOC(=O)c1ccccc1C(OCC)=O,3.28155547,0.65443373
OCCC(O)CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.67717733,0.73488751
OCCC(O)CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,4.07628277,0.80429282
OCCC(O)CO,CC(C)CCOC(=O)c1ccccc1O,5.30760391,0.92947024
OCCC(O)CO,Oc2ccccc2C(OCCc1ccccc1)=O,5.15398095,0.90546377
OCCC(O)CO,O=C2c1ccccc1CO2,2.66202896,0.54468119
OCCC(O)CO,OCC(O)C(O)C(O)CO,-0.00597142,-0.00036781
OCCC(O)CO,CCC(CC)C(O)=O,-1.43888348,-0.36321412
OCCC(O)CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.73466875,0.17445677
OCCC(O)CO,COc1cc(C)ccc1C(C)(C)C,7.73616154,1.06133579
OCCC(O)CO,CC2CCC(CC1=C2CCC1C)=C(C)C,8.72304002,1.25303945
OCCC(O)CO,COC(=O)c1ccccc1C,3.95647145,0.73355267
