SMILES0,SMILES,gamma1,gamma2
OCCC(OC)=O,OC(C)C(O)=O,-1.51958615,-0.40349193
OCCC(OC)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.40949059,0.33347024
OCCC(OC)=O,OCC(O)C,0.39895907,0.0998873
OCCC(OC)=O,O=C1CCO1,0.96244288,0.20793089
OCCC(OC)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.76323483,0.17274742
OCCC(OC)=O,CCOCC,0.86922574,0.21656577
OCCC(OC)=O,OCC,0.52400205,0.12432014
OCCC(OC)=O,CCCCCC=O,0.9502527,0.22227196
OCCC(OC)=O,CO,0.49857777,0.11550881
OCCC(OC)=O,OC(C)C,0.59086649,0.1429915
OCCC(OC)=O,CC(C)=O,-0.19339988,-0.05282679
OCCC(OC)=O,OCCC,0.58183558,0.14509417
OCCC(OC)=O,OCCCC,0.69631992,0.17954819
OCCC(OC)=O,OCCCCC,0.78956023,0.2066312
OCCC(OC)=O,CC1OC1,0.24070247,0.04702302
OCCC(OC)=O,CCC(C)(C)C,3.75434368,0.85211097
OCCC(OC)=O,CC(C)(C)C(C)=O,0.65644114,0.15411917
OCCC(OC)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.35058764,0.32364801
OCCC(OC)=O,COC(C)(C)OC,0.62023747,0.15014414
OCCC(OC)=O,CCC1(CC)CCCCC1,3.70219361,0.86761161
OCCC(OC)=O,CCOC(C)(OCC)OCC,0.64580097,0.16585771
OCCC(OC)=O,CC(C)CCCC(O)(C)CC,1.23975008,0.30680249
OCCC(OC)=O,CCC(C)C,3.82378388,0.85168619
OCCC(OC)=O,CC(=C)C=C,1.97765033,0.43009412
OCCC(OC)=O,CC(=C)C#C,-0.12101334,-0.007421
OCCC(OC)=O,OCC(C)C,0.5451844,0.14649916
OCCC(OC)=O,CC(C)C=O,0.66865287,0.14369098
OCCC(OC)=O,CC(=C)C=O,0.54851172,0.11791219
OCCC(OC)=O,CCC(O)C,0.68119895,0.17177118
OCCC(OC)=O,CCC(C)=O,0.10738096,0.02066551
OCCC(OC)=O,COC(C)=O,0.40653978,0.08285533
OCCC(OC)=O,CC(C)C(C)C,3.78705144,0.86149974
OCCC(OC)=O,CC(C)C(O)=O,-1.63128608,-0.44692235
OCCC(OC)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.1824257,0.273446
OCCC(OC)=O,OOC(C)(C)C(CC1)CCC1C,-0.86972014,-0.24306048
OCCC(OC)=O,CCOC(C(O)(C)C)=O,0.42603207,0.10501148
OCCC(OC)=O,COC(=O)C(C)=C,0.97012728,0.21946179
OCCC(OC)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.70384951,0.16753464
OCCC(OC)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,0.62297294,0.14722148
OCCC(OC)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.07493854,0.20144174
OCCC(OC)=O,CCOC(=O)c1ccccc1C(OCC)=O,0.83602721,0.19715677
OCCC(OC)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.09570757,0.25134408
OCCC(OC)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.30457139,0.28506855
OCCC(OC)=O,CC(C)CCOC(=O)c1ccccc1O,1.64770284,0.39000502
OCCC(OC)=O,Oc2ccccc2C(OCCc1ccccc1)=O,1.22080218,0.29035291
OCCC(OC)=O,O=C2c1ccccc1CO2,0.64314583,0.15031647
OCCC(OC)=O,OCC(O)C(O)C(O)CO,0.03203796,0.00687617
OCCC(OC)=O,CCC(CC)C(O)=O,-1.52929052,-0.42340194
OCCC(OC)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.21706973,-0.05093963
OCCC(OC)=O,COc1cc(C)ccc1C(C)(C)C,2.01626122,0.47839843
OCCC(OC)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,2.99212672,0.70878117
OCCC(OC)=O,COC(=O)c1ccccc1C,1.21671511,0.28678477
OCCC(OC)=O,CC(=O)c1ccc(C)cc1C,0.82528712,0.19959587
OCCC(OC)=O,Cc2c1ccccc1ccc2,1.54246466,0.36071506
OCCC(OC)=O,O=C2CCCCC2C1CCCCC1,1.33194742,0.31518416
OCCC(OC)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.5370848,0.12834091
OCCC(OC)=O,CC(C=O)c1ccccc1,0.89919528,0.20836379
OCCC(OC)=O,CCC(O)c1ccccc1,-0.55767823,-0.12080072
OCCC(OC)=O,CCOC(=O)c1ccccc1,1.17984194,0.27822837
OCCC(OC)=O,CC(OC(C)c2ccccc2)c1ccccc1,1.23020403,0.29676286
OCCC(OC)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.93717086,0.21353946
OCCC(OC)=O,CCOC(=O)c(cc1)ccc1C,1.24672739,0.29527783
OCCC(OC)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-5.393625,-0.26609027
OCCC(OC)=O,O=C(OCCc1ccccc1)c2ccccc2,1.15403362,0.2739588
OCCC(OC)=O,CCCc2cc1OCOc1cc2,1.17951553,0.27992214
OCCC(OC)=O,COC(C1CCC(CC1)C(OC)=O)=O,0.64382221,0.15097951
OCCC(OC)=O,CCCC1CCCCC1=O,0.99481771,0.23788439
OCCC(OC)=O,CCOc1ccc(C=CC)cc1O,-1.18467974,-0.24792326
OCCC(OC)=O,CCCC(O)C(CO)CC,0.75057051,0.18502611
OCCC(OC)=O,Cc(ccc1C)cc1C,2.05303261,0.4778169
OCCC(OC)=O,CCOC(=O)C(OCC)=O,0.77145838,0.17624391
OCCC(OC)=O,CC1OC(C(C)OC1=O)=O,0.32236996,0.07545538
OCCC(OC)=O,CCCCC(=O)C(C)=O,1.12403145,0.25884997
OCCC(OC)=O,C=CCOC(=O)C(C)=C,1.19105028,0.27768744
OCCC(OC)=O,C1OC1c2ccccc2,0.98215326,0.22297758
OCCC(OC)=O,CCC(C)CC,3.82242676,0.87166774
OCCC(OC)=O,CCC(CC)=O,0.48414333,0.111533
OCCC(OC)=O,OCC(CO)=O,0.16530774,0.0358652
OCCC(OC)=O,COC(=O)C=C,0.796412,0.17382624
OCCC(OC)=O,COC(CO)=O,-0.01536025,-0.00350902
OCCC(OC)=O,CC1CCCC1,3.80305736,0.85480329
OCCC(OC)=O,CC1CCCO1,0.03845752,0.02294061
OCCC(OC)=O,O=C1CCCO1,0.16777791,0.03232814
OCCC(OC)=O,CCCC(C)C(O)=O,-1.55122992,-0.43117942
OCCC(OC)=O,CCOC(C(C)C)=O,1.12309693,0.26155426
OCCC(OC)=O,CCOC(=O)C(C)=C,1.15160377,0.26739173
OCCC(OC)=O,CCOC(C(O)C)=O,0.26350588,0.06585693
OCCC(OC)=O,CC(C)C(OC(C(C)C)=O)=O,1.22169272,0.28274611
OCCC(OC)=O,CC(C)COC(C(C)C)=O,1.46272173,0.34461693
OCCC(OC)=O,CC(C)COC(=O)C(C)=C,1.45450152,0.34316756
