SMILES0,SMILES,gamma1,gamma2
OCCCC(C)=O,OC(C)C(O)=O,-3.42304271,-0.97302908
OCCCC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.94247949,0.40716605
OCCCC(C)=O,OCC(O)C,-0.25013697,-0.05682544
OCCCC(C)=O,O=C1CCO1,1.53544654,0.31009255
OCCCC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.09218963,0.23804564
OCCCC(C)=O,CCOCC,1.26389798,0.28720327
OCCCC(C)=O,OCC,0.03647014,0.01590998
OCCCC(C)=O,CCCCCC=O,1.36702676,0.28136684
OCCCC(C)=O,CO,0.0660223,0.02354137
OCCCC(C)=O,OC(C)C,0.17326203,0.04786691
OCCCC(C)=O,CC(C)=O,0.35228635,0.06258113
OCCCC(C)=O,OCCC,-0.03086683,0.00518816
OCCCC(C)=O,OCCCC,0.12104491,0.04880474
OCCCC(C)=O,OCCCCC,0.20149885,0.07410894
OCCCC(C)=O,CC1OC1,0.72278996,0.12985863
OCCCC(C)=O,CCC(C)(C)C,4.48433476,0.87337865
OCCCC(C)=O,CC(C)(C)C(C)=O,1.0934763,0.23204343
OCCCC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.71097069,0.39420727
OCCCC(C)=O,COC(C)(C)OC,1.00703825,0.22578843
OCCCC(C)=O,CCC1(CC)CCCCC1,4.43581026,0.91529091
OCCCC(C)=O,CCOC(C)(OCC)OCC,1.03470416,0.25524015
OCCCC(C)=O,CC(C)CCCC(O)(C)CC,0.91750535,0.24417465
OCCCC(C)=O,CCC(C)C,4.56717087,0.86594424
OCCCC(C)=O,CC(=C)C=C,2.54438604,0.45293446
OCCCC(C)=O,CC(=C)C#C,-0.24689394,-0.06078066
OCCCC(C)=O,OCC(C)C,-0.1619396,-0.01435357
OCCCC(C)=O,CC(C)C=O,1.12779608,0.20899557
OCCCC(C)=O,CC(=C)C=O,1.02164354,0.19542871
OCCCC(C)=O,CCC(O)C,0.18748151,0.05838308
OCCCC(C)=O,CCC(C)=O,0.58320036,0.11581885
OCCCC(C)=O,COC(C)=O,0.8468873,0.15603969
OCCCC(C)=O,CC(C)C(C)C,4.52542812,0.88437953
OCCCC(C)=O,CC(C)C(O)=O,-3.59383547,-1.04162618
OCCCC(C)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.61556071,0.35896544
OCCCC(C)=O,OOC(C)(C)C(CC1)CCC1C,-2.39735166,-0.63937116
OCCCC(C)=O,CCOC(C(O)(C)C)=O,0.55343081,0.13216965
OCCCC(C)=O,COC(=O)C(C)=C,1.37864542,0.27095555
OCCCC(C)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.57889576,0.11024069
OCCCC(C)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.0563143,0.2369834
OCCCC(C)=O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.52531048,0.10149487
OCCCC(C)=O,CCOC(=O)c1ccccc1C(OCC)=O,1.2598495,0.26898143
OCCCC(C)=O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.52337544,0.32825358
OCCCC(C)=O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.74791192,0.37195442
OCCCC(C)=O,CC(C)CCOC(=O)c1ccccc1O,2.02540695,0.42993961
OCCCC(C)=O,Oc2ccccc2C(OCCc1ccccc1)=O,1.58368227,0.33573956
OCCCC(C)=O,O=C2c1ccccc1CO2,1.07735612,0.23185867
OCCCC(C)=O,OCC(O)C(O)C(O)CO,-0.56273068,-0.13895385
OCCCC(C)=O,CCC(CC)C(O)=O,-3.49913966,-1.01647003
OCCCC(C)=O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.17023553,-0.27387878
OCCCC(C)=O,COc1cc(C)ccc1C(C)(C)C,2.59905825,0.53756815
OCCCC(C)=O,CC2CCC(CC1=C2CCC1C)=C(C)C,3.65787294,0.78009353
OCCCC(C)=O,COC(=O)c1ccccc1C,1.63866617,0.33842343
OCCCC(C)=O,CC(=O)c1ccc(C)cc1C,1.26436751,0.28212757
OCCCC(C)=O,Cc2c1ccccc1ccc2,2.08352959,0.41206536
OCCCC(C)=O,O=C2CCCCC2C1CCCCC1,1.75505887,0.39295575
OCCCC(C)=O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.93784889,0.20913399
OCCCC(C)=O,CC(C=O)c1ccccc1,1.3379108,0.26893568
OCCCC(C)=O,CCC(O)c1ccccc1,-1.50924647,-0.3412315
OCCCC(C)=O,CCOC(=O)c1ccccc1,1.61067076,0.33509633
OCCCC(C)=O,CC(OC(C)c2ccccc2)c1ccccc1,1.67337408,0.37186972
OCCCC(C)=O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.29786088,0.27701884
OCCCC(C)=O,CCOC(=O)c(cc1)ccc1C,1.69737321,0.35936529
OCCCC(C)=O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-4.3291444,-0.14216559
OCCCC(C)=O,O=C(OCCc1ccccc1)c2ccccc2,1.59615091,0.33991534
OCCCC(C)=O,CCCc2cc1OCOc1cc2,1.4865721,0.29493662
OCCCC(C)=O,COC(C1CCC(CC1)C(OC)=O)=O,1.0270448,0.22015466
OCCCC(C)=O,CCCC1CCCCC1=O,1.42210577,0.31861904
OCCCC(C)=O,CCOc1ccc(C=CC)cc1O,-2.38845815,-0.47410551
OCCCC(C)=O,CCCC(O)C(CO)CC,0.39637619,0.10501008
OCCCC(C)=O,Cc(ccc1C)cc1C,2.66132938,0.52670425
OCCCC(C)=O,CCOC(=O)C(OCC)=O,1.18019786,0.23981831
OCCCC(C)=O,CC1OC(C(C)OC1=O)=O,0.29135535,0.05539662
OCCCC(C)=O,CCCCC(=O)C(C)=O,1.50144021,0.2968294
OCCCC(C)=O,C=CCOC(=O)C(C)=C,1.60898262,0.32926285
OCCCC(C)=O,C1OC1c2ccccc2,1.43545082,0.28002801
OCCCC(C)=O,CCC(C)CC,4.56956933,0.89781695
OCCCC(C)=O,CCC(CC)=O,0.92807922,0.19305459
OCCCC(C)=O,OCC(CO)=O,-0.52729746,-0.14453934
OCCCC(C)=O,COC(=O)C=C,1.1859032,0.22470593
OCCCC(C)=O,COC(CO)=O,-0.42366556,-0.09720196
OCCCC(C)=O,CC1CCCC1,4.52887445,0.86896662
OCCCC(C)=O,CC1CCCO1,0.45247649,0.12147039
OCCCC(C)=O,O=C1CCCO1,0.74927254,0.15466207
OCCCC(C)=O,CCCC(C)C(O)=O,-3.53172528,-1.0318512
OCCCC(C)=O,CCOC(C(C)C)=O,1.54103929,0.31945437
OCCCC(C)=O,CCOC(=O)C(C)=C,1.57788538,0.32416848
OCCCC(C)=O,CCOC(C(O)C)=O,0.25790925,0.06412779
OCCCC(C)=O,CC(C)C(OC(C(C)C)=O)=O,1.68019284,0.34146876
OCCCC(C)=O,CC(C)COC(C(C)C)=O,1.90718705,0.41038476
OCCCC(C)=O,CC(C)COC(=O)C(C)=C,1.91017451,0.40661208
OCCCC(C)=O,CCCCOC(C(C)C)=O,1.89847325,0.40811852
OCCCC(C)=O,CCCCOC(=O)C(C)=C,1.87166934,0.40042632
OCCCC(C)=O,CCC(CC)C=O,1.60021965,0.32424317
OCCCC(C)=O,OCC1CCCO1,0.15590675,0.03872604
OCCCC(C)=O,OCc1occc1,-1.47710971,-0.34919826
OCCCC(C)=O,O=Cc1occc1,0.78461251,0.17008669
OCCCC(C)=O,CC(C)(C)c1ccccc1,2.62280018,0.5259027
OCCCC(C)=O,OOC(C)(C)c(cc1)ccc1C(C)C,-2.4735416,-0.66132414
OCCCC(C)=O,CC(C)(C)c(cc1)ccc1C,2.82893721,0.57952002
OCCCC(C)=O,OC1CCC(CC1)C(C)(C)C,0.55483574,0.15821699
OCCCC(C)=O,CC(C)(C)C1CCC(CC1)=O,1.14649353,0.26044374
OCCCC(C)=O,CC(C)c1ccccc1,2.57295816,0.50892366
OCCCC(C)=O,COC(=O)c(ccc1)cc1C,1.60022817,0.33119132
OCCCC(C)=O,OC1CC(CC=C1C)C(C)=C,-0.39628355,-0.07683191
OCCCC(C)=O,CC(C)c1cc(C(C)C)ccc1,2.94125295,0.61121154
OCCCC(C)=O,CCCC(CCC)C(O)=O,-3.36957417,-1.00017163
OCCCC(C)=O,CC(C=O)c(cc1)ccc1C,1.46346845,0.30150889
OCCCC(C)=O,CC1CCC(C(C)C)CC1,4.47969056,0.93125511
OCCCC(C)=O,CC(C)c(cc1)ccc1C,2.77377324,0.5622596
OCCCC(C)=O,C=CC1CC=CCC1,2.88230626,0.56204939
OCCCC(C)=O,CCc1ccccc1,2.4602163,0.472994
OCCCC(C)=O,C=Cc1ccccc1,1.92970266,0.36221601
OCCCC(C)=O,OCC1CCCCC1,0.1001437,0.05161867
