SMILES0,SMILES,gamma1,gamma2
OCCCC=O,OC(C)C(O)=O,-2.47697839,-0.66340416
OCCCC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.84673517,0.56025781
OCCCC=O,OCC(O)C,0.14322189,0.03875028
OCCCC=O,O=C1CCO1,1.36289335,0.26786723
OCCCC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.42015874,0.30492995
OCCCC=O,CCOCC,1.41475063,0.34443434
OCCCC=O,OCC,0.46358365,0.11154548
OCCCC=O,CCCCCC=O,1.66900227,0.36096021
OCCCC=O,CO,0.33040842,0.07728834
OCCCC=O,OC(C)C,0.63404444,0.15576823
OCCCC=O,CC(C)=O,0.25730131,0.04846159
OCCCC=O,OCCC,0.57657391,0.14660672
OCCCC=O,OCCCC,0.75916557,0.19800013
OCCCC=O,OCCCCC,0.89512612,0.23593914
OCCCC=O,CC1OC1,0.78818851,0.15953045
OCCCC=O,CCC(C)(C)C,5.59563557,1.0619733
OCCCC=O,CC(C)(C)C(C)=O,1.2398026,0.27957981
OCCCC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.01604006,0.47053524
OCCCC=O,COC(C)(C)OC,1.11181931,0.26378974
OCCCC=O,CCC1(CC)CCCCC1,5.53079253,1.09624576
OCCCC=O,CCOC(C)(OCC)OCC,1.13230297,0.28219094
OCCCC=O,CC(C)CCCC(O)(C)CC,1.57609477,0.38911061
OCCCC=O,CCC(C)C,5.68884509,1.05723468
OCCCC=O,CC(=C)C=C,3.54555741,0.61724623
OCCCC=O,CC(=C)C#C,0.86952886,0.14689007
OCCCC=O,OCC(C)C,0.60002045,0.16434916
OCCCC=O,CC(C)C=O,1.33475748,0.26738576
OCCCC=O,CC(=C)C=O,1.13897782,0.23215405
OCCCC=O,CCC(O)C,0.79198951,0.20148691
OCCCC=O,CCC(C)=O,0.59512585,0.1297434
OCCCC=O,COC(C)=O,0.8908237,0.17498039
OCCCC=O,CC(C)C(C)C,5.63679428,1.07286361
OCCCC=O,CC(C)C(O)=O,-2.32783849,-0.63130372
OCCCC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.97034565,0.43639061
OCCCC=O,OOC(C)(C)C(CC1)CCC1C,-1.05845023,-0.25606674
OCCCC=O,CCOC(C(O)(C)C)=O,0.75592515,0.18484537
OCCCC=O,COC(=O)C(C)=C,1.67429862,0.34344831
OCCCC=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.44273064,0.289563
