SMILES0,SMILES,gamma1,gamma2
OCCCCC(O)CO,OC(C)C(O)=O,-2.12619858,-0.53656577
OCCCCC(O)CO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,9.61265554,1.45416853
OCCCCC(O)CO,OCC(O)C,-0.06769874,-0.01616716
OCCCCC(O)CO,O=C1CCO1,4.39128662,0.77460244
OCCCCC(O)CO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,3.8473101,0.80618575
OCCCCC(O)CO,CCOCC,1.59159693,0.34635027
OCCCCC(O)CO,OCC,-0.1412952,-0.03017282
OCCCCC(O)CO,CCCCCC=O,3.44730845,0.62078894
OCCCCC(O)CO,CO,-0.37246056,-0.07602684
OCCCCC(O)CO,OC(C)C,0.14770017,0.03739848
OCCCCC(O)CO,CC(C)=O,0.75054507,0.09761588
OCCCCC(O)CO,OCCC,0.25351826,0.0582567
OCCCCC(O)CO,OCCCC,0.5659265,0.13562926
OCCCCC(O)CO,OCCCCC,0.86158069,0.20973433
OCCCCC(O)CO,CC1OC1,1.69919443,0.2575719
OCCCCC(O)CO,CCC(C)(C)C,12.83010103,1.44052499
OCCCCC(O)CO,CC(C)(C)C(C)=O,2.2074431,0.41173137
OCCCCC(O)CO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.51326099,0.79179827
OCCCCC(O)CO,COC(C)(C)OC,1.53499048,0.30684472
OCCCCC(O)CO,CCC1(CC)CCCCC1,12.77679223,1.60050014
OCCCCC(O)CO,CCOC(C)(OCC)OCC,1.38712428,0.32847634
OCCCCC(O)CO,CC(C)CCCC(O)(C)CC,1.98130683,0.49611972
OCCCCC(O)CO,CCC(C)C,12.9459119,1.39178479
OCCCCC(O)CO,CC(=C)C=C,10.21631872,1.09895762
OCCCCC(O)CO,CC(=C)C#C,6.62585222,0.75897568
OCCCCC(O)CO,OCC(C)C,0.62867592,0.14752589
OCCCCC(O)CO,CC(C)C=O,2.94893602,0.46450309
OCCCCC(O)CO,CC(=C)C=O,2.83494668,0.47733732
OCCCCC(O)CO,CCC(O)C,0.63630846,0.15102454
OCCCCC(O)CO,CCC(C)=O,1.21692278,0.20033804
OCCCCC(O)CO,COC(C)=O,2.44838406,0.39816817
OCCCCC(O)CO,CC(C)C(C)C,12.8923651,1.45490336
OCCCCC(O)CO,CC(C)C(O)=O,-2.22495762,-0.50272518
OCCCCC(O)CO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,4.01273973,0.84659079
OCCCCC(O)CO,OOC(C)(C)C(CC1)CCC1C,0.1999818,0.11680565
OCCCCC(O)CO,CCOC(C(O)(C)C)=O,1.40190748,0.32309219
OCCCCC(O)CO,COC(=O)C(C)=C,3.98628207,0.68149112
OCCCCC(O)CO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,5.84913338,1.01928724
OCCCCC(O)CO,COc2cccc3c2C(=O)c1ccccc1C3=O,3.54081029,0.7819684
OCCCCC(O)CO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,3.20504869,0.7444401
OCCCCC(O)CO,CCOC(=O)c1ccccc1C(OCC)=O,4.49590708,0.890947
OCCCCC(O)CO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,4.97671431,0.99657297
OCCCCC(O)CO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,5.49443823,1.09994081
OCCCCC(O)CO,CC(C)CCOC(=O)c1ccccc1O,7.1154906,1.22532809
OCCCCC(O)CO,Oc2ccccc2C(OCCc1ccccc1)=O,7.10817787,1.25218703
OCCCCC(O)CO,O=C2c1ccccc1CO2,3.78701863,0.75986644
OCCCCC(O)CO,OCC(O)C(O)C(O)CO,0.07708166,0.01990234
OCCCCC(O)CO,CCC(CC)C(O)=O,-1.78781209,-0.38568702
OCCCCC(O)CO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.35845597,0.33834266
OCCCCC(O)CO,COc1cc(C)ccc1C(C)(C)C,10.22216871,1.39953459
OCCCCC(O)CO,CC2CCC(CC1=C2CCC1C)=C(C)C,11.3851458,1.61490142
OCCCCC(O)CO,COC(=O)c1ccccc1C,5.36393555,0.96207819
OCCCCC(O)CO,CC(=O)c1ccc(C)cc1C,3.15844298,0.6741706
OCCCCC(O)CO,Cc2c1ccccc1ccc2,9.67771666,1.28394471
OCCCCC(O)CO,O=C2CCCCC2C1CCCCC1,3.39397804,0.70187409
OCCCCC(O)CO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,3.55765644,0.77801145
OCCCCC(O)CO,CC(C=O)c1ccccc1,4.93195746,0.88450666
OCCCCC(O)CO,CCC(O)c1ccccc1,1.16445674,0.29023287
OCCCCC(O)CO,CCOC(=O)c1ccccc1,5.12105793,0.93345853
OCCCCC(O)CO,CC(OC(C)c2ccccc2)c1ccccc1,5.36581123,1.12868868
OCCCCC(O)CO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,6.0501616,1.18127499
OCCCCC(O)CO,CCOC(=O)c(cc1)ccc1C,5.02064021,0.93847205
OCCCCC(O)CO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-10.55044373,-0.16996122
OCCCCC(O)CO,O=C(OCCc1ccccc1)c2ccccc2,6.19220887,1.15823156
OCCCCC(O)CO,CCCc2cc1OCOc1cc2,7.79781983,1.15173481
OCCCCC(O)CO,COC(C1CCC(CC1)C(OC)=O)=O,3.13869069,0.63277804
OCCCCC(O)CO,CCCC1CCCCC1=O,2.65827746,0.54161495
OCCCCC(O)CO,CCOc1ccc(C=CC)cc1O,2.15209612,0.5372721
OCCCCC(O)CO,CCCC(O)C(CO)CC,0.79329428,0.20089929
