SMILES0,SMILES,gamma1,gamma2
OCCCCCC(O)=O,OC(C)C(O)=O,-0.28052501,-0.08248576
OCCCCCC(O)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.65356757,1.1986784
OCCCCCC(O)=O,OCC(O)C,-0.47494625,-0.12050282
OCCCCCC(O)=O,O=C1CCO1,3.16273128,0.54702525
OCCCCCC(O)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.40241712,0.48044108
OCCCCCC(O)=O,CCOCC,-0.51349656,-0.09957561
OCCCCCC(O)=O,OCC,-0.97513321,-0.22462265
OCCCCCC(O)=O,CCCCCC=O,1.78000396,0.29763171
OCCCCCC(O)=O,CO,-1.06448375,-0.23744501
OCCCCCC(O)=O,OC(C)C,-0.88740074,-0.20586302
OCCCCCC(O)=O,CC(C)=O,-0.97313557,-0.29135303
OCCCCCC(O)=O,OCCC,-0.49010782,-0.11269843
OCCCCCC(O)=O,OCCCC,-0.31016401,-0.06788532
OCCCCCC(O)=O,OCCCCC,-0.06141682,-0.0056333
OCCCCCC(O)=O,CC1OC1,-0.09165519,-0.09440578
OCCCCCC(O)=O,CCC(C)(C)C,11.99912668,1.27045904
OCCCCCC(O)=O,CC(C)(C)C(C)=O,0.40282499,0.02536318
OCCCCCC(O)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.34331344,0.33459571
OCCCCCC(O)=O,COC(C)(C)OC,-0.41421771,-0.14031932
OCCCCCC(O)=O,CCC1(CC)CCCCC1,11.95216506,1.40837215
OCCCCCC(O)=O,CCOC(C)(OCC)OCC,-0.81353381,-0.21481752
OCCCCCC(O)=O,CC(C)CCCC(O)(C)CC,0.46247309,0.135188
OCCCCCC(O)=O,CCC(C)C,12.10573032,1.22838057
OCCCCCC(O)=O,CC(=C)C=C,9.26051347,0.90386778
OCCCCCC(O)=O,CC(=C)C#C,6.38127332,0.62748575
OCCCCCC(O)=O,OCC(C)C,-0.04804471,-0.00745346
OCCCCCC(O)=O,CC(C)C=O,1.33765362,0.16447431
OCCCCCC(O)=O,CC(=C)C=O,1.14458536,0.14679528
OCCCCCC(O)=O,CCC(O)C,-0.35946515,-0.07815061
OCCCCCC(O)=O,CCC(C)=O,-0.53062881,-0.19197144
OCCCCCC(O)=O,COC(C)=O,0.88666757,0.08460145
OCCCCCC(O)=O,CC(C)C(C)C,12.05603308,1.28304944
OCCCCCC(O)=O,CC(C)C(O)=O,-0.38441307,-0.09046767
OCCCCCC(O)=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.05391891,0.41320302
OCCCCCC(O)=O,OOC(C)(C)C(CC1)CCC1C,1.26086359,0.30748539
OCCCCCC(O)=O,CCOC(C(O)(C)C)=O,-0.32465736,-0.08958395
OCCCCCC(O)=O,COC(=O)C(C)=C,2.38322932,0.37541244
OCCCCCC(O)=O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,5.00915409,0.84799118
OCCCCCC(O)=O,COc2cccc3c2C(=O)c1ccccc1C3=O,1.67231109,0.36202397
