SMILES0,SMILES,gamma1,gamma2
OCCCCCO,OC(C)C(O)=O,-1.80203486,-0.47877383
OCCCCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,8.19722633,1.23512937
OCCCCCO,OCC(O)C,-0.02382748,-0.00549113
OCCCCCO,O=C1CCO1,4.30235917,0.81003756
OCCCCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,3.39468909,0.70624065
OCCCCCO,CCOCC,1.55802896,0.31372074
OCCCCCO,OCC,-0.10393802,-0.0239966
OCCCCCO,CCCCCC=O,3.14369882,0.57336417
OCCCCCO,CO,-0.17891169,-0.03919653
OCCCCCO,OC(C)C,0.09736673,0.02373939
OCCCCCO,CC(C)=O,1.09319453,0.18306501
OCCCCCO,OCCC,0.13622914,0.03221394
OCCCCCO,OCCCC,0.36116702,0.08810443
OCCCCCO,OCCCCC,0.57090577,0.14094435
OCCCCCO,CC1OC1,1.80766027,0.2925169
OCCCCCO,CCC(C)(C)C,10.87469127,1.21721481
OCCCCCO,CC(C)(C)C(C)=O,2.12670256,0.39903203
OCCCCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.03674004,0.66599819
OCCCCCO,COC(C)(C)OC,1.52577156,0.29800188
OCCCCCO,CCC1(CC)CCCCC1,10.80518507,1.33710044
OCCCCCO,CCOC(C)(OCC)OCC,1.34189779,0.31304415
OCCCCCO,CC(C)CCCC(O)(C)CC,1.47170568,0.36384165
OCCCCCO,CCC(C)C,10.98062935,1.18064257
OCCCCCO,CC(=C)C=C,8.75445302,0.96185653
OCCCCCO,CC(=C)C#C,5.72118183,0.68308433
OCCCCCO,OCC(C)C,0.39104751,0.09456963
OCCCCCO,CC(C)C=O,2.81234386,0.46271689
OCCCCCO,CC(=C)C=O,2.73004102,0.48008651
OCCCCCO,CCC(O)C,0.44280685,0.10651638
OCCCCCO,CCC(C)=O,1.40068206,0.2487334
OCCCCCO,COC(C)=O,2.44818394,0.4247114
OCCCCCO,CC(C)C(C)C,10.92581686,1.22845345
OCCCCCO,CC(C)C(O)=O,-2.09676347,-0.51459064
OCCCCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.47835777,0.7213689
OCCCCCO,OOC(C)(C)C(CC1)CCC1C,-0.13384572,0.00502805
OCCCCCO,CCOC(C(O)(C)C)=O,1.31318301,0.29578248
OCCCCCO,COC(=O)C(C)=C,3.59559185,0.62822796
OCCCCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.89230887,0.85512361
OCCCCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,3.20409259,0.70144283
