SMILES0,SMILES,gamma1,gamma2
OCCCCO,OC(C)C(O)=O,-2.01413517,-0.53644571
OCCCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.82753674,0.83809616
OCCCCO,OCC(O)C,-0.05489011,-0.01288885
OCCCCO,O=C1CCO1,4.11138137,0.7038833
OCCCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,3.20791264,0.58183891
OCCCCO,CCOCC,2.09845215,0.35993321
OCCCCO,OCC,-0.04445987,-0.01240359
OCCCCO,CCCCCC=O,3.14282234,0.50197334
OCCCCO,CO,-0.0331096,-0.00784876
OCCCCO,OC(C)C,0.12753995,0.02926787
OCCCCO,CC(C)=O,1.76283899,0.28436672
OCCCCO,OCCC,0.01928721,0.00221397
OCCCCO,OCCCC,0.17392986,0.04169596
OCCCCO,OCCCCC,0.28684461,0.07094185
OCCCCO,CC1OC1,2.24458801,0.33132252
OCCCCO,CCC(C)(C)C,9.26904934,0.91254036
OCCCCO,CC(C)(C)C(C)=O,2.46467636,0.41022442
OCCCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.92504805,0.55849194
OCCCCO,COC(C)(C)OC,2.03336945,0.35350597
OCCCCO,CCC1(CC)CCCCC1,9.19064267,0.9806516
OCCCCO,CCOC(C)(OCC)OCC,1.81367848,0.37327254
OCCCCO,CC(C)CCCC(O)(C)CC,1.03142115,0.248211
OCCCCO,CCC(C)C,9.36976537,0.89441657
OCCCCO,CC(=C)C=C,7.39910293,0.67982158
OCCCCO,CC(=C)C#C,4.60367104,0.40296736
OCCCCO,OCC(C)C,0.10345962,0.02270401
OCCCCO,CC(C)C=O,2.96416637,0.43321729
OCCCCO,CC(=C)C=O,2.86812912,0.45028817
OCCCCO,CCC(O)C,0.29815067,0.06952917
OCCCCO,CCC(C)=O,1.95525442,0.31993881
OCCCCO,COC(C)=O,2.70812402,0.42188936
OCCCCO,CC(C)C(C)C,9.3128038,0.92138201
OCCCCO,CC(C)C(O)=O,-2.32283552,-0.6173625
OCCCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.26014399,0.59215906
OCCCCO,OOC(C)(C)C(CC1)CCC1C,-0.77221873,-0.20642031
OCCCCO,CCOC(C(O)(C)C)=O,1.47943733,0.30197403
OCCCCO,COC(=O)C(C)=C,3.48231596,0.53241695
OCCCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.082633,0.60082246
OCCCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,2.99162592,0.58237657
OCCCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.32119906,0.28498161
OCCCCO,CCOC(=O)c1ccccc1C(OCC)=O,3.66511736,0.62851626
OCCCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.86701447,0.66329808
OCCCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,4.14464072,0.70798311
OCCCCO,CC(C)CCOC(=O)c1ccccc1O,5.12562745,0.74908655
OCCCCO,Oc2ccccc2C(OCCc1ccccc1)=O,5.07411272,0.75461582
OCCCCO,O=C2c1ccccc1CO2,3.33741547,0.61099373
OCCCCO,OCC(O)C(O)C(O)CO,0.05347272,0.01735463
OCCCCO,CCC(CC)C(O)=O,-2.17769414,-0.58008545
OCCCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.00906278,-0.00157743
OCCCCO,COc1cc(C)ccc1C(C)(C)C,7.33281559,0.82330779
OCCCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,8.1032489,0.95407179
OCCCCO,COC(=O)c1ccccc1C,4.14026619,0.64498073
OCCCCO,CC(=O)c1ccc(C)cc1C,2.79225506,0.51115909
OCCCCO,Cc2c1ccccc1ccc2,6.95948123,0.76327204
OCCCCO,O=C2CCCCC2C1CCCCC1,3.0717113,0.54666271
OCCCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.93035395,0.56147286
OCCCCO,CC(C=O)c1ccccc1,3.90283264,0.61271423
OCCCCO,CCC(O)c1ccccc1,0.02859632,-0.00329315
OCCCCO,CCOC(=O)c1ccccc1,4.0205905,0.63765818
OCCCCO,CC(OC(C)c2ccccc2)c1ccccc1,3.70302858,0.67231253
OCCCCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,4.4080821,0.73732775
OCCCCO,CCOC(=O)c(cc1)ccc1C,3.96035147,0.64089055
OCCCCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-6.74380008,-0.05685322
OCCCCO,O=C(OCCc1ccccc1)c2ccccc2,4.5419678,0.72430333
OCCCCO,CCCc2cc1OCOc1cc2,5.60701206,0.69094848
OCCCCO,COC(C1CCC(CC1)C(OC)=O)=O,2.95977321,0.52408616
OCCCCO,CCCC1CCCCC1=O,2.68640498,0.47497395
OCCCCO,CCOc1ccc(C=CC)cc1O,0.58466861,0.0970516
OCCCCO,CCCC(O)C(CO)CC,0.31339469,0.07682695
OCCCCO,Cc(ccc1C)cc1C,7.40236789,0.7807022
OCCCCO,CCOC(=O)C(OCC)=O,3.55834155,0.58562791
OCCCCO,CC1OC(C(C)OC1=O)=O,3.02304849,0.56157828
OCCCCO,CCCCC(=O)C(C)=O,4.1661254,0.61093888
OCCCCO,C=CCOC(=O)C(C)=C,3.95995337,0.61491821
OCCCCO,C1OC1c2ccccc2,4.29792345,0.63976516
OCCCCO,CCC(C)CC,9.36269355,0.9340665
OCCCCO,CCC(CC)=O,2.31714616,0.38175176
OCCCCO,OCC(CO)=O,0.45078446,0.11397212
OCCCCO,COC(=O)C=C,3.43627567,0.52552814
