SMILES0,SMILES,gamma1,gamma2
OCCCO,OC(C)C(O)=O,-1.97188318,-0.52213526
OCCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.14421976,0.84173437
OCCCO,OCC(O)C,-0.08519095,-0.02029981
OCCCO,O=C1CCO1,3.2844347,0.60267828
OCCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.75768225,0.54292009
OCCCO,CCOCC,1.8098989,0.36775794
OCCCO,OCC,0.01640362,0.00437913
OCCCO,CCCCCC=O,2.75413585,0.50708506
OCCCO,CO,-0.07661252,-0.01788393
OCCCO,OC(C)C,0.21665411,0.05429289
OCCCO,CC(C)=O,1.27011255,0.23218963
OCCCO,OCCC,0.15422997,0.03934859
OCCCO,OCCCC,0.33268177,0.08508254
OCCCO,OCCCCC,0.46987662,0.11947228
OCCCO,CC1OC1,1.82777678,0.31785574
OCCCO,CCC(C)(C)C,8.66828643,1.00374723
OCCCO,CC(C)(C)C(C)=O,2.08661129,0.40177375
OCCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.62687166,0.55423397
OCCCO,COC(C)(C)OC,1.69291468,0.34095204
OCCCO,CCC1(CC)CCCCC1,8.57590007,1.05652029
OCCCO,CCOC(C)(OCC)OCC,1.50204899,0.34232889
OCCCO,CC(C)CCCC(O)(C)CC,1.18930891,0.2842459
OCCCO,CCC(C)C,8.77176773,0.99064666
OCCCO,CC(=C)C=C,6.80481675,0.74648194
OCCCO,CC(=C)C#C,4.14104388,0.43044438
OCCCO,OCC(C)C,0.27948967,0.07154844
OCCCO,CC(C)C=O,2.54107224,0.43484265
OCCCO,CC(=C)C=O,2.38232326,0.42617714
OCCCO,CCC(O)C,0.42934319,0.10718777
OCCCO,CCC(C)=O,1.51828437,0.28653497
OCCCO,COC(C)=O,2.20874655,0.39254196
OCCCO,CC(C)C(C)C,8.70890484,1.01212637
OCCCO,CC(C)C(O)=O,-2.00479779,-0.53745741
OCCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.89704073,0.57747168
OCCCO,OOC(C)(C)C(CC1)CCC1C,-0.46531626,-0.13369216
OCCCO,CCOC(C(O)(C)C)=O,1.28275703,0.28690455
OCCCO,COC(=O)C(C)=C,3.02429059,0.52965799
OCCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,3.6734435,0.60389114
OCCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,2.4259973,0.50455992
OCCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.54686262,0.31494739
OCCCO,CCOC(=O)c1ccccc1C(OCC)=O,3.14205354,0.59378001
OCCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.41826194,0.64277926
OCCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.71705927,0.68817724
OCCCO,CC(C)CCOC(=O)c1ccccc1O,4.67942778,0.76846851
OCCCO,Oc2ccccc2C(OCCc1ccccc1)=O,4.53870463,0.74829054
OCCCO,O=C2c1ccccc1CO2,2.67971092,0.52935571
OCCCO,OCC(O)C(O)C(O)CO,-0.06436827,-0.01253438
OCCCO,CCC(CC)C(O)=O,-1.79793644,-0.48563415
OCCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,0.2297041,0.04596881
OCCCO,COc1cc(C)ccc1C(C)(C)C,6.72713237,0.8675742
OCCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,7.52980125,1.00794293
OCCCO,COC(=O)c1ccccc1C,3.66482803,0.64334199
OCCCO,CC(=O)c1ccc(C)cc1C,2.39543116,0.48974051
OCCCO,Cc2c1ccccc1ccc2,6.30167185,0.79184207
OCCCO,O=C2CCCCC2C1CCCCC1,2.73991827,0.54753385
OCCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.41309708,0.49778394
OCCCO,CC(C=O)c1ccccc1,3.38958632,0.5974505
OCCCO,CCC(O)c1ccccc1,0.17542226,0.03734467
OCCCO,CCOC(=O)c1ccccc1,3.54259549,0.6316789
OCCCO,CC(OC(C)c2ccccc2)c1ccccc1,3.35657138,0.67134462
OCCCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.82582243,0.68999464
OCCCO,CCOC(=O)c(cc1)ccc1C,3.50913077,0.63806963
OCCCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-6.84014373,-0.14190038
OCCCO,O=C(OCCc1ccccc1)c2ccccc2,4.01896308,0.70820833
OCCCO,CCCc2cc1OCOc1cc2,5.07822021,0.71562675
OCCCO,COC(C1CCC(CC1)C(OC)=O)=O,2.48466487,0.48955544
OCCCO,CCCC1CCCCC1=O,2.33925208,0.4692473
OCCCO,CCOc1ccc(C=CC)cc1O,0.68340436,0.13715957
OCCCO,CCCC(O)C(CO)CC,0.46900093,0.11324711
OCCCO,Cc(ccc1C)cc1C,6.7966195,0.83486545
OCCCO,CCOC(=O)C(OCC)=O,3.02098009,0.55490716
OCCCO,CC1OC(C(C)OC1=O)=O,2.38424241,0.46755744
OCCCO,CCCCC(=O)C(C)=O,3.69637459,0.61931587
OCCCO,C=CCOC(=O)C(C)=C,3.50031103,0.61593025
OCCCO,C1OC1c2ccccc2,3.75452267,0.62755683
OCCCO,CCC(C)CC,8.7551628,1.02357903
OCCCO,CCC(CC)=O,1.92084164,0.36625996
OCCCO,OCC(CO)=O,0.16223065,0.0411911
OCCCO,COC(=O)C=C,2.91809201,0.50540283
OCCCO,COC(CO)=O,0.39204353,0.09798137
OCCCO,CC1CCCC1,8.69938677,0.99550913
OCCCO,CC1CCCO1,0.7127571,0.15493002
OCCCO,O=C1CCCO1,1.89280353,0.36855218
OCCCO,CCCC(C)C(O)=O,-1.81995726,-0.49220437
OCCCO,CCOC(C(C)C)=O,2.92144311,0.53425796
OCCCO,CCOC(=O)C(C)=C,3.07599223,0.55503964
OCCCO,CCOC(C(O)C)=O,1.07539089,0.24555898
OCCCO,CC(C)C(OC(C(C)C)=O)=O,3.8009913,0.64943235
OCCCO,CC(C)COC(C(C)C)=O,3.24168018,0.6058386
OCCCO,CC(C)COC(=O)C(C)=C,3.42756139,0.62708963
OCCCO,CCCCOC(C(C)C)=O,3.27452547,0.61081782
OCCCO,CCCCOC(=O)C(C)=C,3.33943934,0.61728221
OCCCO,CCC(CC)C=O,3.02831835,0.53994454
OCCCO,OCC1CCCO1,0.37583227,0.08768064
OCCCO,OCc1occc1,-0.10122887,-0.02449666
OCCCO,O=Cc1occc1,2.12159062,0.43910296
OCCCO,CC(C)(C)c1ccccc1,6.78880794,0.83974514
OCCCO,OOC(C)(C)c(cc1)ccc1C(C)C,-0.11305707,-0.05981902
OCCCO,CC(C)(C)c(cc1)ccc1C,6.96967079,0.8805608
OCCCO,OC1CCC(CC1)C(C)(C)C,0.86176961,0.20968811
OCCCO,CC(C)(C)C1CCC(CC1)=O,1.97971392,0.40972093
OCCCO,CC(C)c1ccccc1,6.75100761,0.82488779
OCCCO,COC(=O)c(ccc1)cc1C,3.56777637,0.63289289
OCCCO,OC1CC(CC=C1C)C(C)=C,0.68717266,0.16336356
OCCCO,CC(C)c1cc(C(C)C)ccc1,7.06820924,0.90854146
OCCCO,CCCC(CCC)C(O)=O,-1.57556857,-0.43766767
OCCCO,CC(C=O)c(cc1)ccc1C,3.43893895,0.61429476
OCCCO,CC1CCC(C(C)C)CC1,8.59264336,1.07064341
OCCCO,CC(C)c(cc1)ccc1C,6.9220867,0.86527014
OCCCO,C=CC1CC=CCC1,6.93786001,0.83638974
OCCCO,CCc1ccccc1,6.64365722,0.79388797
OCCCO,C=Cc1ccccc1,6.18041812,0.74376924
OCCCO,OCC1CCCCC1,0.58601221,0.14508275
OCCCO,COc1ccccc1,4.84856841,0.68304087
OCCCO,OCC1CCCCO1,0.4570338,0.11785183
OCCCO,OCC(CO1)OC1(C)C,0.51557496,0.12640322
OCCCO,Cc1cc(C=C)ccc1,6.35237434,0.78150897
OCCCO,COc(ccc1)cc1C,4.94560391,0.71307001
OCCCO,COC(=O)Cc1ccccc1,3.19617376,0.58734799
OCCCO,COC(OC)Cc1ccccc1,2.68482287,0.53194554
OCCCO,Cc2ccc(OC(=O)Cc1ccccc1)cc2,3.70391582,0.66540317
OCCCO,CC(C)COC(=O)Cc1ccccc1,3.29629279,0.61735308
OCCCO,O=C(OCc2ccccc2)Cc1ccccc1,3.43617852,0.63967018
OCCCO,CCc1cc(CC)cc(CC)c1,7.17820693,0.92832279
OCCCO,CC(=O)Oc(ccc1)cc1O,-2.28496337,-0.62836959
OCCCO,COC(OC)CC(OC)OC,1.86506,0.38375055
OCCCO,CCCCC(CC)COC(C)=O,3.14755743,0.60808524
OCCCO,CCCCC(CC)COC(=O)C=C,3.71316202,0.68703252
OCCCO,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,3.22904324,0.62278577
OCCCO,COC(CCc1ccccc1)=O,3.24864021,0.5972723
OCCCO,CC(C)C(OCc1ccccc1)=O,3.44564079,0.62842687
OCCCO,CCCC(OCc1ccccc1)=O,3.46959325,0.63269594
OCCCO,CC(C)CC(OCc1ccccc1)=O,3.60063407,0.65391452
OCCCO,CC(OCCc1ccccc1)=O,3.04414265,0.57657372
OCCCO,CC(C)C(OCCc1ccccc1)=O,3.52186637,0.64761283
OCCCO,CC(C)C(OCCOc1ccccc1)=O,3.34644972,0.61720465
OCCCO,CCCc1ccccc1,6.75297185,0.82930406
OCCCO,CC(C)C(=O)Oc(cc1)ccc1C,3.69709822,0.65652495
OCCCO,CCCc(cc1)ccc1OC,5.13509453,0.7657341
OCCCO,CCCCC1OC(CC1)=O,2.11805211,0.42472965
OCCCO,CCCCc1ccccc1,6.85125397,0.86031682
OCCCO,O=COCc1ccccc1,3.26938357,0.58248878
OCCCO,CCCCCC1OC(CC1)=O,2.21447676,0.44663325
OCCCO,O=COCCc1ccccc1,3.2697905,0.58681698
