SMILES0,SMILES,gamma1,gamma2
OCCO,OC(C)C(O)=O,-1.33952733,-0.34902881
OCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.87592215,1.11278315
OCCO,OCC(O)C,0.11782524,0.02915269
OCCO,O=C1CCO1,2.85698196,0.55922524
OCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.88991492,0.59805655
OCCO,CCOCC,1.66965152,0.3911811
OCCO,OCC,0.2411569,0.06278238
OCCO,CCCCCC=O,2.84114216,0.58771168
OCCO,CO,-0.04716192,-0.00989958
OCCO,OC(C)C,0.49726005,0.12689995
OCCO,CC(C)=O,0.86006152,0.17501914
OCCO,OCCC,0.59141757,0.14902864
OCCO,OCCCC,0.82358791,0.20605943
OCCO,OCCCCC,1.03973345,0.25618689
OCCO,CC1OC1,1.63351649,0.3282792
OCCO,CCC(C)(C)C,9.62316595,1.3170507
OCCO,CC(C)(C)C(C)=O,1.97528501,0.42383064
OCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.81517472,0.6297078
OCCO,COC(C)(C)OC,1.53249314,0.34240206
OCCO,CCC1(CC)CCCCC1,9.5084159,1.36935644
OCCO,CCOC(C)(OCC)OCC,1.33959952,0.31735197
OCCO,CC(C)CCCC(O)(C)CC,1.78474193,0.41137968
OCCO,CCC(C)C,9.73467593,1.30241469
OCCO,CC(=C)C=C,7.66455993,1.04476378
OCCO,CC(=C)C#C,5.08884187,0.74385074
OCCO,OCC(C)C,0.90555761,0.2255196
OCCO,CC(C)C=O,2.50819501,0.49217885
OCCO,CC(=C)C=O,2.26391992,0.45576746
OCCO,CCC(O)C,0.8851896,0.22093846
OCCO,CCC(C)=O,1.23247497,0.26162237
OCCO,COC(C)=O,2.01816702,0.40395545
OCCO,CC(C)C(C)C,9.66255113,1.32520273
OCCO,CC(C)C(O)=O,-0.98235102,-0.25777793
OCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.1077085,0.65127119
OCCO,OOC(C)(C)C(CC1)CCC1C,0.77032178,0.17792282
OCCO,CCOC(C(O)(C)C)=O,1.33259349,0.31353246
OCCO,COC(=O)C(C)=C,3.11286406,0.61662346
OCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.35272017,0.82297896
OCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,2.35494633,0.51381745
OCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.58980494,0.50716458
OCCO,CCOC(=O)c1ccccc1C(OCC)=O,3.26339283,0.67330505
OCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,3.70291271,0.7479522
