SMILES0,SMILES,gamma1,gamma2
OCCOC(C)=O,OC(C)C(O)=O,-1.85492892,-0.48374368
OCCOC(C)=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.33804045,0.48045116
OCCOC(C)=O,OCC(O)C,0.25104595,0.06460264
OCCOC(C)=O,O=C1CCO1,1.15798407,0.2416949
OCCOC(C)=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.0839805,0.244445
OCCOC(C)=O,CCOCC,1.05466024,0.26400743
OCCOC(C)=O,OCC,0.41671313,0.09939888
OCCOC(C)=O,CCCCCC=O,1.23853561,0.28395689
OCCOC(C)=O,CO,0.33574024,0.07995997
OCCOC(C)=O,OC(C)C,0.54244671,0.13128968
OCCOC(C)=O,CC(C)=O,-0.07939861,-0.02427184
OCCOC(C)=O,OCCC,0.529185,0.13148367
OCCOC(C)=O,OCCCC,0.69177362,0.17727799
OCCOC(C)=O,OCCCCC,0.82685852,0.21441324
OCCOC(C)=O,CC1OC1,0.40025234,0.08383875
OCCOC(C)=O,CCC(C)(C)C,4.95945537,0.98330871
OCCOC(C)=O,CC(C)(C)C(C)=O,0.85255911,0.20202605
OCCOC(C)=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.63970079,0.39758409
OCCOC(C)=O,COC(C)(C)OC,0.79398049,0.19471535
OCCOC(C)=O,CCC1(CC)CCCCC1,4.90633009,1.02094211
OCCOC(C)=O,CCOC(C)(OCC)OCC,0.81465071,0.21062949
OCCOC(C)=O,CC(C)CCCC(O)(C)CC,1.40448753,0.34841567
OCCOC(C)=O,CCC(C)C,5.03562149,0.97560349
OCCOC(C)=O,CC(=C)C=C,2.97642931,0.53144468
OCCOC(C)=O,CC(=C)C#C,0.60746497,0.06589675
OCCOC(C)=O,OCC(C)C,0.5556239,0.1468238
OCCOC(C)=O,CC(C)C=O,0.91689148,0.19446244
OCCOC(C)=O,CC(=C)C=O,0.7334765,0.15669451
OCCOC(C)=O,CCC(O)C,0.6871197,0.17213527
OCCOC(C)=O,CCC(C)=O,0.23791816,0.05348224
OCCOC(C)=O,COC(C)=O,0.58189068,0.12115041
OCCOC(C)=O,CC(C)C(C)C,4.99528741,0.99370017
