SMILES0,SMILES,gamma1,gamma2
OCCOCC,OC(C)C(O)=O,-1.92125085,-0.52772748
OCCOCC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.64514764,0.34229948
OCCOCC,OCC(O)C,0.02188744,0.00261425
OCCOCC,O=C1CCO1,2.11646831,0.49478313
OCCOCC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.67277021,0.15927402
OCCOCC,CCOCC,0.44742014,0.11320884
OCCOCC,OCC,-0.0085126,-0.00355335
OCCOCC,CCCCCC=O,0.76981704,0.18098373
OCCOCC,CO,0.25017629,0.05651354
OCCOCC,OC(C)C,-0.03972808,-0.01077133
OCCOCC,CC(C)=O,0.34841763,0.08470583
OCCOCC,OCCC,-0.15249549,-0.03905028
OCCOCC,OCCCC,-0.11631888,-0.02739894
OCCOCC,OCCCCC,-0.09952654,-0.02192962
OCCOCC,CC1OC1,0.47893955,0.1079737
OCCOCC,CCC(C)(C)C,2.94356128,0.54380282
OCCOCC,CC(C)(C)C(C)=O,0.52775288,0.12775943
OCCOCC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.78542502,0.19555902
OCCOCC,COC(C)(C)OC,0.37733893,0.09487706
OCCOCC,CCC1(CC)CCCCC1,2.88449677,0.56299407
OCCOCC,CCOC(C)(OCC)OCC,0.29978268,0.08818057
OCCOCC,CC(C)CCCC(O)(C)CC,0.23323494,0.06062319
OCCOCC,CCC(C)C,2.99825434,0.54046036
OCCOCC,CC(=C)C=C,1.94186136,0.33335939
OCCOCC,CC(=C)C#C,0.34533829,0.02210767
OCCOCC,OCC(C)C,-0.2806809,-0.06880219
OCCOCC,CC(C)C=O,0.7235163,0.1618058
OCCOCC,CC(=C)C=O,0.83264157,0.19250188
OCCOCC,CCC(O)C,-0.0887647,-0.02221795
OCCOCC,CCC(C)=O,0.35468857,0.08607889
OCCOCC,COC(C)=O,0.77681345,0.18008338
OCCOCC,CC(C)C(C)C,2.96778837,0.55041927
OCCOCC,CC(C)C(O)=O,-2.4922256,-0.68071479
OCCOCC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.79647052,0.19193136
OCCOCC,OOC(C)(C)C(CC1)CCC1C,-1.69747863,-0.45680375
OCCOCC,CCOC(C(O)(C)C)=O,0.23450449,0.06144217
OCCOCC,COC(=O)C(C)=C,0.96432976,0.2211204
OCCOCC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.56566676,0.12566713
OCCOCC,COc2cccc3c2C(=O)c1ccccc1C3=O,1.00169851,0.24027591
OCCOCC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.06977269,0.00163142
OCCOCC,CCOC(=O)c1ccccc1C(OCC)=O,0.97705756,0.23187335
OCCOCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.91478359,0.21485243
OCCOCC,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.96466686,0.22201459
OCCOCC,CC(C)CCOC(=O)c1ccccc1O,1.34677687,0.29813837
OCCOCC,Oc2ccccc2C(OCCc1ccccc1)=O,1.31273822,0.29273268
OCCOCC,O=C2c1ccccc1CO2,1.3291988,0.32341412
OCCOCC,OCC(O)C(O)C(O)CO,0.01385794,0.00271659
OCCOCC,CCC(CC)C(O)=O,-2.50407392,-0.6839716
OCCOCC,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.84523023,-0.20932241
OCCOCC,COc1cc(C)ccc1C(C)(C)C,1.84224758,0.36553782
OCCOCC,CC2CCC(CC1=C2CCC1C)=C(C)C,2.37354542,0.48386811
OCCOCC,COC(=O)c1ccccc1C,1.18062503,0.27114726
OCCOCC,CC(=O)c1ccc(C)cc1C,0.73533461,0.18138591
OCCOCC,Cc2c1ccccc1ccc2,1.7539495,0.34345929
OCCOCC,O=C2CCCCC2C1CCCCC1,0.80521305,0.19603779
OCCOCC,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.83396372,0.19995661
OCCOCC,CC(C=O)c1ccccc1,1.12931723,0.26123838
OCCOCC,CCC(O)c1ccccc1,-0.89565745,-0.22867864
OCCOCC,CCOC(=O)c1ccccc1,1.14588707,0.26588648
OCCOCC,CC(OC(C)c2ccccc2)c1ccccc1,1.08483592,0.25683788
OCCOCC,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.19050023,0.27020452
OCCOCC,CCOC(=O)c(cc1)ccc1C,1.09796,0.25666354
OCCOCC,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-5.11092617,-0.24287123
OCCOCC,O=C(OCCc1ccccc1)c2ccccc2,1.24328266,0.28526152
OCCOCC,CCCc2cc1OCOc1cc2,1.23722792,0.2532285
OCCOCC,COC(C1CCC(CC1)C(OC)=O)=O,0.70761228,0.17193789
OCCOCC,CCCC1CCCCC1=O,0.62495501,0.15423386
OCCOCC,CCOc1ccc(C=CC)cc1O,-1.23790145,-0.28242655
OCCOCC,CCCC(O)C(CO)CC,0.00406641,0.00081686
OCCOCC,Cc(ccc1C)cc1C,1.95186365,0.37165752
OCCOCC,CCOC(=O)C(OCC)=O,1.04804826,0.24727891
OCCOCC,CC1OC(C(C)OC1=O)=O,1.10967125,0.27721191
OCCOCC,CCCCC(=O)C(C)=O,1.09137613,0.24574541
OCCOCC,C=CCOC(=O)C(C)=C,1.12492406,0.25859857
OCCOCC,C1OC1c2ccccc2,1.31062006,0.29490362
OCCOCC,CCC(C)CC,2.9941645,0.55818489
OCCOCC,CCC(CC)=O,0.46421592,0.1119456
OCCOCC,OCC(CO)=O,0.63096143,0.14627558
OCCOCC,COC(=O)C=C,1.05109291,0.24052869
OCCOCC,COC(CO)=O,0.30678874,0.07416585
OCCOCC,CC1CCCC1,2.96876265,0.54174726
OCCOCC,CC1CCCO1,-0.10470402,-0.0173526
OCCOCC,O=C1CCCO1,0.94886989,0.23491075
OCCOCC,CCCC(C)C(O)=O,-2.53019155,-0.69138534
OCCOCC,CCOC(C(C)C)=O,0.84258009,0.19718538
OCCOCC,CCOC(=O)C(C)=C,0.94596126,0.21938984
OCCOCC,CCOC(C(O)C)=O,0.18616615,0.0491825
OCCOCC,CC(C)C(OC(C(C)C)=O)=O,1.10367857,0.25166553
OCCOCC,CC(C)COC(C(C)C)=O,0.97739727,0.23133793
OCCOCC,CC(C)COC(=O)C(C)=C,1.0501966,0.24569435
OCCOCC,CCCCOC(C(C)C)=O,0.98302332,0.2326974
OCCOCC,CCCCOC(=O)C(C)=C,1.0177895,0.23925943
OCCOCC,CCC(CC)C=O,0.87918182,0.2020164
OCCOCC,OCC1CCCO1,-0.02282761,-0.00386317
OCCOCC,OCc1occc1,-0.4844473,-0.12498548
OCCOCC,O=Cc1occc1,1.19844828,0.28942768
OCCOCC,CC(C)(C)c1ccccc1,1.90410292,0.36517476
OCCOCC,OOC(C)(C)c(cc1)ccc1C(C)C,-1.5274941,-0.41351241
OCCOCC,CC(C)(C)c(cc1)ccc1C,1.99107857,0.38906463
OCCOCC,OC1CCC(CC1)C(C)(C)C,0.05102942,0.01508702
OCCOCC,CC(C)(C)C1CCC(CC1)=O,0.47224957,0.11936462
OCCOCC,CC(C)c1ccccc1,1.90336405,0.3612875
OCCOCC,COC(=O)c(ccc1)cc1C,1.15202922,0.26654244
OCCOCC,OC1CC(CC=C1C)C(C)=C,-0.33729305,-0.08546894
OCCOCC,CC(C)c1cc(C(C)C)ccc1,2.03242053,0.40255623
OCCOCC,CCCC(CCC)C(O)=O,-2.43681662,-0.67164218
OCCOCC,CC(C=O)c(cc1)ccc1C,1.0695909,0.24803757
OCCOCC,CC1CCC(C(C)C)CC1,2.91198937,0.57362277
OCCOCC,CC(C)c(cc1)ccc1C,1.97768963,0.38289597
OCCOCC,C=CC1CC=CCC1,2.04032399,0.37985694
OCCOCC,CCc1ccccc1,1.87273127,0.34838423
OCCOCC,C=Cc1ccccc1,1.73729611,0.32913972
OCCOCC,OCC1CCCCC1,-0.1687764,-0.04177029
OCCOCC,COc1ccccc1,1.50504415,0.30685917
OCCOCC,OCC1CCCCO1,0.01679295,0.00707616
OCCOCC,OCC(CO1)OC1(C)C,0.01407708,0.00485969
OCCOCC,Cc1cc(C=C)ccc1,1.75751323,0.33705555
OCCOCC,COc(ccc1)cc1C,1.4779104,0.30380251
OCCOCC,COC(=O)Cc1ccccc1,1.11785968,0.26403908
OCCOCC,COC(OC)Cc1ccccc1,0.82756462,0.20082064
OCCOCC,Cc2ccc(OC(=O)Cc1ccccc1)cc2,1.14955042,0.26711637
OCCOCC,CC(C)COC(=O)Cc1ccccc1,0.96177538,0.22772054
OCCOCC,O=C(OCc2ccccc2)Cc1ccccc1,1.12835263,0.26485761
OCCOCC,CCc1cc(CC)cc(CC)c1,2.10455997,0.41921237
OCCOCC,CC(=O)Oc(ccc1)cc1O,-2.68900692,-0.74892576
OCCOCC,COC(OC)CC(OC)OC,0.45851582,0.11481741
OCCOCC,CCCCC(CC)COC(C)=O,0.93458365,0.22370225
OCCOCC,CCCCC(CC)COC(=O)C=C,1.11997934,0.26293364
OCCOCC,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,0.85090758,0.19209393
OCCOCC,COC(CCc1ccccc1)=O,1.05340018,0.24844118
OCCOCC,CC(C)C(OCc1ccccc1)=O,1.03895925,0.24311692
OCCOCC,CCCC(OCc1ccccc1)=O,1.0438888,0.24380499
OCCOCC,CC(C)CC(OCc1ccccc1)=O,1.04249798,0.24399373
OCCOCC,CC(OCCc1ccccc1)=O,0.99030968,0.23613325
OCCOCC,CC(C)C(OCCc1ccccc1)=O,1.04187544,0.24490299
OCCOCC,CC(C)C(OCCOc1ccccc1)=O,0.96994829,0.22906795
OCCOCC,CCCc1ccccc1,1.89701825,0.36145624
OCCOCC,CC(C)C(=O)Oc(cc1)ccc1C,1.09775466,0.25348597
OCCOCC,CCCc(cc1)ccc1OC,1.47400469,0.30868446
OCCOCC,CCCCC1OC(CC1)=O,0.58778948,0.14542567
OCCOCC,CCCCc1ccccc1,1.92666447,0.37432658
