SMILES0,SMILES,gamma1,gamma2
OCCOCCO,OC(C)C(O)=O,-2.82776222,-0.73766537
OCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.83278373,0.82725715
OCCOCCO,OCC(O)C,-0.17670324,-0.04082086
OCCOCCO,O=C1CCO1,2.70687013,0.50033305
OCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,2.34615393,0.51058157
OCCOCCO,CCOCC,1.76625785,0.3822831
OCCOCCO,OCC,-0.00991323,-0.00038539
OCCOCCO,CCCCCC=O,2.39037632,0.47343152
OCCOCCO,CO,-0.14803464,-0.03099354
OCCOCCO,OC(C)C,0.23396668,0.05953159
OCCOCCO,CC(C)=O,0.90649241,0.16528334
OCCOCCO,OCCC,0.1250453,0.03563788
OCCOCCO,OCCCC,0.34808266,0.09427053
OCCOCCO,OCCCCC,0.51251862,0.13779826
OCCOCCO,CC1OC1,1.45279269,0.25755122
OCCOCCO,CCC(C)(C)C,7.3679843,1.09257488
OCCOCCO,CC(C)(C)C(C)=O,1.83491626,0.37724069
OCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.59945898,0.58542057
OCCOCCO,COC(C)(C)OC,1.57881983,0.33869241
OCCOCCO,CCC1(CC)CCCCC1,7.30298207,1.16575643
OCCOCCO,CCOC(C)(OCC)OCC,1.50120172,0.35794953
OCCOCCO,CC(C)CCCC(O)(C)CC,1.37969604,0.34414722
OCCOCCO,CCC(C)C,7.45748468,1.073086
OCCOCCO,CC(=C)C=C,5.45652071,0.72211428
OCCOCCO,CC(=C)C#C,2.52481685,0.29511108
OCCOCCO,OCC(C)C,0.21571829,0.06443823
OCCOCCO,CC(C)C=O,2.10064048,0.37720029
OCCOCCO,CC(=C)C=O,1.96458385,0.36381774
OCCOCCO,CCC(O)C,0.43801514,0.11321594
OCCOCCO,CCC(C)=O,1.1948205,0.23404139
OCCOCCO,COC(C)=O,1.76441395,0.32107764
OCCOCCO,CC(C)C(C)C,7.41030034,1.10346544
OCCOCCO,CC(C)C(O)=O,-2.79773709,-0.71340776
OCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.71220796,0.58827145
OCCOCCO,OOC(C)(C)C(CC1)CCC1C,-1.10359602,-0.23663603
OCCOCCO,CCOC(C(O)(C)C)=O,1.1494615,0.26905049
OCCOCCO,COC(=O)C(C)=C,2.59490058,0.48580377
OCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.80583095,0.52550739
OCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,2.11225707,0.46972669
OCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,1.6750268,0.36219269
OCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,2.6563871,0.55232397
OCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.99138978,0.62764549
OCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.30582349,0.68877423
OCCOCCO,CC(C)CCOC(=O)c1ccccc1O,4.09785902,0.77019985
OCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,3.82831067,0.7229926
OCCOCCO,O=C2c1ccccc1CO2,2.21769985,0.45902487
OCCOCCO,OCC(O)C(O)C(O)CO,-0.26028002,-0.06080083
OCCOCCO,CCC(CC)C(O)=O,-2.54630466,-0.63980947
OCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.02658647,0.00317866
OCCOCCO,COc1cc(C)ccc1C(C)(C)C,5.42296433,0.88199949
OCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,6.43443982,1.09367512
OCCOCCO,COC(=O)c1ccccc1C,3.21144686,0.61511417
OCCOCCO,CC(=O)c1ccc(C)cc1C,2.18553967,0.47574321
OCCOCCO,Cc2c1ccccc1ccc2,4.96599013,0.76218518
OCCOCCO,O=C2CCCCC2C1CCCCC1,2.60926561,0.56530976
OCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,2.07720763,0.46046363
OCCOCCO,CC(C=O)c1ccccc1,2.8704902,0.54388838
OCCOCCO,CCC(O)c1ccccc1,-0.27462758,-0.04727126
OCCOCCO,CCOC(=O)c1ccccc1,3.10303624,0.60389387
OCCOCCO,CC(OC(C)c2ccccc2)c1ccccc1,3.19756263,0.677498
OCCOCCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.21538789,0.65689693
OCCOCCO,CCOC(=O)c(cc1)ccc1C,3.12203344,0.62239999
OCCOCCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-7.06718165,-0.14127951
OCCOCCO,O=C(OCCc1ccccc1)c2ccccc2,3.47834416,0.68596515
OCCOCCO,CCCc2cc1OCOc1cc2,3.9994165,0.66561381
OCCOCCO,COC(C1CCC(CC1)C(OC)=O)=O,2.08714762,0.44507063
OCCOCCO,CCCC1CCCCC1=O,2.17275802,0.47051048
OCCOCCO,CCOc1ccc(C=CC)cc1O,-0.26617088,0.01821382
OCCOCCO,CCCC(O)C(CO)CC,0.59415148,0.14869408
OCCOCCO,Cc(ccc1C)cc1C,5.51419357,0.83670078
OCCOCCO,CCOC(=O)C(OCC)=O,2.49190084,0.49272308
OCCOCCO,CC1OC(C(C)OC1=O)=O,1.66293097,0.34125217
OCCOCCO,CCCCC(=O)C(C)=O,3.0933137,0.5715148
OCCOCCO,C=CCOC(=O)C(C)=C,3.07354396,0.58782479
OCCOCCO,C1OC1c2ccccc2,3.17385983,0.56629407
OCCOCCO,CCC(C)CC,7.45739975,1.11810821
OCCOCCO,CCC(CC)=O,1.63169923,0.32992296
OCCOCCO,OCC(CO)=O,-0.17759776,-0.04680901
OCCOCCO,COC(=O)C=C,2.42367773,0.43970142
OCCOCCO,COC(CO)=O,0.08327118,0.02428851
OCCOCCO,CC1CCCC1,7.39049851,1.07964709
OCCOCCO,CC1CCCO1,0.70075753,0.16844744
OCCOCCO,O=C1CCCO1,1.47544462,0.29253941
OCCOCCO,CCCC(C)C(O)=O,-2.57380553,-0.64920661
OCCOCCO,CCOC(C(C)C)=O,2.59684207,0.51513023
OCCOCCO,CCOC(=O)C(C)=C,2.7362528,0.53367753
OCCOCCO,CCOC(C(O)C)=O,0.8834076,0.2087213
OCCOCCO,CC(C)C(OC(C(C)C)=O)=O,3.22955472,0.61548347
OCCOCCO,CC(C)COC(C(C)C)=O,2.99548547,0.61433693
OCCOCCO,CC(C)COC(=O)C(C)=C,3.13662202,0.63047043
OCCOCCO,CCCCOC(C(C)C)=O,3.01325543,0.6173928
OCCOCCO,CCCCOC(=O)C(C)=C,3.06061377,0.62052836
OCCOCCO,CCC(CC)C=O,2.67519008,0.51545901
OCCOCCO,OCC1CCCO1,0.32644421,0.08030142
OCCOCCO,OCc1occc1,-0.62087598,-0.14538721
OCCOCCO,O=Cc1occc1,1.70008397,0.35918443
OCCOCCO,CC(C)(C)c1ccccc1,5.48237878,0.84579774
OCCOCCO,OOC(C)(C)c(cc1)ccc1C(C)C,-0.86034974,-0.19098617
OCCOCCO,CC(C)(C)c(cc1)ccc1C,5.68688646,0.9039136
OCCOCCO,OC1CCC(CC1)C(C)(C)C,0.98989173,0.25231623
OCCOCCO,CC(C)(C)C1CCC(CC1)=O,1.82111744,0.40379003
OCCOCCO,CC(C)c1ccccc1,5.43706486,0.82319189
OCCOCCO,COC(=O)c(ccc1)cc1C,3.11381965,0.60319777
OCCOCCO,OC1CC(CC=C1C)C(C)=C,0.53591836,0.13761119
