SMILES0,SMILES,gamma1,gamma2
OCCOCCOCC,OC(C)C(O)=O,-3.71200941,-1.04212629
OCCOCCOCC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.90066024,0.19208632
OCCOCCOCC,OCC(O)C,-0.44932038,-0.10662532
OCCOCCOCC,O=C1CCO1,1.73573222,0.38052719
OCCOCCOCC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.25455882,0.0656488
OCCOCCOCC,CCOCC,0.53434698,0.12059935
OCCOCCOCC,OCC,-0.35426298,-0.06448867
OCCOCCOCC,CCCCCC=O,0.41511386,0.09048391
OCCOCCOCC,CO,0.026451,0.020296
OCCOCCOCC,OC(C)C,-0.36741674,-0.07359618
OCCOCCOCC,CC(C)=O,0.17138498,0.03749232
OCCOCCOCC,OCCC,-0.68829922,-0.14656541
OCCOCCOCC,OCCCC,-0.62231793,-0.12752913
OCCOCCOCC,OCCCCC,-0.6223345,-0.12634405
OCCOCCOCC,CC1OC1,0.18805696,0.03505186
OCCOCCOCC,CCC(C)(C)C,2.78654425,0.53944228
OCCOCCOCC,CC(C)(C)C(C)=O,0.36088373,0.08179273
OCCOCCOCC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.72756175,0.17970098
OCCOCCOCC,COC(C)(C)OC,0.36808205,0.08554681
OCCOCCOCC,CCC1(CC)CCCCC1,2.76989816,0.58218455
OCCOCCOCC,CCOC(C)(OCC)OCC,0.44681557,0.11571958
OCCOCCOCC,CC(C)CCCC(O)(C)CC,-0.03192614,0.01406407
OCCOCCOCC,CCC(C)C,2.84245512,0.53106593
OCCOCCOCC,CC(=C)C=C,1.21237863,0.19935892
OCCOCCOCC,CC(=C)C#C,-1.29057127,-0.30763219
OCCOCCOCC,OCC(C)C,-1.00847378,-0.21931035
OCCOCCOCC,CC(C)C=O,0.32603213,0.06393317
OCCOCCOCC,CC(=C)C=O,0.47491883,0.10257499
OCCOCCOCC,CCC(O)C,-0.56670225,-0.1224999
OCCOCCOCC,CCC(C)=O,0.15777048,0.03397258
OCCOCCOCC,COC(C)=O,0.40037451,0.08650411
OCCOCCOCC,CC(C)C(C)C,2.82411839,0.54975812
OCCOCCOCC,CC(C)C(O)=O,-4.50148274,-1.23532371
OCCOCCOCC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.60384842,0.14839645
OCCOCCOCC,OOC(C)(C)C(CC1)CCC1C,-3.54629006,-0.91161115
OCCOCCOCC,CCOC(C(O)(C)C)=O,-0.00831185,-6.485e-05
OCCOCCOCC,COC(=O)C(C)=C,0.55313815,0.12046852
OCCOCCOCC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.50026158,-0.13599119
OCCOCCOCC,COc2cccc3c2C(=O)c1ccccc1C3=O,0.71394174,0.1772447
OCCOCCOCC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.55564132,-0.13193736
OCCOCCOCC,CCOC(=O)c1ccccc1C(OCC)=O,0.51922355,0.12536252
OCCOCCOCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.50953376,0.12375318
OCCOCCOCC,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.59723657,0.14621207
OCCOCCOCC,CC(C)CCOC(=O)c1ccccc1O,0.81036441,0.18027272
OCCOCCOCC,Oc2ccccc2C(OCCc1ccccc1)=O,0.62352881,0.13944889
OCCOCCOCC,O=C2c1ccccc1CO2,0.91088738,0.22038574
OCCOCCOCC,OCC(O)C(O)C(O)CO,-0.5399706,-0.13435661
OCCOCCOCC,CCC(CC)C(O)=O,-4.55993481,-1.2397357
OCCOCCOCC,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.11101413,-0.50716581
OCCOCCOCC,COc1cc(C)ccc1C(C)(C)C,1.24188457,0.25456753
OCCOCCOCC,CC2CCC(CC1=C2CCC1C)=C(C)C,2.11051122,0.46810513
OCCOCCOCC,COC(=O)c1ccccc1C,0.70309301,0.15801254
