SMILES0,SMILES,gamma1,gamma2
OCCOCCOCCO,OC(C)C(O)=O,-4.69099373,-1.26143881
OCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.32861824,0.32954817
OCCOCCOCCO,OCC(O)C,-0.67581569,-0.15475364
OCCOCCOCCO,O=C1CCO1,1.14708337,0.25877288
OCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.6060923,0.15170135
OCCOCCOCCO,CCOCC,1.15946141,0.25767335
OCCOCCOCCO,OCC,-0.36040302,-0.06196792
OCCOCCOCCO,CCCCCC=O,0.84856444,0.19317931
OCCOCCOCCO,CO,-0.25435843,-0.03256853
OCCOCCOCCO,OC(C)C,-0.19915074,-0.03217794
OCCOCCOCCO,CC(C)=O,0.12925286,0.02332172
OCCOCCOCCO,OCCC,-0.54431611,-0.10483256
OCCOCCOCCO,OCCCC,-0.3599807,-0.05540363
OCCOCCOCCO,OCCCCC,-0.27448057,-0.02911256
OCCOCCOCCO,CC1OC1,0.36713048,0.06954155
OCCOCCOCCO,CCC(C)(C)C,3.97603399,0.83555635
OCCOCCOCCO,CC(C)(C)C(C)=O,0.77108819,0.17574435
OCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.46904009,0.36512101
OCCOCCOCCO,COC(C)(C)OC,0.85790437,0.19699828
OCCOCCOCCO,CCC1(CC)CCCCC1,3.95971083,0.90320003
OCCOCCOCCO,CCOC(C)(OCC)OCC,1.01961654,0.25671715
OCCOCCOCCO,CC(C)CCCC(O)(C)CC,0.63525624,0.19374046
OCCOCCOCCO,CCC(C)C,4.05144308,0.82031546
OCCOCCOCCO,CC(=C)C=C,1.83184178,0.36946501
OCCOCCOCCO,CC(=C)C#C,-1.2244339,-0.23220594
OCCOCCOCCO,OCC(C)C,-0.77074681,-0.14641315
OCCOCCOCCO,CC(C)C=O,0.59838484,0.12258878
OCCOCCOCCO,CC(=C)C=O,0.62863347,0.136238
OCCOCCOCCO,CCC(O)C,-0.27264302,-0.04490609
OCCOCCOCCO,CCC(C)=O,0.30167184,0.06350535
OCCOCCOCCO,COC(C)=O,0.45254317,0.09657825
OCCOCCOCCO,CC(C)C(C)C,4.02373624,0.84910024
OCCOCCOCCO,CC(C)C(O)=O,-4.99183102,-1.31613612
OCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.24679463,0.31013125
OCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-3.50240632,-0.84011404
OCCOCCOCCO,CCOC(C(O)(C)C)=O,0.3228353,0.08290907
OCCOCCOCCO,COC(=O)C(C)=C,0.90775739,0.20505856
OCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.0802793,-0.02210398
OCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,0.83610765,0.20718757
OCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,0.1610638,0.04896405
OCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,0.76937308,0.19112366
OCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.00574832,0.24975572
OCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,1.21716938,0.29796385
OCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,1.45967812,0.36063193
OCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,1.00871237,0.25330553
OCCOCCOCCO,O=C2c1ccccc1CO2,0.75699434,0.18686997
OCCOCCOCCO,OCC(O)C(O)C(O)CO,-0.90935425,-0.22737652
OCCOCCOCCO,CCC(CC)C(O)=O,-4.85699863,-1.26590448
OCCOCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-1.875634,-0.41965271
OCCOCCOCCO,COc1cc(C)ccc1C(C)(C)C,1.93739939,0.46521976
OCCOCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,3.13165184,0.76183862
OCCOCCOCCO,COC(=O)c1ccccc1C,1.13609741,0.27264188
OCCOCCOCCO,CC(=O)c1ccc(C)cc1C,0.9967023,0.2425921
OCCOCCOCCO,Cc2c1ccccc1ccc2,1.41335553,0.33169145
OCCOCCOCCO,O=C2CCCCC2C1CCCCC1,1.42363321,0.34616561
OCCOCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.62695778,0.1559834
