SMILES0,SMILES,gamma1,gamma2
OCCOCCOCCOCC,OC(C)C(O)=O,-5.47280946,-1.44512787
OCCOCCOCCOCC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.34632238,0.25279564
OCCOCCOCCOCC,OCC(O)C,-0.8349464,-0.18087699
OCCOCCOCCOCC,O=C1CCO1,1.9838946,0.37635245
OCCOCCOCCOCC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.39144544,0.09168981
OCCOCCOCCOCC,CCOCC,0.68114068,0.13929852
OCCOCCOCCOCC,OCC,-0.66765945,-0.10467793
OCCOCCOCCOCC,CCCCCC=O,0.49914054,0.09353351
OCCOCCOCCOCC,CO,-0.26788,-0.01846107
OCCOCCOCCOCC,OC(C)C,-0.61034323,-0.10725867
OCCOCCOCCOCC,CC(C)=O,0.07850294,0.01098754
OCCOCCOCCOCC,OCCC,-1.05937656,-0.19583325
OCCOCCOCCOCC,OCCCC,-0.92011371,-0.16409893
OCCOCCOCCOCC,OCCCCC,-0.88481723,-0.15501034
OCCOCCOCCOCC,CC1OC1,0.11967795,0.01045132
OCCOCCOCCOCC,CCC(C)(C)C,3.82747955,0.64442306
OCCOCCOCCOCC,CC(C)(C)C(C)=O,0.43927834,0.08970066
OCCOCCOCCOCC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.03833354,0.24495574
OCCOCCOCCOCC,COC(C)(C)OC,0.46924616,0.10028744
OCCOCCOCCOCC,CCC1(CC)CCCCC1,3.84865755,0.7282476
OCCOCCOCCOCC,CCOC(C)(OCC)OCC,0.63963433,0.15918308
OCCOCCOCCOCC,CC(C)CCCC(O)(C)CC,0.03800601,0.04942469
OCCOCCOCCOCC,CCC(C)C,3.88842297,0.62430596
OCCOCCOCCOCC,CC(=C)C=C,1.65819177,0.21596814
OCCOCCOCCOCC,CC(=C)C#C,-1.80263112,-0.39328785
OCCOCCOCCOCC,OCC(C)C,-1.4518557,-0.27571528
OCCOCCOCCOCC,CC(C)C=O,0.32578298,0.04826636
OCCOCCOCCOCC,CC(=C)C=O,0.50628967,0.09201526
OCCOCCOCCOCC,CCC(O)C,-0.83527262,-0.15950522
OCCOCCOCCOCC,CCC(C)=O,0.10597185,0.01624655
OCCOCCOCCOCC,COC(C)=O,0.38010115,0.06705793
OCCOCCOCCOCC,CC(C)C(C)C,3.87994562,0.65813395
OCCOCCOCCOCC,CC(C)C(O)=O,-6.33781113,-1.55316299
OCCOCCOCCOCC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.88442316,0.20779148
OCCOCCOCCOCC,OOC(C)(C)C(CC1)CCC1C,-4.83363218,-1.07417306
OCCOCCOCCOCC,CCOC(C(O)(C)C)=O,-0.03522772,-0.00855347
OCCOCCOCCOCC,COC(=O)C(C)=C,0.66992305,0.126422
OCCOCCOCCOCC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-0.62045069,-0.19332935
OCCOCCOCCOCC,COc2cccc3c2C(=O)c1ccccc1C3=O,0.92869963,0.22345597
