SMILES0,SMILES,gamma1,gamma2
OCCOCCOCCOCCO,OC(C)C(O)=O,-6.38585483,-1.69315945
OCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.48587174,0.12749372
OCCOCCOCCOCCO,OCC(O)C,-1.39758359,-0.33021345
OCCOCCOCCOCCO,O=C1CCO1,0.74691614,0.13649664
OCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.03978648,-0.00601602
OCCOCCOCCOCCO,CCOCC,0.92389087,0.19997184
OCCOCCOCCOCCO,OCC,-1.01037612,-0.20700784
OCCOCCOCCOCCO,CCCCCC=O,0.24811278,0.05878882
OCCOCCOCCOCCO,CO,-0.81670939,-0.15466102
OCCOCCOCCOCCO,OC(C)C,-0.84547435,-0.18139653
OCCOCCOCCOCCO,CC(C)=O,-0.18064845,-0.04043856
OCCOCCOCCOCCO,OCCC,-1.34778065,-0.29414788
OCCOCCOCCOCCO,OCCCC,-1.16296034,-0.24377267
OCCOCCOCCOCCO,OCCCCC,-1.11183693,-0.2262092
OCCOCCOCCOCCO,CC1OC1,-0.11374887,-0.02569124
OCCOCCOCCOCCO,CCC(C)(C)C,3.4051958,0.7209902
OCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.36429169,0.08543449
OCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,0.99731352,0.25415477
OCCOCCOCCOCCO,COC(C)(C)OC,0.56725837,0.13029677
OCCOCCOCCOCCO,CCC1(CC)CCCCC1,3.43279758,0.7991532
OCCOCCOCCOCCO,CCOC(C)(OCC)OCC,0.83365939,0.21053074
OCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-0.08467158,0.02809443
OCCOCCOCCOCCO,CCC(C)C,3.47666409,0.70520564
OCCOCCOCCOCCO,CC(=C)C=C,0.91617081,0.18693422
OCCOCCOCCOCCO,CC(=C)C#C,-2.71947395,-0.52679253
OCCOCCOCCOCCO,OCC(C)C,-1.72982599,-0.37468048
OCCOCCOCCOCCO,CC(C)C=O,0.00319752,-0.00056929
OCCOCCOCCOCCO,CC(=C)C=O,0.09421008,0.02091533
OCCOCCOCCOCCO,CCC(O)C,-1.05011264,-0.23163509
OCCOCCOCCOCCO,CCC(C)=O,-0.05601112,-0.01301437
OCCOCCOCCOCCO,COC(C)=O,-0.09367607,-0.02155754
OCCOCCOCCOCCO,CC(C)C(C)C,3.46409056,0.73676523
OCCOCCOCCOCCO,CC(C)C(O)=O,-6.78238361,-1.82327782
OCCOCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.71406819,0.18471014
OCCOCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-5.19115286,-1.29775315
OCCOCCOCCOCCO,CCOC(C(O)(C)C)=O,-0.24584364,-0.05363071
OCCOCCOCCOCCO,COC(=O)C(C)=C,0.26636358,0.06212194
OCCOCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.27414251,-0.32226206
OCCOCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,0.36172251,0.08981822
OCCOCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.88611385,-0.19757444
OCCOCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,0.12257905,0.03211909
OCCOCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.33966441,0.08904341
OCCOCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.55008901,0.1422464
OCCOCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,0.63974313,0.16708792
OCCOCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,0.14725939,0.04235053
OCCOCCOCCOCCO,O=C2c1ccccc1CO2,0.23828846,0.05364123
OCCOCCOCCOCCO,OCC(O)C(O)C(O)CO,-1.75729184,-0.43765757
OCCOCCOCCOCCO,CCC(CC)C(O)=O,-6.67690456,-1.77955923
OCCOCCOCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-3.27120816,-0.758709
OCCOCCOCCOCCO,COc1cc(C)ccc1C(C)(C)C,1.12040835,0.28118573
OCCOCCOCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,2.51188045,0.63350302
OCCOCCOCCOCCO,COC(=O)c1ccccc1C,0.4165186,0.10391675
OCCOCCOCCOCCO,CC(=O)c1ccc(C)cc1C,0.50472596,0.12560704
OCCOCCOCCOCCO,Cc2c1ccccc1ccc2,0.52490493,0.12916503
OCCOCCOCCOCCO,O=C2CCCCC2C1CCCCC1,1.01320484,0.25309094
OCCOCCOCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.04285366,0.01094749
OCCOCCOCCOCCO,CC(C=O)c1ccccc1,0.05574383,0.01407132
OCCOCCOCCOCCO,CCC(O)c1ccccc1,-3.82863281,-0.88911945
OCCOCCOCCOCCO,CCOC(=O)c1ccccc1,0.44387127,0.11075324
OCCOCCOCCOCCO,CC(OC(C)c2ccccc2)c1ccccc1,0.51640098,0.13588966
OCCOCCOCCOCCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.06022581,0.01652889
OCCOCCOCCOCCO,CCOC(=O)c(cc1)ccc1C,0.58125608,0.14610503
OCCOCCOCCOCCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,0.19474625,0.06186543
OCCOCCOCCOCCO,O=C(OCCc1ccccc1)c2ccccc2,0.32073251,0.08408881
OCCOCCOCCOCCO,CCCc2cc1OCOc1cc2,-0.28393668,-0.06569839
OCCOCCOCCOCCO,COC(C1CCC(CC1)C(OC)=O)=O,0.03521908,0.00840251
OCCOCCOCCOCCO,CCCC1CCCCC1=O,0.74520756,0.18436194
OCCOCCOCCOCCO,CCOc1ccc(C=CC)cc1O,-5.1792623,-1.0582746
OCCOCCOCCOCCO,CCCC(O)C(CO)CC,-0.52161066,-0.1143263
OCCOCCOCCOCCO,Cc(ccc1C)cc1C,1.17238249,0.27601963
OCCOCCOCCOCCO,CCOC(=O)C(OCC)=O,0.01816123,0.00454415
OCCOCCOCCOCCO,CC1OC(C(C)OC1=O)=O,-1.17806198,-0.30599613
OCCOCCOCCOCCO,CCCCC(=O)C(C)=O,0.06639159,0.01583454
OCCOCCOCCOCCO,C=CCOC(=O)C(C)=C,0.4312552,0.10595566
OCCOCCOCCOCCO,C1OC1c2ccccc2,0.07740326,0.01887304
OCCOCCOCCOCCO,CCC(C)CC,3.52860342,0.75606784
OCCOCCOCCOCCO,CCC(CC)=O,0.18557804,0.04242435
OCCOCCOCCOCCO,OCC(CO)=O,-1.74091442,-0.48435425
OCCOCCOCCOCCO,COC(=O)C=C,0.04651735,0.01106823
OCCOCCOCCOCCO,COC(CO)=O,-1.68226538,-0.42265324
OCCOCCOCCOCCO,CC1CCCC1,3.41274903,0.70383981
OCCOCCOCCOCCO,CC1CCCO1,0.5734872,0.12873494
OCCOCCOCCOCCO,O=C1CCCO1,0.15155401,0.03441697
OCCOCCOCCOCCO,CCCC(C)C(O)=O,-6.72190771,-1.79978699
OCCOCCOCCOCCO,CCOC(C(C)C)=O,0.53489348,0.1276197
OCCOCCOCCOCCO,CCOC(=O)C(C)=C,0.55635057,0.13247728
OCCOCCOCCOCCO,CCOC(C(O)C)=O,-0.75892531,-0.17826004
OCCOCCOCCOCCO,CC(C)C(OC(C(C)C)=O)=O,0.3506351,0.08775995
