SMILES0,SMILES,gamma1,gamma2
OCCOCCOCCOCCOCCO,OC(C)C(O)=O,-7.87983213,-1.85297333
OCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.68605877,0.1767381
OCCOCCOCCOCCOCCO,OCC(O)C,-1.45289005,-0.31317833
OCCOCCOCCOCCOCCO,O=C1CCO1,1.3722975,0.23318424
OCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.07322279,0.02138798
OCCOCCOCCOCCOCCO,CCOCC,0.8081235,0.16228775
OCCOCCOCCOCCOCCO,OCC,-1.10326139,-0.19292124
OCCOCCOCCOCCOCCO,CCCCCC=O,0.21565901,0.04835556
OCCOCCOCCOCCOCCO,CO,-0.83176658,-0.12403703
OCCOCCOCCOCCOCCO,OC(C)C,-0.92556929,-0.17731962
OCCOCCOCCOCCOCCO,CC(C)=O,-0.21538599,-0.04765709
OCCOCCOCCOCCOCCO,OCCC,-1.50031474,-0.29058848
OCCOCCOCCOCCOCCO,OCCCC,-1.27564742,-0.24113192
OCCOCCOCCOCCOCCO,OCCCCC,-1.20519428,-0.22292047
OCCOCCOCCOCCOCCO,CC1OC1,-0.20426756,-0.04496963
OCCOCCOCCOCCOCCO,CCC(C)(C)C,3.57149757,0.70751978
OCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.31758647,0.07064902
OCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.04530615,0.26171512
OCCOCCOCCOCCOCCO,COC(C)(C)OC,0.49033494,0.10640466
OCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,3.64938707,0.81267406
OCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,0.81544235,0.20159895
OCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-0.0221635,0.04953036
OCCOCCOCCOCCOCCO,CCC(C)C,3.63211008,0.68392971
OCCOCCOCCOCCOCCO,CC(=C)C=C,0.90392896,0.1704296
OCCOCCOCCOCCOCCO,CC(=C)C#C,-2.96788035,-0.52627427
OCCOCCOCCOCCOCCO,OCC(C)C,-1.94146139,-0.37789713
OCCOCCOCCOCCOCCO,CC(C)C=O,-0.05900061,-0.01494661
OCCOCCOCCOCCOCCO,CC(=C)C=O,0.17600269,0.0330406
OCCOCCOCCOCCOCCO,CCC(O)C,-1.15737797,-0.23261892
OCCOCCOCCOCCOCCO,CCC(C)=O,-0.11563811,-0.02667476
OCCOCCOCCOCCOCCO,COC(C)=O,-0.03693968,-0.01091373
OCCOCCOCCOCCOCCO,CC(C)C(C)C,3.63859299,0.72502282
OCCOCCOCCOCCOCCO,CC(C)C(O)=O,-8.44288194,-1.91960417
OCCOCCOCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,0.77818817,0.19937716
OCCOCCOCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-6.08005296,-1.3290972
OCCOCCOCCOCCOCCO,CCOC(C(O)(C)C)=O,-0.24333474,-0.05080072
OCCOCCOCCOCCOCCO,COC(=O)C(C)=C,0.33903887,0.07501042
OCCOCCOCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.2146609,-0.30218057
OCCOCCOCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,0.75572711,0.18774247
OCCOCCOCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.83330246,-0.15327638
OCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,0.3188018,0.08186601
OCCOCCOCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.45874742,0.11912957
OCCOCCOCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.65610372,0.17016164
OCCOCCOCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,0.75019334,0.19144623
OCCOCCOCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,0.34041754,0.0901673
OCCOCCOCCOCCOCCO,O=C2c1ccccc1CO2,0.67846187,0.14597145
OCCOCCOCCOCCOCCO,OCC(O)C(O)C(O)CO,-1.70161359,-0.41904636
OCCOCCOCCOCCOCCO,CCC(CC)C(O)=O,-8.23940787,-1.87549963
