SMILES0,SMILES,gamma1,gamma2
OCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-16.18620115,-3.74593562
OCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.88309029,0.44831441
OCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-5.09111033,-0.98889763
OCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,2.30009635,0.23646504
OCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.24255545,0.22099057
OCCOCCOCCOCCOCCOCCOCCO,CCOCC,2.17291803,0.2691987
OCCOCCOCCOCCOCCOCCOCCO,OCC,-4.30996632,-0.62471303
OCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,1.40285097,0.15352835
OCCOCCOCCOCCOCCOCCOCCO,CO,-4.17413772,-0.58897507
OCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-3.65061204,-0.53812742
OCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,0.10579265,-0.04093862
OCCOCCOCCOCCOCCOCCOCCO,OCCC,-4.94556186,-0.75161628
OCCOCCOCCOCCOCCOCCOCCO,OCCCC,-4.4292154,-0.65582878
OCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-4.26668867,-0.61892759
OCCOCCOCCOCCOCCOCCOCCO,CC1OC1,0.42589828,-0.01915598
OCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,7.85004432,0.98019134
OCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,1.42520228,0.17685041
OCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.95114197,0.54187698
OCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.64116064,0.21964571
OCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,7.99270434,1.20368853
OCCOCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,2.17854729,0.39924512
OCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-1.50994098,-0.05486472
OCCOCCOCCOCCOCCOCCOCCO,CCC(C)C,7.93938332,0.92261858
OCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=C,3.45602864,0.29691205
OCCOCCOCCOCCOCCOCCOCCO,CC(=C)C#C,-4.49827769,-0.64855749
OCCOCCOCCOCCOCCOCCOCCO,OCC(C)C,-5.59842029,-0.83927746
OCCOCCOCCOCCOCCOCCOCCO,CC(C)C=O,0.89241913,0.04404127
OCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=O,0.96210347,0.07533044
OCCOCCOCCOCCOCCOCCOCCO,CCC(O)C,-3.96400281,-0.58472453
OCCOCCOCCOCCOCCOCCOCCO,CCC(C)=O,0.41969577,0.0073036
OCCOCCOCCOCCOCCOCCOCCO,COC(C)=O,0.63987832,0.02480751
OCCOCCOCCOCCOCCOCCOCCO,CC(C)C(C)C,7.95701356,1.00443279
OCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)=O,-17.05600068,-3.36223516
OCCOCCOCCOCCOCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.57575833,0.48684526
OCCOCCOCCOCCOCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-13.00826096,-2.1287287
OCCOCCOCCOCCOCCOCCOCCO,CCOC(C(O)(C)C)=O,-0.31597517,-0.04331508
OCCOCCOCCOCCOCCOCCOCCO,COC(=O)C(C)=C,1.55487288,0.1725667
OCCOCCOCCOCCOCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.32473213,-0.38722167
OCCOCCOCCOCCOCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,1.68687861,0.32415215
OCCOCCOCCOCCOCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-3.01269584,-0.27638944
OCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,1.5756442,0.25545053
OCCOCCOCCOCCOCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.09243681,0.38310464
OCCOCCOCCOCCOCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.5855048,0.51976077
OCCOCCOCCOCCOCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,2.73893749,0.43704576
OCCOCCOCCOCCOCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,1.96773658,0.29406817
OCCOCCOCCOCCOCCOCCOCCO,O=C2c1ccccc1CO2,1.31092756,0.17705053
OCCOCCOCCOCCOCCOCCOCCO,OCC(O)C(O)C(O)CO,-5.06862626,-1.14428864
OCCOCCOCCOCCOCCOCCOCCO,CCC(CC)C(O)=O,-16.82837871,-3.28822807
OCCOCCOCCOCCOCCOCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-8.15037055,-1.43367444
OCCOCCOCCOCCOCCOCCOCCO,COc1cc(C)ccc1C(C)(C)C,3.95056538,0.57571568
OCCOCCOCCOCCOCCOCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,6.46503136,1.11979705
OCCOCCOCCOCCOCCOCCOCCO,COC(=O)c1ccccc1C,2.09826326,0.29014407
OCCOCCOCCOCCOCCOCCOCCO,CC(=O)c1ccc(C)cc1C,1.88984459,0.30145057
OCCOCCOCCOCCOCCOCCOCCO,Cc2c1ccccc1ccc2,2.83443708,0.33112801
OCCOCCOCCOCCOCCOCCOCCO,O=C2CCCCC2C1CCCCC1,2.84110673,0.49062009
OCCOCCOCCOCCOCCOCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.25248335,0.21777596
OCCOCCOCCOCCOCCOCCOCCO,CC(C=O)c1ccccc1,1.4282743,0.15955526
OCCOCCOCCOCCOCCOCCOCCO,CCC(O)c1ccccc1,-9.19683768,-1.45487663
OCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1,2.10318685,0.30256234
OCCOCCOCCOCCOCCOCCOCCO,CC(OC(C)c2ccccc2)c1ccccc1,2.54418073,0.42185473
OCCOCCOCCOCCOCCOCCOCCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.65434159,0.29448541
OCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c(cc1)ccc1C,2.37470561,0.36938409
OCCOCCOCCOCCOCCOCCOCCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.75001897,0.23602211
OCCOCCOCCOCCOCCOCCOCCO,O=C(OCCc1ccccc1)c2ccccc2,2.20329138,0.35868282
OCCOCCOCCOCCOCCOCCOCCO,CCCc2cc1OCOc1cc2,1.05264355,0.03432588
OCCOCCOCCOCCOCCOCCOCCO,COC(C1CCC(CC1)C(OC)=O)=O,1.21218546,0.18307119
OCCOCCOCCOCCOCCOCCOCCO,CCCC1CCCCC1=O,2.20411185,0.35321284
OCCOCCOCCOCCOCCOCCOCCO,CCOc1ccc(C=CC)cc1O,-11.71810919,-1.52409947
OCCOCCOCCOCCOCCOCCOCCO,CCCC(O)C(CO)CC,-2.71428154,-0.43486299
