SMILES0,SMILES,gamma1,gamma2
OCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-16.91511509,-3.92780809
OCCOCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,2.1397755,0.39028253
OCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-5.41005797,-1.07748784
OCCOCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,2.0482173,0.17975118
OCCOCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,0.94654323,0.16055757
OCCOCCOCCOCCOCCOCCOCCOCCO,CCOCC,2.12896851,0.24142688
OCCOCCOCCOCCOCCOCCOCCOCCO,OCC,-4.62016533,-0.69907972
OCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,1.11135568,0.10841527
OCCOCCOCCOCCOCCOCCOCCOCCO,CO,-4.46715291,-0.6593843
OCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-3.96253641,-0.61202009
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-0.10532649,-0.08425502
OCCOCCOCCOCCOCCOCCOCCOCCO,OCCC,-5.28431634,-0.83687831
OCCOCCOCCOCCOCCOCCOCCOCCO,OCCCC,-4.75916931,-0.73939913
OCCOCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-4.59887515,-0.70263008
OCCOCCOCCOCCOCCOCCOCCOCCO,CC1OC1,0.14307323,-0.0659837
OCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,7.16178933,0.96642612
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,1.26194992,0.14056908
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.8028928,0.51938687
OCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.56079288,0.18946285
OCCOCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,7.35354651,1.20596455
OCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,2.19843261,0.38419625
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-1.81374515,-0.11034924
OCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)C,7.23664035,0.90507945
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=C,2.55550779,0.24596666
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C#C,-5.47496458,-0.72906587
OCCOCCOCCOCCOCCOCCOCCOCCO,OCC(C)C,-5.992675,-0.93201131
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C=O,0.55895312,-0.00476052
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=O,0.68261007,0.02780084
OCCOCCOCCOCCOCCOCCOCCOCCO,CCC(O)C,-4.30513519,-0.66334093
OCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)=O,0.22712245,-0.03423456
OCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)=O,0.33327044,-0.02719799
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(C)C,7.27392743,0.99197849
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)=O,-17.77693243,-3.59110863
OCCOCCOCCOCCOCCOCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,2.36024356,0.45553084
OCCOCCOCCOCCOCCOCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-13.64229316,-2.31550358
OCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C(O)(C)C)=O,-0.69520425,-0.09523715
OCCOCCOCCOCCOCCOCCOCCOCCO,COC(=O)C(C)=C,1.2228907,0.12403761
OCCOCCOCCOCCOCCOCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.97490048,-0.48440159
OCCOCCOCCOCCOCCOCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,1.5375321,0.28590857
OCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-3.48904644,-0.38115508
OCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,1.24343812,0.20020131
OCCOCCOCCOCCOCCOCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,1.74462426,0.33342808
OCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.22311871,0.47593679
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,2.09523994,0.38820122
OCCOCCOCCOCCOCCOCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,1.36392631,0.22713524
OCCOCCOCCOCCOCCOCCOCCOCCO,O=C2c1ccccc1CO2,1.09194956,0.12508234
OCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C(O)C(O)CO,-5.51063111,-1.26203848
OCCOCCOCCOCCOCCOCCOCCOCCO,CCC(CC)C(O)=O,-17.50779239,-3.52189384
OCCOCCOCCOCCOCCOCCOCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-8.73646641,-1.57567977
OCCOCCOCCOCCOCCOCCOCCOCCO,COc1cc(C)ccc1C(C)(C)C,3.17880106,0.53469763
OCCOCCOCCOCCOCCOCCOCCOCCO,CC2CCC(CC1=C2CCC1C)=C(C)C,5.80174921,1.11769337
OCCOCCOCCOCCOCCOCCOCCOCCO,COC(=O)c1ccccc1C,1.69422879,0.24079932
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(=O)c1ccc(C)cc1C,1.71065495,0.26497454
OCCOCCOCCOCCOCCOCCOCCOCCO,Cc2c1ccccc1ccc2,2.02769115,0.27503965
OCCOCCOCCOCCOCCOCCOCCOCCO,O=C2CCCCC2C1CCCCC1,2.72451166,0.47026566
OCCOCCOCCOCCOCCOCCOCCOCCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,1.01494851,0.1646667
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C=O)c1ccccc1,0.99488847,0.10084967
OCCOCCOCCOCCOCCOCCOCCOCCO,CCC(O)c1ccccc1,-9.88454966,-1.60389818
OCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1,1.73529202,0.25508217
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(OC(C)c2ccccc2)c1ccccc1,2.08050692,0.37070146
OCCOCCOCCOCCOCCOCCOCCOCCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.23056246,0.22802354
OCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c(cc1)ccc1C,2.03516823,0.32632874
OCCOCCOCCOCCOCCOCCOCCOCCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-0.58124045,0.24238235
