SMILES0,SMILES,gamma1,gamma2
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-18.92076021,-4.45115206
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,0.89324745,0.20290271
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-6.36050225,-1.26873115
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,0.97919969,0.04498266
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.15149274,-0.03566267
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOCC,1.23727831,0.15332175
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC,-5.55446841,-0.82001272
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,-0.02265087,-0.02335346
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,CO,-5.42302859,-0.78333413
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-4.81055132,-0.72336643
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-1.00137853,-0.17844601
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCC,-6.29792524,-0.98018372
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCC,-5.72847863,-0.87896789
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-5.56554413,-0.84755137
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1OC1,-0.92670598,-0.16601531
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,6.26615635,0.85894426
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,0.2628841,0.02812676
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.79986671,0.37389819
OCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,0.6631307,0.08958853
