SMILES0,SMILES,gamma1,gamma2
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-21.56035443,-3.53376179
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.29991732,0.61478924
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-5.94670988,-0.89807521
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,3.12580837,0.22166971
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.88390705,0.34392548
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOCC,2.68595481,0.27344801
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC,-4.90187103,-0.57950437
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,1.84680462,0.17591383
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CO,-5.04687613,-0.5513594
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-3.83233356,-0.4912669
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-0.17096033,-0.0928192
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCC,-5.39393019,-0.66999405
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCC,-4.49996615,-0.55549343
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-4.08985907,-0.4894667
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1OC1,0.27634496,-0.06422804
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,10.76104456,1.09907187
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,1.78111188,0.19200862
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,4.04653701,0.68716843
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,2.0226729,0.23247499
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,11.0374994,1.41477198
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,2.82820629,0.47615729
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,-0.17954445,0.15662034
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)C,10.84176617,1.01677685
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=C,4.78888162,0.31477336
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C#C,-5.17780033,-0.67989377
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(C)C,-6.0160403,-0.73070384
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C=O,1.03156649,0.02481911
