SMILES0,SMILES,gamma1,gamma2
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-18.92888082,-2.93184699
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.9377971,0.50152574
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-4.36175187,-0.59301168
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,2.77068324,0.17118777
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.25060496,0.19948222
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOCC,1.99445556,0.1683418
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC,-3.60290527,-0.37609675
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,1.09126759,0.06025892
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CO,-3.37721337,-0.30657167
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-2.88802598,-0.34127437
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-0.92251811,-0.18719804
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCC,-4.2710926,-0.48331945
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCC,-3.54552848,-0.39364236
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-3.22278553,-0.33983676
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1OC1,-0.55088909,-0.16059609
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,11.08666498,0.99404354
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,1.03884018,0.07697131
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.48972378,0.55714434
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.33281991,0.12182558
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,11.39863003,1.30104734
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C)(OCC)OCC,2.24779562,0.3538057
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCCC(O)(C)CC,0.23388134,0.20094579
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)C,11.18245677,0.91452755
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=C,4.36361469,0.21866348
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C#C,-6.06342926,-0.71243499
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(C)C,-5.08050535,-0.56638131
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C=O,0.1998268,-0.08085938
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(=C)C=O,0.45539466,-0.03252308
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(O)C,-3.20231354,-0.38448419
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)=O,-0.43629969,-0.12643629
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)=O,-0.08816101,-0.10022436
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(C)C,11.2489429,1.02280191
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)=O,-19.8043116,-2.59664248
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,3.00961881,0.50711877
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OOC(C)(C)C(CC1)CCC1C,-14.28428267,-1.57126012
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(C(O)(C)C)=O,-0.42936717,-0.08919033
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(=O)C(C)=C,1.35635344,0.0889373
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,-1.75294599,-0.44939261
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COc2cccc3c2C(=O)c1ccccc1C3=O,2.08643904,0.36286442
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.84961539,0.30826987
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOC(=O)c1ccccc1C(OCC)=O,1.67890517,0.23631656
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.44234042,0.4024614
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.20979204,0.59554125
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)CCOC(=O)c1ccccc1O,3.51981391,0.45615386
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Oc2ccccc2C(OCCc1ccccc1)=O,2.50870821,0.31016917
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C2c1ccccc1CO2,1.50709626,0.14700644
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C(O)C(O)CO,-4.47398992,-0.8051246
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(CC)C(O)=O,-19.29488874,-2.48511022
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-8.07128516,-0.98634582
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COc1cc(C)ccc1C(C)(C)C,5.32800032,0.59420818
