SMILES0,SMILES,gamma1,gamma2
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C(O)=O,-23.01178023,-3.5639075
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.67613976,0.44076097
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC(O)C,-6.49314179,-0.90165235
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C1CCO1,2.59570435,0.09898802
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.13088515,0.14786728
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCOCC,2.36381471,0.16718549
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCC,-5.48852745,-0.57898283
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCC=O,1.0808076,0.02971978
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CO,-5.28803431,-0.51746364
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OC(C)C,-4.53860352,-0.52324707
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)=O,-0.951761,-0.20011435
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCC,-6.2905308,-0.7039306
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCC,-5.41212761,-0.60265305
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,OCCCCC,-5.04131829,-0.54831841
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC1OC1,-0.58524273,-0.17922463
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC(C)(C)C,11.57238103,0.98358665
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)(C)C(C)=O,1.18505068,0.06709753
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,3.79083753,0.55652478
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,COC(C)(C)OC,1.5816865,0.12054457
OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCC1(CC)CCCCC1,11.92900484,1.30792969
