SMILES0,SMILES,gamma1,gamma2
OCOOCO,OC(C)C(O)=O,0.100564,0.02724799
OCOOCO,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.96146542,1.14104589
OCOOCO,OCC(O)C,-0.3550186,-0.0924059
OCOOCO,O=C1CCO1,0.81855554,0.12570712
OCOOCO,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.57382218,0.30974896
OCOOCO,CCOCC,-0.35277989,-0.03602823
OCOOCO,OCC,-0.49741369,-0.1175742
OCOOCO,CCCCCC=O,1.24752522,0.27882957
OCOOCO,CO,-0.98381666,-0.23946758
OCOOCO,OC(C)C,-0.29072464,-0.06777408
OCOOCO,CC(C)=O,-1.74692337,-0.43742844
OCOOCO,OCCC,0.20028616,0.05305161
OCOOCO,OCCCC,0.43165154,0.10832244
OCOOCO,OCCCCC,0.72797671,0.17461922
OCOOCO,CC1OC1,-0.64232694,-0.1449199
OCOOCO,CCC(C)(C)C,10.4719774,1.57030791
OCOOCO,CC(C)(C)C(C)=O,0.01848017,-0.0053591
OCOOCO,CC(C)C(O)C(C)(C)COC(C(C)C)=O,1.20215269,0.26913927
OCOOCO,COC(C)(C)OC,-0.48886073,-0.1325006
OCOOCO,CCC1(CC)CCCCC1,10.37499389,1.61941576
OCOOCO,CCOC(C)(OCC)OCC,-0.75510181,-0.21379846
OCOOCO,CC(C)CCCC(O)(C)CC,1.18920635,0.23443366
OCOOCO,CCC(C)C,10.58774294,1.55783031
OCOOCO,CC(=C)C=C,7.78355666,1.11498763
OCOOCO,CC(=C)C#C,5.6246999,0.81184884
OCOOCO,OCC(C)C,0.77193355,0.18886147
OCOOCO,CC(C)C=O,0.64832586,0.1320465
OCOOCO,CC(=C)C=O,0.29160817,0.05329885
OCOOCO,CCC(O)C,0.35842222,0.09024036
OCOOCO,CCC(C)=O,-1.07378487,-0.27163785
OCOOCO,COC(C)=O,-0.0603195,-0.03886765
OCOOCO,CC(C)C(C)C,10.51783184,1.58096776
OCOOCO,CC(C)C(O)=O,0.88309767,0.21976402
OCOOCO,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.64061145,0.31067389
OCOOCO,OOC(C)(C)C(CC1)CCC1C,2.39997343,0.55581293
OCOOCO,CCOC(C(O)(C)C)=O,-0.40625109,-0.12452484
OCOOCO,COC(=O)C(C)=C,1.59045106,0.33430413
OCOOCO,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.25717611,0.83949333
OCOOCO,COc2cccc3c2C(=O)c1ccccc1C3=O,0.57399443,0.12051712
OCOOCO,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.53145203,0.41470151
OCOOCO,CCOC(=O)c1ccccc1C(OCC)=O,1.86182843,0.39599801
OCOOCO,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.51888141,0.50804363
OCOOCO,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,3.089766,0.58990701
OCOOCO,CC(C)CCOC(=O)c1ccccc1O,4.68544424,0.93728779
OCOOCO,Oc2ccccc2C(OCCc1ccccc1)=O,4.40100676,0.87493215
OCOOCO,O=C2c1ccccc1CO2,0.74164861,0.16150443
OCOOCO,OCC(O)C(O)C(O)CO,-0.71259932,-0.17550861
OCOOCO,CCC(CC)C(O)=O,1.43524005,0.34732808
OCOOCO,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,1.54978394,0.32579063
OCOOCO,COc1cc(C)ccc1C(C)(C)C,7.81866968,1.25608936
OCOOCO,CC2CCC(CC1=C2CCC1C)=C(C)C,8.87987057,1.48072766
OCOOCO,COC(=O)c1ccccc1C,2.76108054,0.59553344
OCOOCO,CC(=O)c1ccc(C)cc1C,0.64181994,0.15226612
OCOOCO,Cc2c1ccccc1ccc2,7.08518694,1.10717832
OCOOCO,O=C2CCCCC2C1CCCCC1,1.23401328,0.25525128
OCOOCO,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,0.72742917,0.14072948
OCOOCO,CC(C=O)c1ccccc1,2.17953245,0.47167741
OCOOCO,CCC(O)c1ccccc1,1.39047923,0.34242027
OCOOCO,CCOC(=O)c1ccccc1,2.54397062,0.54583757
OCOOCO,CC(OC(C)c2ccccc2)c1ccccc1,2.21074909,0.58650359
OCOOCO,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,3.25980117,0.65374381
OCOOCO,CCOC(=O)c(cc1)ccc1C,2.4946391,0.53520983
OCOOCO,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-16.26835025,-0.97986216
OCOOCO,O=C(OCCc1ccccc1)c2ccccc2,3.38127484,0.70524791
OCOOCO,CCCc2cc1OCOc1cc2,5.60208392,0.99161709
OCOOCO,COC(C1CCC(CC1)C(OC)=O)=O,0.76715934,0.15630565
OCOOCO,CCCC1CCCCC1=O,0.53083411,0.09391476
OCOOCO,CCOc1ccc(C=CC)cc1O,3.01938825,0.66782275
OCOOCO,CCCC(O)C(CO)CC,-0.00242883,-0.03652392
OCOOCO,Cc(ccc1C)cc1C,7.75606347,1.20948452
OCOOCO,CCOC(=O)C(OCC)=O,1.3649063,0.28321341
OCOOCO,CC1OC(C(C)OC1=O)=O,1.36829166,0.29308208
OCOOCO,CCCCC(=O)C(C)=O,2.80112134,0.57180987
OCOOCO,C=CCOC(=O)C(C)=C,2.44946387,0.52309153
OCOOCO,C1OC1c2ccccc2,2.68596988,0.56959174
OCOOCO,CCC(C)CC,10.5734901,1.59446557
OCOOCO,CCC(CC)=O,-0.26959183,-0.07989217
