SMILES0,SMILES,gamma1,gamma2
OCc1oc(C=O)cc1,OC(C)C(O)=O,-0.78125419,-0.19473225
OCc1oc(C=O)cc1,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.85620306,0.84288915
OCc1oc(C=O)cc1,OCC(O)C,0.68740196,0.16483738
OCc1oc(C=O)cc1,O=C1CCO1,0.98061686,0.19581413
OCc1oc(C=O)cc1,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,1.62316121,0.35739255
OCc1oc(C=O)cc1,CCOCC,0.79356106,0.23394248
OCc1oc(C=O)cc1,OCC,0.64905561,0.14136339
OCc1oc(C=O)cc1,CCCCCC=O,1.57911146,0.3764835
OCc1oc(C=O)cc1,CO,0.32948138,0.06283637
OCc1oc(C=O)cc1,OC(C)C,0.85021696,0.19566322
OCc1oc(C=O)cc1,CC(C)=O,-0.82955304,-0.19769413
OCc1oc(C=O)cc1,OCCC,1.07153624,0.2490841
OCc1oc(C=O)cc1,OCCCC,1.31364683,0.31564727
OCc1oc(C=O)cc1,OCCCCC,1.56856647,0.3814559
OCc1oc(C=O)cc1,CC1OC1,-0.05559244,-0.00396379
OCc1oc(C=O)cc1,CCC(C)(C)C,8.83088194,1.4026077
OCc1oc(C=O)cc1,CC(C)(C)C(C)=O,0.73453334,0.18837263
OCc1oc(C=O)cc1,CC(C)C(O)C(C)(C)COC(C(C)C)=O,2.00684536,0.49856935
OCc1oc(C=O)cc1,COC(C)(C)OC,0.54928689,0.14443054
OCc1oc(C=O)cc1,CCC1(CC)CCCCC1,8.78181816,1.48658965
OCc1oc(C=O)cc1,CCOC(C)(OCC)OCC,0.57211334,0.14163266
OCc1oc(C=O)cc1,CC(C)CCCC(O)(C)CC,2.17779201,0.51839638
OCc1oc(C=O)cc1,CCC(C)C,8.9070578,1.37357385
OCc1oc(C=O)cc1,CC(=C)C=C,5.75124719,0.81072586
OCc1oc(C=O)cc1,CC(=C)C#C,2.9496731,0.35876553
OCc1oc(C=O)cc1,OCC(C)C,1.37829005,0.32990621
OCc1oc(C=O)cc1,CC(C)C=O,0.95361676,0.21385033
OCc1oc(C=O)cc1,CC(=C)C=O,0.49164689,0.1080944
OCc1oc(C=O)cc1,CCC(O)C,1.24602652,0.29692908
OCc1oc(C=O)cc1,CCC(C)=O,-0.23829904,-0.05156372
OCc1oc(C=O)cc1,COC(C)=O,0.25931892,0.05129107
OCc1oc(C=O)cc1,CC(C)C(C)C,8.87000013,1.41276764
OCc1oc(C=O)cc1,CC(C)C(O)=O,-0.30214957,-0.07072688
OCc1oc(C=O)cc1,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,1.99788716,0.46000432
OCc1oc(C=O)cc1,OOC(C)(C)C(CC1)CCC1C,1.42282821,0.3536828
OCc1oc(C=O)cc1,CCOC(C(O)(C)C)=O,0.46637272,0.11598202
OCc1oc(C=O)cc1,COC(=O)C(C)=C,1.47441369,0.32616049
OCc1oc(C=O)cc1,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,2.52388691,0.5096183
OCc1oc(C=O)cc1,COc2cccc3c2C(=O)c1ccccc1C3=O,0.6567606,0.16169326
OCc1oc(C=O)cc1,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,2.97043154,0.60895973
OCc1oc(C=O)cc1,CCOC(=O)c1ccccc1C(OCC)=O,1.62464069,0.37431826
OCc1oc(C=O)cc1,CCCCOC(=O)c1ccccc1C(OCCCC)=O,2.30978463,0.51905327
OCc1oc(C=O)cc1,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,2.86754124,0.61874381
OCc1oc(C=O)cc1,CC(C)CCOC(=O)c1ccccc1O,3.82438571,0.80429379
