SMILES0,SMILES,gamma1,gamma2
OOC,OC(C)C(O)=O,-0.06736804,-0.01584536
OOC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.4984702,0.66511287
OOC,OCC(O)C,-1.13782589,-0.28057696
OOC,O=C1CCO1,-0.06563497,-0.01586586
OOC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.38659075,-0.0972723
OOC,CCOCC,-1.88680231,-0.56247843
OOC,OCC,-1.37470312,-0.36003463
OOC,CCCCCC=O,-0.55813304,-0.15992249
OOC,CO,-1.4152135,-0.36771338
OOC,OC(C)C,-1.43025219,-0.39007152
OOC,CC(C)=O,-2.19144399,-0.5859579
OOC,OCCC,-1.02792381,-0.27284568
OOC,OCCCC,-0.99875051,-0.27669444
OOC,OCCCCC,-0.88187127,-0.25508407
OOC,CC1OC1,-1.6103631,-0.42572225
OOC,CCC(C)(C)C,5.74047446,0.93916759
OOC,CC(C)(C)C(C)=O,-1.40468993,-0.39736744
OOC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.02226598,-0.33728161
OOC,COC(C)(C)OC,-1.89489835,-0.55541326
OOC,CCC1(CC)CCCCC1,5.62018969,0.94799162
OOC,CCOC(C)(OCC)OCC,-2.25371866,-0.56033255
OOC,CC(C)CCCC(O)(C)CC,-0.94926404,-0.3369108
OOC,CCC(C)C,5.83702344,0.94030933
OOC,CC(=C)C=C,4.14336996,0.69324399
OOC,CC(=C)C#C,2.97287518,0.50620457
OOC,OCC(C)C,-0.71569146,-0.20003712
OOC,CC(C)C=O,-0.78463958,-0.2058845
OOC,CC(=C)C=O,-0.97142327,-0.25378816
OOC,CCC(O)C,-1.0913109,-0.30368095
OOC,CCC(C)=O,-1.92364203,-0.5253757
OOC,COC(C)=O,-1.12260919,-0.29047936
OOC,CC(C)C(C)C,5.76834831,0.94486716
OOC,CC(C)C(O)=O,0.21080966,0.05011824
OOC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.60629307,-0.23292052
OOC,OOC(C)(C)C(CC1)CCC1C,0.77438859,0.16288699
OOC,CCOC(C(O)(C)C)=O,-1.73151352,-0.52153341
OOC,COC(=O)C(C)=C,-0.24971,-0.0757387
OOC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.59568561,0.34964971
OOC,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.98153652,-0.25782544
OOC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.05805575,-0.16515992
OOC,CCOC(=O)c1ccccc1C(OCC)=O,-0.07932785,-0.02604409
OOC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.18230311,0.0067679
OOC,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.47784807,0.04908293
OOC,CC(C)CCOC(=O)c1ccccc1O,1.67347308,0.36675501
OOC,Oc2ccccc2C(OCCc1ccccc1)=O,1.61507194,0.35949052
OOC,O=C2c1ccccc1CO2,-0.56634869,-0.14173363
OOC,OCC(O)C(O)C(O)CO,-1.387407,-0.30691096
OOC,CCC(CC)C(O)=O,0.43898013,0.09860111
OOC,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.23808222,-0.0966536
OOC,COc1cc(C)ccc1C(C)(C)C,4.02749102,0.73821991
