SMILES0,SMILES,gamma1,gamma2
OOC=O,OC(C)C(O)=O,-0.77478188,-0.18220673
OOC=O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,1.88873713,0.47857932
OOC=O,OCC(O)C,-3.03880356,-0.75303538
OOC=O,O=C1CCO1,-1.97508764,-0.51322851
OOC=O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.69278905,-0.34657532
OOC=O,CCOCC,-4.0782024,-1.11521634
OOC=O,OCC,-3.54081939,-0.91786922
OOC=O,CCCCCC=O,-2.0924301,-0.5558465
OOC=O,CO,-3.86261915,-1.00310644
OOC=O,OC(C)C,-3.48948076,-0.92325096
OOC=O,CC(C)=O,-4.805021,-1.29002938
OOC=O,OCCC,-2.8335159,-0.73058333
OOC=O,OCCCC,-2.72842466,-0.71402692
OOC=O,OCCCCC,-2.4971976,-0.66226055
OOC=O,CC1OC1,-3.85457848,-1.01048132
OOC=O,CCC(C)(C)C,4.43504428,1.04107428
OOC=O,CC(C)(C)C(C)=O,-3.38407014,-0.91518867
OOC=O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-2.61949199,-0.73310577
OOC=O,COC(C)(C)OC,-4.02719774,-1.12034706
OOC=O,CCC1(CC)CCCCC1,4.33822551,1.02185652
OOC=O,CCOC(C)(OCC)OCC,-4.57545331,-1.14881791
OOC=O,CC(C)CCCC(O)(C)CC,-2.51024026,-0.74443816
OOC=O,CCC(C)C,4.52476838,1.05117258
OOC=O,CC(=C)C=C,2.54805448,0.64195132
OOC=O,CC(=C)C#C,1.69680504,0.44201283
OOC=O,OCC(C)C,-2.22375095,-0.58293063
OOC=O,CC(C)C=O,-2.53727348,-0.66164366
OOC=O,CC(=C)C=O,-2.93071162,-0.76198508
OOC=O,CCC(O)C,-2.84853084,-0.75296919
OOC=O,CCC(C)=O,-4.25859655,-1.14952745
OOC=O,COC(C)=O,-3.09425675,-0.80839635
OOC=O,CC(C)C(C)C,4.46209929,1.04806616
OOC=O,CC(C)C(O)=O,-0.3029729,-0.06695035
OOC=O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-2.08251218,-0.60640119
OOC=O,OOC(C)(C)C(CC1)CCC1C,0.4365826,0.08580419
OOC=O,CCOC(C(O)(C)C)=O,-3.75524501,-1.07463974
OOC=O,COC(=O)C(C)=C,-1.7418508,-0.4611991
