SMILES0,SMILES,gamma1,gamma2
OOCC,OC(C)C(O)=O,0.11308914,0.0243119
OOCC,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,3.1889265,0.60021701
OOCC,OCC(O)C,-0.90106317,-0.22141695
OOCC,O=C1CCO1,0.39021906,0.09832833
OOCC,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-0.39809996,-0.08617425
OOCC,CCOCC,-1.90364198,-0.53869645
OOCC,OCC,-1.22544823,-0.31912309
OOCC,CCCCCC=O,-0.59287823,-0.1548623
OOCC,CO,-1.11783687,-0.29058291
OOCC,OC(C)C,-1.34906566,-0.3612811
OOCC,CC(C)=O,-2.00816105,-0.53190588
OOCC,OCCC,-0.97795312,-0.25494658
OOCC,OCCCC,-0.98236532,-0.26226283
OOCC,OCCCCC,-0.89555766,-0.24337436
OOCC,CC1OC1,-1.53598289,-0.39938142
OOCC,CCC(C)(C)C,5.17827579,0.81005653
OOCC,CC(C)(C)C(C)=O,-1.38704408,-0.37500328
OOCC,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-1.05817276,-0.30663465
OOCC,COC(C)(C)OC,-1.87526954,-0.52658293
OOCC,CCC1(CC)CCCCC1,5.07687788,0.83515239
OOCC,CCOC(C)(OCC)OCC,-2.20889896,-0.53318215
OOCC,CC(C)CCCC(O)(C)CC,-1.00179884,-0.30944038
OOCC,CCC(C)C,5.26425872,0.80520362
OOCC,CC(=C)C=C,3.70818122,0.58004489
OOCC,CC(=C)C#C,2.57466576,0.4102242
OOCC,OCC(C)C,-0.74243522,-0.19790847
OOCC,CC(C)C=O,-0.77322506,-0.19779774
OOCC,CC(=C)C=O,-0.87426711,-0.22473505
OOCC,CCC(O)C,-1.08466021,-0.29077575
OOCC,CCC(C)=O,-1.81623675,-0.48660719
OOCC,COC(C)=O,-0.99893924,-0.25601895
OOCC,CC(C)C(C)C,5.20619706,0.81621811
OOCC,CC(C)C(O)=O,0.05379267,0.01350093
OOCC,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-0.65520993,-0.20804782
OOCC,OOC(C)(C)C(CC1)CCC1C,0.47921557,0.11052701
OOCC,CCOC(C(O)(C)C)=O,-1.67554512,-0.48235027
OOCC,COC(=O)C(C)=C,-0.25932065,-0.07108048
OOCC,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.35372396,0.30352557
OOCC,COc2cccc3c2C(=O)c1ccccc1C3=O,-0.77447753,-0.20302765
OOCC,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-0.20175916,-0.13597996
OOCC,CCOC(=O)c1ccccc1C(OCC)=O,-0.04325738,-0.01015186
OOCC,CCCCOC(=O)c1ccccc1C(OCCCC)=O,0.11395099,0.01388795
OOCC,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.35628991,0.05580715
OOCC,CC(C)CCOC(=O)c1ccccc1O,1.46176386,0.33093845
OOCC,Oc2ccccc2C(OCCc1ccccc1)=O,1.48305562,0.33552467
OOCC,O=C2c1ccccc1CO2,-0.29039049,-0.07327986
OOCC,OCC(O)C(O)C(O)CO,-1.07928828,-0.24112405
OOCC,CCC(CC)C(O)=O,0.19658859,0.04761138
OOCC,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-0.35881988,-0.10103586
OOCC,COc1cc(C)ccc1C(C)(C)C,3.60392116,0.64575626
OOCC,CC2CCC(CC1=C2CCC1C)=C(C)C,4.0934696,0.75236555
OOCC,COC(=O)c1ccccc1C,0.38309994,0.09025013
OOCC,CC(=O)c1ccc(C)cc1C,-1.10147697,-0.30959563
OOCC,Cc2c1ccccc1ccc2,3.32364703,0.58616779
OOCC,O=C2CCCCC2C1CCCCC1,-0.8897767,-0.26213233
OOCC,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-0.809288,-0.21969924
OOCC,CC(C=O)c1ccccc1,0.20157523,0.05022862
OOCC,CCC(O)c1ccccc1,-0.22680519,-0.05636363
OOCC,CCOC(=O)c1ccccc1,0.25290133,0.05586389
OOCC,CC(OC(C)c2ccccc2)c1ccccc1,-0.25039265,-0.01062284
OOCC,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,0.83869203,0.17744369
OOCC,CCOC(=O)c(cc1)ccc1C,0.13355633,0.02199496
OOCC,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-11.43701918,-1.02415907
OOCC,O=C(OCCc1ccccc1)c2ccccc2,0.79531665,0.18357897
OOCC,CCCc2cc1OCOc1cc2,2.28924035,0.46690336
OOCC,COC(C1CCC(CC1)C(OC)=O)=O,-0.75106822,-0.16779244
OOCC,CCCC1CCCCC1=O,-1.23980484,-0.35317338
OOCC,CCOc1ccc(C=CC)cc1O,0.97384229,0.2316824
OOCC,CCCC(O)C(CO)CC,-1.46269017,-0.39306632
OOCC,Cc(ccc1C)cc1C,3.63801937,0.62827921
OOCC,CCOC(=O)C(OCC)=O,-0.13605035,-0.03791207
OOCC,CC1OC(C(C)OC1=O)=O,0.45888721,0.10788357
OOCC,CCCCC(=O)C(C)=O,0.55313987,0.13052748
OOCC,C=CCOC(=O)C(C)=C,0.18926528,0.03835039
OOCC,C1OC1c2ccccc2,0.5920684,0.15375486
OOCC,CCC(C)CC,5.23966575,0.82420715
OOCC,CCC(CC)=O,-1.49342199,-0.40517355
OOCC,OCC(CO)=O,-0.28962832,-0.05659315
OOCC,COC(=O)C=C,-0.2202294,-0.05893474
OOCC,COC(CO)=O,-0.87730517,-0.225618
OOCC,CC1CCCC1,5.2125289,0.80850279
OOCC,CC1CCCO1,-2.92637495,-0.89095474
OOCC,O=C1CCCO1,-1.27047434,-0.31580279
OOCC,CCCC(C)C(O)=O,0.20033137,0.0480615
OOCC,CCOC(C(C)C)=O,-0.52072876,-0.14391041
OOCC,CCOC(=O)C(C)=C,-0.3379753,-0.0977472
OOCC,CCOC(C(O)C)=O,-1.47887214,-0.4088536
OOCC,CC(C)C(OC(C(C)C)=O)=O,0.52088634,0.12125999
OOCC,CC(C)COC(C(C)C)=O,-0.31369184,-0.09876514
OOCC,CC(C)COC(=O)C(C)=C,-0.07955633,-0.036598
OOCC,CCCCOC(C(C)C)=O,-0.26143297,-0.08543887
OOCC,CCCCOC(=O)C(C)=C,-0.16850939,-0.06050076
OOCC,CCC(CC)C=O,-0.42875514,-0.11318991
OOCC,OCC1CCCO1,-2.29035015,-0.59935228
OOCC,OCc1occc1,-0.55151092,-0.14400215
OOCC,O=Cc1occc1,-0.53074116,-0.13813975
OOCC,CC(C)(C)c1ccccc1,3.6610585,0.63407976
OOCC,OOC(C)(C)c(cc1)ccc1C(C)C,0.44496884,0.10420016
OOCC,CC(C)(C)c(cc1)ccc1C,3.77905306,0.66323207
OOCC,OC1CCC(CC1)C(C)(C)C,-0.94113542,-0.27279084
OOCC,CC(C)(C)C1CCC(CC1)=O,-1.57248616,-0.43819269
OOCC,CC(C)c1ccccc1,3.64037511,0.62450965
OOCC,COC(=O)c(ccc1)cc1C,0.28742107,0.06233448
OOCC,OC1CC(CC=C1C)C(C)=C,-0.60832032,-0.17131513
OOCC,CC(C)c1cc(C(C)C)ccc1,3.85076507,0.68263105
OOCC,CCCC(CCC)C(O)=O,0.3365055,0.07741917
OOCC,CC(C=O)c(cc1)ccc1C,0.16307638,0.03763233
OOCC,CC1CCC(C(C)C)CC1,5.09694013,0.84580239
OOCC,CC(C)c(cc1)ccc1C,3.74934715,0.65324991
