SMILES0,SMILES,gamma1,gamma2
Oc(ccc1C)cc1O,OC(C)C(O)=O,-1.57363963,-0.38825863
Oc(ccc1C)cc1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,4.19915387,0.80347381
Oc(ccc1C)cc1O,OCC(O)C,-5.05390285,-1.3529022
Oc(ccc1C)cc1O,O=C1CCO1,-3.10717275,-0.72149996
Oc(ccc1C)cc1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-3.43571077,-0.76590458
Oc(ccc1C)cc1O,CCOCC,-7.79905955,-1.93022819
Oc(ccc1C)cc1O,OCC,-6.24069138,-1.53948742
Oc(ccc1C)cc1O,CCCCCC=O,-4.42481703,-1.14260547
Oc(ccc1C)cc1O,CO,-6.46110004,-1.54418561
Oc(ccc1C)cc1O,OC(C)C,-6.28914828,-1.59765586
Oc(ccc1C)cc1O,CC(C)=O,-8.08854623,-2.19318756
Oc(ccc1C)cc1O,OCCC,-5.37068068,-1.33369157
Oc(ccc1C)cc1O,OCCCC,-5.28990648,-1.32555682
Oc(ccc1C)cc1O,OCCCCC,-5.01007494,-1.26333507
Oc(ccc1C)cc1O,CC1OC1,-6.99276812,-1.78146333
Oc(ccc1C)cc1O,CCC(C)(C)C,7.32618166,1.16184397
Oc(ccc1C)cc1O,CC(C)(C)C(C)=O,-6.33130754,-1.71837745
Oc(ccc1C)cc1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-5.41380405,-1.37883297
Oc(ccc1C)cc1O,COC(C)(C)OC,-7.48155089,-2.08959
Oc(ccc1C)cc1O,CCC1(CC)CCCCC1,7.25332038,1.23719004
Oc(ccc1C)cc1O,CCOC(C)(OCC)OCC,-8.10874599,-2.39166922
Oc(ccc1C)cc1O,CC(C)CCCC(O)(C)CC,-5.1937955,-1.39149873
Oc(ccc1C)cc1O,CCC(C)C,7.37726316,1.12945723
Oc(ccc1C)cc1O,CC(=C)C=C,4.72178418,0.69669793
Oc(ccc1C)cc1O,CC(=C)C#C,3.59670023,0.54903601
Oc(ccc1C)cc1O,OCC(C)C,-4.53729815,-1.1263975
Oc(ccc1C)cc1O,CC(C)C=O,-5.07026964,-1.29259941
Oc(ccc1C)cc1O,CC(=C)C=O,-5.4396127,-1.40456979
Oc(ccc1C)cc1O,CCC(O)C,-5.49403044,-1.40167055
Oc(ccc1C)cc1O,CCC(C)=O,-7.43271129,-2.04447197
Oc(ccc1C)cc1O,COC(C)=O,-5.77372507,-1.52038914
Oc(ccc1C)cc1O,CC(C)C(C)C,7.34892608,1.16767411
Oc(ccc1C)cc1O,CC(C)C(O)=O,-1.67559662,-0.40771597
Oc(ccc1C)cc1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-4.28842895,-1.23034572
Oc(ccc1C)cc1O,OOC(C)(C)C(CC1)CCC1C,-0.52472493,-0.12957181
Oc(ccc1C)cc1O,CCOC(C(O)(C)C)=O,-6.85765792,-1.89487386
Oc(ccc1C)cc1O,COC(=O)C(C)=C,-3.8972238,-1.0393583
Oc(ccc1C)cc1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,0.24898119,0.05482253
Oc(ccc1C)cc1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-4.81974968,-1.18947773
Oc(ccc1C)cc1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-2.89936509,-0.86878143
Oc(ccc1C)cc1O,CCOC(=O)c1ccccc1C(OCC)=O,-2.99630144,-0.72584722
Oc(ccc1C)cc1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-2.49786262,-0.62234128
Oc(ccc1C)cc1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,-1.87088546,-0.48824244
Oc(ccc1C)cc1O,CC(C)CCOC(=O)c1ccccc1O,0.21885557,0.05620124
Oc(ccc1C)cc1O,Oc2ccccc2C(OCCc1ccccc1)=O,0.46015469,0.1210315
Oc(ccc1C)cc1O,O=C2c1ccccc1CO2,-3.88646667,-0.98517656
Oc(ccc1C)cc1O,OCC(O)C(O)C(O)CO,-5.13592537,-1.31816465
Oc(ccc1C)cc1O,CCC(CC)C(O)=O,-1.17729029,-0.28281226
Oc(ccc1C)cc1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-2.83625141,-0.72519445
Oc(ccc1C)cc1O,COc1cc(C)ccc1C(C)(C)C,4.85611584,0.88394905
Oc(ccc1C)cc1O,CC2CCC(CC1=C2CCC1C)=C(C)C,5.57439726,1.08144223
Oc(ccc1C)cc1O,COC(=O)c1ccccc1C,-2.27392825,-0.56311243
Oc(ccc1C)cc1O,CC(=O)c1ccc(C)cc1C,-5.60111401,-1.452961
Oc(ccc1C)cc1O,Cc2c1ccccc1ccc2,4.25545672,0.73503712
Oc(ccc1C)cc1O,O=C2CCCCC2C1CCCCC1,-5.08686135,-1.37966235
Oc(ccc1C)cc1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-4.59152747,-1.23689528
Oc(ccc1C)cc1O,CC(C=O)c1ccccc1,-2.53516833,-0.61290955
Oc(ccc1C)cc1O,CCC(O)c1ccccc1,-2.59270537,-0.61419651
Oc(ccc1C)cc1O,CCOC(=O)c1ccccc1,-2.57143012,-0.67720097
Oc(ccc1C)cc1O,CC(OC(C)c2ccccc2)c1ccccc1,-3.51122238,-0.44992619
Oc(ccc1C)cc1O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,-0.82644322,-0.19140844
Oc(ccc1C)cc1O,CCOC(=O)c(cc1)ccc1C,-2.81939359,-0.75743273
Oc(ccc1C)cc1O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-28.50208365,-2.60794978
Oc(ccc1C)cc1O,O=C(OCCc1ccccc1)c2ccccc2,-1.08764082,-0.2720192
Oc(ccc1C)cc1O,CCCc2cc1OCOc1cc2,2.41196428,0.48862563
Oc(ccc1C)cc1O,COC(C1CCC(CC1)C(OC)=O)=O,-4.59931532,-1.1272199
Oc(ccc1C)cc1O,CCCC1CCCCC1=O,-5.92940453,-1.66234351
Oc(ccc1C)cc1O,CCOc1ccc(C=CC)cc1O,0.53707043,0.14747243
Oc(ccc1C)cc1O,CCCC(O)C(CO)CC,-6.3108325,-1.72096837
Oc(ccc1C)cc1O,Cc(ccc1C)cc1C,4.69165846,0.80062769
Oc(ccc1C)cc1O,CCOC(=O)C(OCC)=O,-3.57163658,-0.8818246
Oc(ccc1C)cc1O,CC1OC(C(C)OC1=O)=O,-1.58586067,-0.37114104
Oc(ccc1C)cc1O,CCCCC(=O)C(C)=O,-1.81709805,-0.44961724
Oc(ccc1C)cc1O,C=CCOC(=O)C(C)=C,-2.75375013,-0.71682418
Oc(ccc1C)cc1O,C1OC1c2ccccc2,-1.76700123,-0.36217769
Oc(ccc1C)cc1O,CCC(C)CC,7.37995637,1.17686241
Oc(ccc1C)cc1O,CCC(CC)=O,-6.61715042,-1.83280581
Oc(ccc1C)cc1O,OCC(CO)=O,-3.74383479,-0.94047291
Oc(ccc1C)cc1O,COC(=O)C=C,-3.86250437,-1.01693137
Oc(ccc1C)cc1O,COC(CO)=O,-5.32106825,-1.37994267
Oc(ccc1C)cc1O,CC1CCCC1,7.3620286,1.15353482
Oc(ccc1C)cc1O,CC1CCCO1,-9.93685936,-2.79258425
Oc(ccc1C)cc1O,O=C1CCCO1,-6.49225071,-1.67591475
Oc(ccc1C)cc1O,CCCC(C)C(O)=O,-1.15482463,-0.28034964
Oc(ccc1C)cc1O,CCOC(C(C)C)=O,-4.43528098,-1.19353888
Oc(ccc1C)cc1O,CCOC(=O)C(C)=C,-4.07066217,-1.09391996
Oc(ccc1C)cc1O,CCOC(C(O)C)=O,-6.45370855,-1.76350437
Oc(ccc1C)cc1O,CC(C)C(OC(C(C)C)=O)=O,-1.95007446,-0.4821103
Oc(ccc1C)cc1O,CC(C)COC(C(C)C)=O,-3.91327883,-1.07528987
Oc(ccc1C)cc1O,CC(C)COC(=O)C(C)=C,-3.40300188,-0.93144681
Oc(ccc1C)cc1O,CCCCOC(C(C)C)=O,-3.78834255,-1.04161149
Oc(ccc1C)cc1O,CCCCOC(=O)C(C)=C,-3.60590383,-0.98606997
Oc(ccc1C)cc1O,CCC(CC)C=O,-4.22567019,-1.07722494
Oc(ccc1C)cc1O,OCC1CCCO1,-8.35330878,-2.39875107
Oc(ccc1C)cc1O,OCc1occc1,-3.55701678,-0.90110129
Oc(ccc1C)cc1O,O=Cc1occc1,-4.52941919,-1.18964827
Oc(ccc1C)cc1O,CC(C)(C)c1ccccc1,4.8575036,0.84104765
Oc(ccc1C)cc1O,OOC(C)(C)c(cc1)ccc1C(C)C,-0.61658773,-0.15000479
Oc(ccc1C)cc1O,CC(C)(C)c(cc1)ccc1C,5.07361577,0.90180908
Oc(ccc1C)cc1O,OC1CCC(CC1)C(C)(C)C,-4.94711012,-1.30787792
Oc(ccc1C)cc1O,CC(C)(C)C1CCC(CC1)=O,-6.57936296,-1.84519308
Oc(ccc1C)cc1O,CC(C)c1ccccc1,4.76316608,0.80873179
Oc(ccc1C)cc1O,COC(=O)c(ccc1)cc1C,-2.48899377,-0.6551451
Oc(ccc1C)cc1O,OC1CC(CC=C1C)C(C)=C,-3.85063889,-0.99978587
Oc(ccc1C)cc1O,CC(C)c1cc(C(C)C)ccc1,5.22682594,0.94802627
Oc(ccc1C)cc1O,CCCC(CCC)C(O)=O,-0.78367815,-0.19140823
Oc(ccc1C)cc1O,CC(C=O)c(cc1)ccc1C,-2.60817163,-0.63628904
Oc(ccc1C)cc1O,CC1CCC(C(C)C)CC1,7.34408359,1.27186681
Oc(ccc1C)cc1O,CC(C)c(cc1)ccc1C,4.97568917,0.87128226
Oc(ccc1C)cc1O,C=CC1CC=CCC1,4.85260899,0.82557962
Oc(ccc1C)cc1O,CCc1ccccc1,4.56704308,0.75114013
Oc(ccc1C)cc1O,C=Cc1ccccc1,4.10939676,0.66837676
Oc(ccc1C)cc1O,OCC1CCCCC1,-4.16405223,-1.05771613
Oc(ccc1C)cc1O,COc1ccccc1,0.89018111,0.19647007
Oc(ccc1C)cc1O,OCC1CCCCO1,-7.52846372,-2.12786394
Oc(ccc1C)cc1O,OCC(CO1)OC1(C)C,-5.90016666,-1.58704759
Oc(ccc1C)cc1O,Cc1cc(C=C)ccc1,4.29899292,0.7265299
Oc(ccc1C)cc1O,COc(ccc1)cc1C,0.92984072,0.21990198
Oc(ccc1C)cc1O,COC(=O)Cc1ccccc1,-2.99106431,-0.75920414
Oc(ccc1C)cc1O,COC(OC)Cc1ccccc1,-4.60728168,-1.17256304
Oc(ccc1C)cc1O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,-1.39128293,-0.34691897
Oc(ccc1C)cc1O,CC(C)COC(=O)Cc1ccccc1,-2.95115848,-0.78976017
Oc(ccc1C)cc1O,O=C(OCc2ccccc2)Cc1ccccc1,-2.11550334,-0.53771756
Oc(ccc1C)cc1O,CCc1cc(CC)cc(CC)c1,5.29362261,0.96656051
Oc(ccc1C)cc1O,CC(=O)Oc(ccc1)cc1O,-0.97101445,-0.23849139
Oc(ccc1C)cc1O,COC(OC)CC(OC)OC,-6.45378651,-1.76814211
Oc(ccc1C)cc1O,CCCCC(CC)COC(C)=O,-4.03322386,-1.14292846
Oc(ccc1C)cc1O,CCCCC(CC)COC(=O)C=C,-2.58088548,-0.72614597
Oc(ccc1C)cc1O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-3.48817909,-0.921488
Oc(ccc1C)cc1O,COC(CCc1ccccc1)=O,-2.92457549,-0.75351619
Oc(ccc1C)cc1O,CC(C)C(OCc1ccccc1)=O,-2.58761564,-0.66644958
Oc(ccc1C)cc1O,CCCC(OCc1ccccc1)=O,-2.48757502,-0.62929911
Oc(ccc1C)cc1O,CC(C)CC(OCc1ccccc1)=O,-2.14315517,-0.53497109
Oc(ccc1C)cc1O,CC(OCCc1ccccc1)=O,-3.55545223,-0.92714806
Oc(ccc1C)cc1O,CC(C)C(OCCc1ccccc1)=O,-2.55541138,-0.66787452
Oc(ccc1C)cc1O,CC(C)C(OCCOc1ccccc1)=O,-2.19910112,-0.55603206
Oc(ccc1C)cc1O,CCCc1ccccc1,4.77144608,0.81639338
Oc(ccc1C)cc1O,CC(C)C(=O)Oc(cc1)ccc1C,-2.04079794,-0.52138413
Oc(ccc1C)cc1O,CCCc(cc1)ccc1OC,1.25823792,0.31542495
Oc(ccc1C)cc1O,CCCCC1OC(CC1)=O,-5.5335078,-1.47983198
Oc(ccc1C)cc1O,CCCCc1ccccc1,4.94685724,0.87169955
Oc(ccc1C)cc1O,O=COCc1ccccc1,-2.07293137,-0.50036179
Oc(ccc1C)cc1O,CCCCCC1OC(CC1)=O,-5.32501813,-1.43129347
Oc(ccc1C)cc1O,O=COCCc1ccccc1,-2.20594635,-0.54335831
Oc(ccc1C)cc1O,CCCCCCCC1OC(CC1)=O,-4.93080847,-1.34095277
Oc(ccc1C)cc1O,CCCCC(CO)CC,-3.51173879,-0.87988948
Oc(ccc1C)cc1O,COc(cc1)ccc1C,0.74295555,0.19118686
Oc(ccc1C)cc1O,CC(C)COC(CCc1occc1)=O,-2.25508051,-0.59530411
Oc(ccc1C)cc1O,CCc1ccc(CC)cc1,5.02295747,0.88328308
Oc(ccc1C)cc1O,C=Cc1ccc(C=C)cc1,4.12874071,0.71724875
Oc(ccc1C)cc1O,CCCC1OC(CC1)=O,-5.87292636,-1.56982211
Oc(ccc1C)cc1O,OCC=C(C)C#C,-3.01342891,-0.75696544
Oc(ccc1C)cc1O,CCCC(C)CO,-4.01679619,-1.0190593
Oc(ccc1C)cc1O,CCCC(O)C#C,-1.63292573,-0.3869154
Oc(ccc1C)cc1O,CCOC(CC)=O,-5.03007821,-1.33544091
Oc(ccc1C)cc1O,CCC(OC=C)=O,-1.54532759,-0.363128
Oc(ccc1C)cc1O,CCC(C)CC(C)=O,-6.0041258,-1.64517057
Oc(ccc1C)cc1O,CCC(C)CC(O)=O,-1.23457718,-0.30430194
Oc(ccc1C)cc1O,CCC(C)OC(C)=O,-5.0471989,-1.36901099
Oc(ccc1C)cc1O,CCOC(CC(OCC)=O)=O,-3.42929725,-0.8289392
