SMILES0,SMILES,gamma1,gamma2
Oc(ccc1O)cc1O,OC(C)C(O)=O,-2.37990216,-0.59231327
Oc(ccc1O)cc1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,6.19833346,1.12883155
Oc(ccc1O)cc1O,OCC(O)C,-6.77868684,-1.79698239
Oc(ccc1O)cc1O,O=C1CCO1,-4.08879023,-0.9990053
Oc(ccc1O)cc1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-3.86602199,-0.89800493
Oc(ccc1O)cc1O,CCOCC,-9.43762167,-2.11318589
Oc(ccc1O)cc1O,OCC,-8.1133805,-1.88727127
Oc(ccc1O)cc1O,CCCCCC=O,-5.17206672,-1.29584724
Oc(ccc1O)cc1O,CO,-8.61926608,-1.96077164
Oc(ccc1O)cc1O,OC(C)C,-8.03655668,-1.91023074
Oc(ccc1O)cc1O,CC(C)=O,-9.94283168,-2.64484539
Oc(ccc1O)cc1O,OCCC,-6.89304269,-1.61145554
Oc(ccc1O)cc1O,OCCCC,-6.71920817,-1.57179095
Oc(ccc1O)cc1O,OCCCCC,-6.31626838,-1.48307384
Oc(ccc1O)cc1O,CC1OC1,-8.4396596,-2.06575103
Oc(ccc1O)cc1O,CCC(C)(C)C,10.06459112,1.5139909
Oc(ccc1O)cc1O,CC(C)(C)C(C)=O,-7.61134604,-1.99530073
Oc(ccc1O)cc1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-6.35219351,-1.47633753
Oc(ccc1O)cc1O,COC(C)(C)OC,-9.04473514,-2.41407844
Oc(ccc1O)cc1O,CCC1(CC)CCCCC1,9.97262167,1.60942791
Oc(ccc1O)cc1O,CCOC(C)(OCC)OCC,-9.85962576,-2.95134016
Oc(ccc1O)cc1O,CC(C)CCCC(O)(C)CC,-6.37338752,-1.56302791
Oc(ccc1O)cc1O,CCC(C)C,10.13910881,1.47486429
Oc(ccc1O)cc1O,CC(=C)C=C,6.90649977,0.9781852
Oc(ccc1O)cc1O,CC(=C)C#C,5.4501822,0.79953913
Oc(ccc1O)cc1O,OCC(C)C,-5.7455488,-1.33218005
Oc(ccc1O)cc1O,CC(C)C=O,-5.98362918,-1.48792943
Oc(ccc1O)cc1O,CC(=C)C=O,-6.54665285,-1.65416974
Oc(ccc1O)cc1O,CCC(O)C,-6.93046241,-1.6528962
Oc(ccc1O)cc1O,CCC(C)=O,-9.07040957,-2.43212064
Oc(ccc1O)cc1O,COC(C)=O,-6.92723358,-1.81106254
Oc(ccc1O)cc1O,CC(C)C(C)C,10.09465512,1.52144972
Oc(ccc1O)cc1O,CC(C)C(O)=O,-2.07108361,-0.50684006
Oc(ccc1O)cc1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-4.96198607,-1.39799272
Oc(ccc1O)cc1O,OOC(C)(C)C(CC1)CCC1C,-0.40279221,-0.10695564
Oc(ccc1O)cc1O,CCOC(C(O)(C)C)=O,-8.28147087,-2.14646782
Oc(ccc1O)cc1O,COC(=O)C(C)=C,-4.45991271,-1.18763953
Oc(ccc1O)cc1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,1.31213222,0.26935058
