SMILES0,SMILES,gamma1,gamma2
Oc1c(=O)c(=O)c1O,OC(C)C(O)=O,-1.91646488,-0.46874095
Oc1c(=O)c(=O)c1O,Cc4c3ccc2ccccc2c3c(C)c1ccccc41,11.34716844,1.69672394
Oc1c(=O)c(=O)c1O,OCC(O)C,-7.3005953,-2.07501868
Oc1c(=O)c(=O)c1O,O=C1CCO1,-2.34518375,-0.58636412
Oc1c(=O)c(=O)c1O,CCCC(OCC(COC(CCC)=O)OC(CCC)=O)=O,-1.87213039,-0.4739599
Oc1c(=O)c(=O)c1O,CCOCC,-8.6391347,-1.73300255
Oc1c(=O)c(=O)c1O,OCC,-8.75567447,-2.23786688
Oc1c(=O)c(=O)c1O,CCCCCC=O,-3.57806472,-0.71895549
Oc1c(=O)c(=O)c1O,CO,-9.43983013,-2.42212748
Oc1c(=O)c(=O)c1O,OC(C)C,-8.49723642,-2.16604246
Oc1c(=O)c(=O)c1O,CC(C)=O,-8.93054979,-2.29586413
Oc1c(=O)c(=O)c1O,OCCC,-7.30609864,-1.83891412
Oc1c(=O)c(=O)c1O,OCCCC,-7.07999878,-1.77160845
Oc1c(=O)c(=O)c1O,OCCCCC,-6.66533475,-1.66517119
Oc1c(=O)c(=O)c1O,CC1OC1,-7.31437301,-1.59894948
Oc1c(=O)c(=O)c1O,CCC(C)(C)C,17.21629078,1.97202405
Oc1c(=O)c(=O)c1O,CC(C)(C)C(C)=O,-6.35340055,-1.50611348
Oc1c(=O)c(=O)c1O,CC(C)C(O)C(C)(C)COC(C(C)C)=O,-6.09206964,-1.18600086
Oc1c(=O)c(=O)c1O,COC(C)(C)OC,-8.08265886,-2.0711209
Oc1c(=O)c(=O)c1O,CCC1(CC)CCCCC1,17.12906007,2.14014294
Oc1c(=O)c(=O)c1O,CCOC(C)(OCC)OCC,-9.74676133,-3.16527025
Oc1c(=O)c(=O)c1O,CC(C)CCCC(O)(C)CC,-6.80855641,-1.70182612
Oc1c(=O)c(=O)c1O,CCC(C)C,17.37075539,1.91720516
Oc1c(=O)c(=O)c1O,CC(=C)C=C,12.51451746,1.34580778
Oc1c(=O)c(=O)c1O,CC(=C)C#C,9.88907095,1.03669528
Oc1c(=O)c(=O)c1O,OCC(C)C,-6.1145197,-1.48823791
Oc1c(=O)c(=O)c1O,CC(C)C=O,-4.23060474,-0.88799667
Oc1c(=O)c(=O)c1O,CC(=C)C=O,-5.17199213,-1.1577231
Oc1c(=O)c(=O)c1O,CCC(O)C,-7.25209281,-1.80405995
Oc1c(=O)c(=O)c1O,CCC(C)=O,-7.96892536,-2.02749564
Oc1c(=O)c(=O)c1O,COC(C)=O,-5.27548288,-1.28289215
Oc1c(=O)c(=O)c1O,CC(C)C(C)C,17.28153556,1.98451526
Oc1c(=O)c(=O)c1O,CC(C)C(O)=O,-0.47142601,-0.0923316
Oc1c(=O)c(=O)c1O,CC1(C)CCC=C(C)C1C=CC(CCC=C)=O,-3.96067548,-1.04357776
Oc1c(=O)c(=O)c1O,OOC(C)(C)C(CC1)CCC1C,1.28677467,0.36414437
Oc1c(=O)c(=O)c1O,CCOC(C(O)(C)C)=O,-7.96819059,-2.01754339
Oc1c(=O)c(=O)c1O,COC(=O)C(C)=C,-2.41422366,-0.57668618
Oc1c(=O)c(=O)c1O,Oc2ccc(O)c3c2C(=O)c1c(c(O)ccc1O)C3=O,4.75062439,1.00629971
Oc1c(=O)c(=O)c1O,COc2cccc3c2C(=O)c1ccccc1C3=O,-5.5372148,-1.24416263
Oc1c(=O)c(=O)c1O,CCC(C(C)C)CCC(C)C1CCC4C3CC=C2CC(O)CCC2(C)C3CCC41C,-3.56821355,-1.01458901
Oc1c(=O)c(=O)c1O,CCOC(=O)c1ccccc1C(OCC)=O,-1.43252023,-0.30461237
Oc1c(=O)c(=O)c1O,CCCCOC(=O)c1ccccc1C(OCCCC)=O,-0.63843134,-0.13096039
Oc1c(=O)c(=O)c1O,CCCCCCOC(=O)c1ccccc1C(OCCCCCC)=O,0.37750715,0.05059547
Oc1c(=O)c(=O)c1O,CC(C)CCOC(=O)c1ccccc1O,3.67750136,0.89122178
Oc1c(=O)c(=O)c1O,Oc2ccccc2C(OCCc1ccccc1)=O,3.60539649,0.88188436
Oc1c(=O)c(=O)c1O,O=C2c1ccccc1CO2,-3.99840007,-0.92320562
Oc1c(=O)c(=O)c1O,OCC(O)C(O)C(O)CO,-7.01403907,-1.94366241
Oc1c(=O)c(=O)c1O,CCC(CC)C(O)=O,0.25625253,0.09904107
Oc1c(=O)c(=O)c1O,OCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O,-4.0564187,-1.01048154
Oc1c(=O)c(=O)c1O,COc1cc(C)ccc1C(C)(C)C,12.79625487,1.78690901
Oc1c(=O)c(=O)c1O,CC2CCC(CC1=C2CCC1C)=C(C)C,13.18472433,2.06750731
Oc1c(=O)c(=O)c1O,COC(=O)c1ccccc1C,-0.61627645,-0.03227758
Oc1c(=O)c(=O)c1O,CC(=O)c1ccc(C)cc1C,-6.27821795,-1.303235
Oc1c(=O)c(=O)c1O,Cc2c1ccccc1ccc2,11.4631202,1.48328523
Oc1c(=O)c(=O)c1O,O=C2CCCCC2C1CCCCC1,-4.75177264,-1.06203538
Oc1c(=O)c(=O)c1O,COc1ccc(cc1)C(=O)c(cc2)ccc2OC,-5.23474527,-1.36852479
Oc1c(=O)c(=O)c1O,CC(C=O)c1ccccc1,-1.45766092,-0.18128391
Oc1c(=O)c(=O)c1O,CCC(O)c1ccccc1,-3.52503231,-0.69940957
Oc1c(=O)c(=O)c1O,CCOC(=O)c1ccccc1,-0.92196651,-0.17667668
Oc1c(=O)c(=O)c1O,CC(OC(C)c2ccccc2)c1ccccc1,-5.23979178,-0.05541923
Oc1c(=O)c(=O)c1O,O=C(Oc(ccc3)cc3OC(=O)c2ccccc2)c1ccccc1,1.45336702,0.37153424
Oc1c(=O)c(=O)c1O,CCOC(=O)c(cc1)ccc1C,-1.22701493,-0.26433822
Oc1c(=O)c(=O)c1O,CCCCC(CC)C(OCCOCCOCCOC(C(CC)CCCC)=O)=O,-55.6223955,-3.81967697
Oc1c(=O)c(=O)c1O,O=C(OCCc1ccccc1)c2ccccc2,0.91642356,0.29339568
Oc1c(=O)c(=O)c1O,CCCc2cc1OCOc1cc2,7.64752923,1.34320453
Oc1c(=O)c(=O)c1O,COC(C1CCC(CC1)C(OC)=O)=O,-3.41866472,-0.87121137
Oc1c(=O)c(=O)c1O,CCCC1CCCCC1=O,-5.80617734,-1.45204672
Oc1c(=O)c(=O)c1O,CCOc1ccc(C=CC)cc1O,2.90706882,0.75062414
Oc1c(=O)c(=O)c1O,CCCC(O)C(CO)CC,-8.48022998,-2.34680683
Oc1c(=O)c(=O)c1O,Cc(ccc1C)cc1C,12.43024056,1.60181851
Oc1c(=O)c(=O)c1O,CCOC(=O)C(OCC)=O,-1.93539896,-0.40768892
Oc1c(=O)c(=O)c1O,CC1OC(C(C)OC1=O)=O,-0.47390399,-0.10684621
Oc1c(=O)c(=O)c1O,CCCCC(=O)C(C)=O,0.92590624,0.26564451
Oc1c(=O)c(=O)c1O,C=CCOC(=O)C(C)=C,-1.12242204,-0.20064732
Oc1c(=O)c(=O)c1O,C1OC1c2ccccc2,-0.60721258,0.11430992
Oc1c(=O)c(=O)c1O,CCC(C)CC,17.36465217,2.00409196
Oc1c(=O)c(=O)c1O,CCC(CC)=O,-6.67838192,-1.68358362
Oc1c(=O)c(=O)c1O,OCC(CO)=O,-6.03635006,-1.63851036
Oc1c(=O)c(=O)c1O,COC(=O)C=C,-2.56173738,-0.62418479
Oc1c(=O)c(=O)c1O,COC(CO)=O,-6.84713982,-1.76280561
Oc1c(=O)c(=O)c1O,CC1CCCC1,17.29496555,1.958394
Oc1c(=O)c(=O)c1O,CC1CCCO1,-11.91987115,-3.01951284
Oc1c(=O)c(=O)c1O,O=C1CCCO1,-6.91755681,-1.78865682
Oc1c(=O)c(=O)c1O,CCCC(C)C(O)=O,0.31275854,0.10783938
Oc1c(=O)c(=O)c1O,CCOC(C(C)C)=O,-3.05624346,-0.71022301
Oc1c(=O)c(=O)c1O,CCOC(=O)C(C)=C,-2.73381199,-0.62198617
Oc1c(=O)c(=O)c1O,CCOC(C(O)C)=O,-7.40129469,-1.87998515
Oc1c(=O)c(=O)c1O,CC(C)C(OC(C(C)C)=O)=O,0.96344713,0.27258457
Oc1c(=O)c(=O)c1O,CC(C)COC(C(C)C)=O,-2.37092702,-0.56112001
Oc1c(=O)c(=O)c1O,CC(C)COC(=O)C(C)=C,-1.72082315,-0.3956361
Oc1c(=O)c(=O)c1O,CCCCOC(C(C)C)=O,-2.16755742,-0.5151225
Oc1c(=O)c(=O)c1O,CCCCOC(=O)C(C)=C,-2.03940138,-0.46865326
Oc1c(=O)c(=O)c1O,CCC(CC)C=O,-2.97428691,-0.55305688
Oc1c(=O)c(=O)c1O,OCC1CCCO1,-10.21472349,-2.97226173
Oc1c(=O)c(=O)c1O,OCc1occc1,-5.6710969,-1.37401735
Oc1c(=O)c(=O)c1O,O=Cc1occc1,-5.46701513,-1.34316601
Oc1c(=O)c(=O)c1O,CC(C)(C)c1ccccc1,12.73656185,1.66346654
Oc1c(=O)c(=O)c1O,OOC(C)(C)c(cc1)ccc1C(C)C,1.28142598,0.37789984
Oc1c(=O)c(=O)c1O,CC(C)(C)c(cc1)ccc1C,13.14206498,1.77259431
Oc1c(=O)c(=O)c1O,OC1CCC(CC1)C(C)(C)C,-6.51597029,-1.66595369
Oc1c(=O)c(=O)c1O,CC(C)(C)C1CCC(CC1)=O,-6.99721788,-1.78998102
Oc1c(=O)c(=O)c1O,CC(C)c1ccccc1,12.56675793,1.60306076
Oc1c(=O)c(=O)c1O,COC(=O)c(ccc1)cc1C,-0.7553571,-0.13762808
Oc1c(=O)c(=O)c1O,OC1CC(CC=C1C)C(C)=C,-5.10153751,-1.16912362
Oc1c(=O)c(=O)c1O,CC(C)c1cc(C(C)C)ccc1,13.43621231,1.85907009
Oc1c(=O)c(=O)c1O,CCCC(CCC)C(O)=O,0.85654984,0.24069754
Oc1c(=O)c(=O)c1O,CC(C=O)c(cc1)ccc1C,-1.42279504,-0.15998579
Oc1c(=O)c(=O)c1O,CC1CCC(C(C)C)CC1,17.22227358,2.18919224
Oc1c(=O)c(=O)c1O,CC(C)c(cc1)ccc1C,12.96810614,1.71791297
Oc1c(=O)c(=O)c1O,C=CC1CC=CCC1,12.57587812,1.63162964
Oc1c(=O)c(=O)c1O,CCc1ccccc1,12.19759519,1.49890608
Oc1c(=O)c(=O)c1O,C=Cc1ccccc1,11.10927087,1.32009743
Oc1c(=O)c(=O)c1O,OCC1CCCCC1,-5.36328991,-1.31909703
Oc1c(=O)c(=O)c1O,COc1ccccc1,4.20745007,0.82692961
Oc1c(=O)c(=O)c1O,OCC1CCCCO1,-9.36340441,-2.69692333
Oc1c(=O)c(=O)c1O,OCC(CO1)OC1(C)C,-6.97513684,-1.89657112
Oc1c(=O)c(=O)c1O,Cc1cc(C=C)ccc1,11.5772309,1.45987409
Oc1c(=O)c(=O)c1O,COc(ccc1)cc1C,4.38413652,0.92320938
Oc1c(=O)c(=O)c1O,COC(=O)Cc1ccccc1,-2.15882722,-0.41927362
Oc1c(=O)c(=O)c1O,COC(OC)Cc1ccccc1,-5.02815956,-1.01404858
Oc1c(=O)c(=O)c1O,Cc2ccc(OC(=O)Cc1ccccc1)cc2,0.10510183,0.13495132
Oc1c(=O)c(=O)c1O,CC(C)COC(=O)Cc1ccccc1,-1.84674341,-0.39450909
Oc1c(=O)c(=O)c1O,O=C(OCc2ccccc2)Cc1ccccc1,-1.21953152,-0.18242456
Oc1c(=O)c(=O)c1O,CCc1cc(CC)cc(CC)c1,13.55807392,1.89505188
Oc1c(=O)c(=O)c1O,CC(=O)Oc(ccc1)cc1O,-0.3454093,-0.06408899
Oc1c(=O)c(=O)c1O,COC(OC)CC(OC)OC,-6.6105245,-1.87812118
Oc1c(=O)c(=O)c1O,CCCCC(CC)COC(C)=O,-2.81712792,-0.72749462
Oc1c(=O)c(=O)c1O,CCCCC(CC)COC(=O)C=C,-0.61726859,-0.15013389
Oc1c(=O)c(=O)c1O,CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,-1.8818472,-0.68832229
Oc1c(=O)c(=O)c1O,COC(CCc1ccccc1)=O,-1.86740605,-0.36862047
Oc1c(=O)c(=O)c1O,CC(C)C(OCc1ccccc1)=O,-1.19301577,-0.20268541
Oc1c(=O)c(=O)c1O,CCCC(OCc1ccccc1)=O,-1.06704424,-0.1574313
Oc1c(=O)c(=O)c1O,CC(C)CC(OCc1ccccc1)=O,-0.51187268,-0.02002819
Oc1c(=O)c(=O)c1O,CC(OCCc1ccccc1)=O,-2.94429231,-0.62440009
Oc1c(=O)c(=O)c1O,CC(C)C(OCCc1ccccc1)=O,-1.08656502,-0.1789975
